rank,wcaId,name,single,average,single_score,average_score
668,2017ROJA18,Jefferson Fallas,442.78,482.05,72.53,72.24
669,2011THOM01,Justin Thomas,442.81,469.08,72.52,74.33
670,2015WUHE01,He-Han Wu,443.03,493.3,72.48,70.4
671,2011FANG02,Shujie Fang,443.19,495.87,72.45,69.98
672,2012CALL01,Will Callan,443.31,475.74,72.43,73.26
673,2017WUHE01,Heng Wu,443.6,492.02,72.38,70.61
674,2015CHEN59,Benjin Chen,443.77,495.81,72.35,69.99
675,2010GROB02,Andreas Gröbmayr,443.79,485.08,72.35,71.75
676,2015YERT01,Alikhan Yertursyn,444.03,481.55,72.31,72.32
677,2014QUYN02,Tomáš Nguyen,444.19,465.67,72.28,74.87
678,2013PASZ01,Dominik Pasztetnik,444.32,480.68,72.25,72.47
679,2017KEJI01,Jiarong Ke,444.41,490.86,72.24,70.8
680,2017OORA01,Charlie van,444.42,478.82,72.24,72.77
681,2017HICK03,Tyler Hicks,444.57,466.75,72.21,74.7
682,2018HUAY03,Yen-Chun Hua,444.71,490.72,72.18,70.83
683,2014MAUR06,Lorenzo Mauro,444.74,481.2,72.18,72.38
684,2016SAMB04,Bat-Erdene Sambuudolgor,444.79,489.16,72.17,71.08
685,2011SBAH01,Rami Sbahi,444.95,478.35,72.14,72.84
686,2016HARP02,Nicolas Harper,445.02,499.91,72.13,69.31
687,2015XUXI02,Xiaoke Xu,445.04,488.84,72.13,71.13
688,2010CHAN20,Nevins Chan,445.27,489.42,72.09,71.04
689,2012DONG02,Han Dong,445.36,479.46,72.07,72.66
690,2008VARG01,Dániel Varga,445.36,479.07,72.07,72.73
691,2012ROQU01,Pedro Roque,445.65,486.89,72.02,71.45
692,2014ZYCH01,Jan Zych,445.84,476.76,71.98,73.1
693,2010YUAN08,Huan Yuan,445.89,494.57,71.98,70.19
694,2014BHUT01, Aman,445.92,486.87,71.97,71.46
695,2015SOAR01,Nikhil Soares,446.02,474.92,71.95,73.39
696,2017WANY05,Yikai Wang,446.13,474.47,71.93,73.47
697,2015CHIA06,Yun-Rong Chiang,446.14,474.42,71.93,73.48
698,2016PARK02,Eli Parker,446.16,539.54,71.93,62.63
699,2011WALK02,Adrian Walkowiak,446.29,485.68,71.9,71.65
700,2017HAYA03,Masahiro Hayashi,446.36,472.5,71.89,73.78
701,2015EWER01,Helmer Ewert,446.45,489.57,71.88,71.02
702,2015RUSS03,Will Russo,446.53,491.48,71.86,70.7
703,2011SALG01,Daniel Cano,446.55,489.15,71.86,71.08
704,2014ANDE01,Quinten Andelhofs,446.63,491.18,71.84,70.75
705,2018CILI01,Simone Cilia,446.75,491.13,71.82,70.76
706,2012SHEN02,CJ Sheng,446.91,487.71,71.79,71.32
707,2017KISL01,Alexey Kislovskiy,446.92,479.63,71.79,72.64
708,2015KARB02,Andrew Karbusicky,447.09,484.18,71.76,71.9
709,2017BYRN02,Mathias Søndergaard,447.16,494.43,71.75,70.21
710,2016KUGL01,Oliver Kugler,447.2,489.28,71.74,71.06
711,2017PHON06,Nguyễn An,447.35,495.54,71.72,70.03
712,2014BOYA01,Mark Boyanowski,447.62,480.85,71.67,72.44
713,2016SEGO02,Jorge Marín,447.76,483.54,71.64,72.0
714,2015GUER04,Devin Guerrero,448.42,471.37,71.52,73.96
715,2006KANG02,Ming-Hao Kang,448.45,489.09,71.52,71.09
716,2011WEIW01,Wei Wei,448.47,480.8,71.52,72.45
717,2016VELE04,Lê Đại,448.55,502.8,71.5,68.83
718,2013MCGR02,Logan McGraw,448.58,479.69,71.5,72.63
719,2017SETH03,Sameer Sethuram,448.6,490.34,71.49,70.89
720,2011AGAR05,Sumeet Agarwal,448.81,493.06,71.45,70.44
721,2017WONG01,Brenton Angelo,449.02,473.51,71.42,73.62
722,2012NGUY08,David Nguyen,449.17,489.66,71.39,71.0
723,2018MONT30,Cristian Javier,449.24,483.23,71.38,72.05
724,2011TANG04,Hongyuan Tang,449.29,484.18,71.37,71.9
725,2018KWON01,Do Hyun,449.41,479.0,71.35,72.74
726,2017HUMM01,Mitchell Hum,449.44,487.78,71.34,71.31
727,2015PECK01,Nathan Peck,449.59,497.09,71.32,69.77
728,2016JUAR08,Lance Christian,449.69,498.31,71.3,69.57
729,2016TRAS01,Finn Trass,449.92,482.06,71.26,72.24
730,2018KAWA02,Shugo Kawashima,450.36,481.04,71.18,72.41
731,2015PHAN02,Marquez Phan,450.42,497.34,71.17,69.73
732,2015ZHAN62,Xi Zhang,450.43,483.24,71.16,72.05
733,2015BERN02,Agustín Bernasconi,450.5,478.8,71.15,72.77
734,2009ZHAN52,Nanbin Zhang,450.52,498.05,71.15,69.62
735,2017LIAN15,Zhiying Liang,450.68,483.69,71.12,71.98
736,2016LIYI05,Yi Li,450.69,493.26,71.12,70.41
737,2016OZOR01,Isaac Adair,450.8,504.42,71.1,68.56
738,2011YUAN05,Lang Yuan,450.91,488.57,71.08,71.18
739,2018KOCH11,Vyacheslav Kochergin,451.1,474.17,71.04,73.52
740,2016RYCH01,Tobiasz Rychlik,451.12,489.93,71.04,70.96
741,2011FIOL01,Alberto Pérez,451.36,486.72,71.0,71.48
742,2014GRAD03,Adam Gradess,451.36,502.08,71.0,68.95
743,2009JUNY01,Howard Wong,451.63,493.08,70.95,70.44
744,2016RADO01,Aleksa Radovanović,451.68,481.16,70.94,72.39
745,2008VIRO01,Philippe Virouleau,451.74,494.96,70.93,70.13
746,2016REIC01,Andrew Reich,451.94,482.7,70.89,72.14
747,2015HECH02,Chenxiao He,452.15,481.63,70.86,72.31
748,2017RENZ01,Zejia Ren,452.41,490.76,70.81,70.82
749,2012LIIH01,I-Hsun Li,452.52,501.09,70.79,69.11
750,2014SCHO02,Cale Schoon,452.6,493.83,70.78,70.31
751,2017ZHAS06,Shidong Zhang,452.76,500.38,70.75,69.23
752,2016CHEN02,Tian Chen,452.78,492.21,70.74,70.58
753,2017MASL06,Lev Maslov,452.91,494.16,70.72,70.26
754,2018ANUA03,Ahmad Ilham,453.21,483.52,70.67,72.0
755,2019ANHT01,Trần Đình,453.31,478.98,70.65,72.74
756,2017LUND06,Joel Lundström,453.37,502.61,70.64,68.86
757,2016KAMA04,AJ Kamal,453.41,497.84,70.63,69.65
758,2010CHEN37,Zeqin Chen,453.48,485.85,70.62,71.62
759,2013WOJT02,Jakub Wojtaszewski,453.52,504.44,70.61,68.55
760,2017TIMO01,Liam Uno,453.67,499.35,70.58,69.4
761,2008HASH02,Wataru Hashimura,453.7,516.74,70.58,66.49
762,2010GOLD01,Zach Goldman,453.72,494.75,70.57,70.16
763,2018STRE01,Oliver Stremmelaar,454.12,502.01,70.5,68.96
764,2016ZHAJ09,Jihao Zhang,454.48,498.41,70.44,69.56
765,2017POPA01,Manuel Popayán,454.57,490.38,70.42,70.88
766,2013TSCH02,Robin Tschümperlin,454.61,478.54,70.41,72.81
767,2016OCON02,Lucas O'Connell,454.68,499.82,70.4,69.32
768,2017GARR05,Luke Garrett,454.86,479.42,70.37,72.67
769,2016CHAN09,Jaemin Chang,454.88,476.18,70.37,73.19
770,2019JAMB01,Keener Zamudio,455.05,490.16,70.33,70.92
771,2010WANG53,Jiayu Wang,455.2,487.11,70.31,71.42
772,2017WANJ07,Jinqiang Wang,455.22,483.96,70.3,71.93
773,2017KARI02,Takashige Karino,455.41,490.5,70.27,70.86
774,2016MULL04,Daniel Mullen,455.57,475.34,70.24,73.33
775,2017SILV16,Juliana Gonzalez,455.79,489.68,70.2,71.0
776,2008BAOY01,Ting Sheng,456.0,495.96,70.16,69.96
777,2017HUAT03,Tang-Kai Huang,456.24,490.68,70.12,70.83
778,2012MAJI02,Mohammad Sadegh,456.32,482.3,70.11,72.2
779,2016HARL01,Jason Harley,456.62,497.11,70.05,69.77
780,2016LIUX15,Xuan Liu,456.78,492.49,70.02,70.53
781,2016LIZH05,Zhi Li,456.8,491.1,70.02,70.76
782,2014ESCO02,Daniel Escobar,456.91,489.1,70.0,71.09
783,2016SING27,Madhav Singh,457.21,500.2,69.94,69.26
784,2017POMA02,Sebastián Herrera,457.23,484.01,69.94,71.92
785,2014BAEA01,Andrew Bae,457.24,485.56,69.94,71.67
786,2011ZHAN24,Chunyu Zhang,457.3,488.51,69.93,71.19
787,2010SCHM01,Leon Schmidtchen,457.35,489.11,69.92,71.09
788,2015YINC01,Chan Hay,457.65,505.4,69.87,68.39
789,2016SLEZ01,Gábor Slezák,457.67,499.67,69.86,69.35
790,2011CHEN19,Qingbin Chen,457.83,489.29,69.83,71.06
791,2016CHEN82,Yan-Rui Chen,457.92,500.41,69.82,69.22
792,2014HOLU01,Lev Golub,457.96,494.07,69.81,70.27
793,2014MIAO02,Qijun Miao,458.0,485.03,69.8,71.76
794,2017TANG20,Jiahe Tang,458.03,503.31,69.8,68.74
795,2017LIZH13,Zhichun Li,458.15,492.73,69.77,70.5
796,2016GUST02,Allen Gustrowsky,458.16,480.94,69.77,72.42
797,2017SUNC02,Christopher Sun,458.22,489.74,69.76,70.99
798,2018YANG05,Chen Yang,458.27,503.8,69.75,68.66
799,2007WOOR01,Riley Woo,458.42,498.65,69.73,69.52
800,2018GALA05,Kaloyan Galabinov,458.68,490.64,69.68,70.84
801,2016VELE01,Jose Carlos,458.76,509.83,69.66,67.65
802,2015YANG23,Cheng-Ru Yang,458.81,491.8,69.66,70.65
803,2011REYE04,Stephano Saucedo,458.86,500.92,69.65,69.14
804,2010DESJ01,Jules Desjardin,458.96,514.92,69.63,66.8
805,2017TUNG16,Chan Hui,459.18,497.41,69.59,69.72
806,2007SHIU02,Chung-Han Hsu,459.36,501.26,69.56,69.08
807,2012LIYA01,Yang Li,459.42,502.08,69.54,68.95
808,2012BROU01,Coren Broughton,459.51,502.18,69.53,68.93
809,2015JIYE01,Yee Wei,459.51,496.38,69.53,69.89
810,2015LIYU01,Yuze Li,459.52,522.11,69.53,65.58
811,2015CAMP03,Damián Campos,459.58,498.39,69.52,69.56
812,2014LIDO01,Dongzhe Li,459.58,500.54,69.52,69.2
813,2017SUNM02,Max Sun,459.76,497.47,69.48,69.71
814,2019IBRA02,Nordarwish Akmal,459.81,495.07,69.47,70.11
