rank,wcaId,name,single,average,single_score,average_score
1038,2015DIAN02,Agustín Diano,483.26,521.73,65.18,65.65
1039,2014TIAN02,Jiayong Tian,483.27,516.62,65.18,66.51
1040,2018YANY05,Yilin Yang,483.38,521.41,65.15,65.7
1041,2015HIGH01,Liam Highducheck,483.43,503.81,65.15,68.66
1042,2013TEMP01,Jhon Alexander,483.45,525.53,65.14,65.01
1043,2018MURZ02,Amir Murzakarimov,483.49,538.86,65.13,62.75
1044,2018PONT03,Matías Ponte,483.63,516.36,65.11,66.55
1045,2009METH01,Brady Metherall,483.84,511.49,65.07,67.37
1046,2014BHAT09,Alaik Bhatia,484.02,518.98,65.04,66.11
1047,2018YIKL01,Lim Chun,484.29,511.09,64.99,67.44
1048,2016DABR03,Stanisław Dąbrowski,484.41,527.12,64.96,64.74
1049,2019YAOJ01,Jerry Yao,484.45,525.58,64.96,65.0
1050,2016LARA03,Jurgen Lara,484.6,527.19,64.93,64.73
1051,2008VAJG01,Ibrahim Vajgel-Shedid,484.7,523.02,64.91,65.43
1052,2016COSS01,Dylan Cossin,484.72,525.72,64.91,64.97
1053,2014ENDO01,Jolo Endona,484.91,523.38,64.87,65.37
1054,2013GHOD01,Abhijeet Ghodgaonkar,485.09,532.13,64.84,63.89
1055,2010LAND01,Angel Arrioja,485.21,530.73,64.82,64.13
1056,2017BRAU02,Ugnius Byron,485.23,528.51,64.81,64.5
1057,2012BALI01,Kobe Balin,485.34,541.75,64.79,62.26
1058,2013LUDW01,David Ludwig,485.36,528.09,64.79,64.57
1059,2015MEIL01,Jon Meilstrup,485.51,508.06,64.76,67.95
1060,2018TURR01,Jacob Turrubiartes,485.98,520.03,64.67,65.94
1061,2018SALI09,Diego Villarreal,486.23,532.44,64.63,63.84
1062,2018HERN42,Miguel Ángel,486.24,508.21,64.63,67.92
1063,2010YUEN01,Wei Yuen,486.3,542.06,64.62,62.21
1064,2018BOND03,Pavlo Bondar,486.31,526.18,64.61,64.9
1065,2016KRUE01,Ivan Krueger,486.65,529.28,64.55,64.37
1066,2016DENN04,Ethan Dennis,486.7,528.44,64.54,64.51
1067,2018KAZE03,Zhanat Kazez,486.74,528.29,64.53,64.54
1068,2017TARS01,Vincentiu Tarsoaga,486.85,542.5,64.51,62.13
1069,2016MART91,Diego Serrano,486.88,525.74,64.51,64.97
1070,2017HOFF01,Phillip Hoff,487.05,527.82,64.48,64.62
1071,2016PALC02,Leonid Palchenko,487.47,562.86,64.4,58.69
1072,2011LEER01,Roy Lee,487.52,525.7,64.39,64.98
1073,2015HUSH02,Shao-Yu Hu,487.77,542.07,64.34,62.21
1074,2016HORV04,Mihály Horváth,487.78,507.45,64.34,68.05
1075,2016STUL02,Benjamin Stulken,487.89,519.1,64.32,66.09
1076,2015GOUJ01,Justin Gou,487.91,530.67,64.32,64.14
1077,2016KELL12,Simon Kellum,488.0,538.19,64.3,62.86
1078,2015JIME10,José Enrique,488.01,536.1,64.3,63.22
1079,2010UBAL01,John Edison,488.04,530.05,64.29,64.24
1080,2013KARI01,Jithin Prakash,488.11,524.19,64.28,65.23
1081,2014NERI01,Miguel Angel,488.47,529.72,64.21,64.3
1082,2016RAJA06,Jonas Rajagopal,488.47,533.36,64.21,63.68
1083,2016NOVO01,Gergely Novotni,488.62,552.57,64.19,60.43
1084,2019SUNX01,Xiao Sun,488.84,514.62,64.15,66.85
1085,2011LOPR01,Aaron LoPrete,488.89,540.68,64.14,62.44
1086,2011HETC01,Patrick Hetco,488.9,522.6,64.13,65.5
1087,2014PAST01,Dan Pastushkov,489.18,551.0,64.08,60.69
1088,2017HYOJ01,Choi Hyo-jin,489.29,526.36,64.06,64.87
1089,2018DUSH02,Dmitrii Dusheiko,489.4,536.24,64.04,63.19
1090,2018GRZY01,Jakub Grzyb,489.48,534.32,64.03,63.52
1091,2015PERK01,Josh Perkins,489.51,514.95,64.02,66.79
1092,2018YEZH03,Zhiyi Ye,489.58,521.88,64.01,65.62
1093,2016PHON03,Trần Thanh,489.71,520.45,63.98,65.86
1094,2009WHIT01,Ben Whitmore,489.74,536.02,63.98,63.23
1095,2019SONG03,Zhiheng Song,489.76,530.55,63.98,64.16
1096,2009SATO02,Shinichiro Sato,489.78,547.74,63.97,61.25
1097,2017WALL12,Stephen Waller,489.79,541.19,63.97,62.36
1098,2018BURK01,Travis Burkett,489.85,538.2,63.96,62.86
1099,2017KUNA01,Linus Kunath,489.94,532.44,63.94,63.84
1100,2012DEBS01,Michał Dębski,489.95,520.56,63.94,65.85
1101,2015ZARB01,Jakub Zarębski,490.13,524.53,63.91,65.18
1102,2015DEVI02,Jackson DeVico,490.14,540.99,63.91,62.39
1103,2015SAIF01,Aamir Saifee,490.19,558.19,63.9,59.48
1104,2010HANK01,Kai Han,490.23,535.2,63.89,63.37
1105,2017LUIS01,Reuben San,490.32,536.41,63.87,63.17
1106,2015JUNV01,Victor Tang,490.54,543.91,63.83,61.89
1107,2017HALI01,Amirul Rohaizat,490.63,519.22,63.81,66.07
1108,2016MELN01,Yevheniia Melnykova,490.67,548.9,63.81,61.05
1109,2015TORR12,Bernardo Torres,490.72,524.6,63.8,65.16
1110,2010KOHL02,Erwan Kohler,490.72,541.13,63.8,62.37
1111,2011SUBA02,Sukesh Subaharan,490.72,524.6,63.8,65.16
1112,2014TUZK01,Salamon Tűzkő,490.76,534.94,63.79,63.41
1113,2016ZHUH02,Hang Zhu,490.85,536.29,63.77,63.19
1114,2013JOKI01,Kim Jokinen,490.88,520.91,63.77,65.79
1115,2017DELG02,Kevin Antony,490.94,532.32,63.76,63.86
1116,2018CHES02,Gjorgji Cheshmedjievski,490.95,530.58,63.76,64.15
1117,2017LARS03,Michael Larsen,490.97,524.87,63.75,65.12
1118,2017NAJO01,Jongin Na,491.0,524.93,63.75,65.11
1119,2016SUHA02,Haonan Su,491.1,535.85,63.73,63.26
1120,2015JOSS01,Maxime Josse,491.11,516.53,63.73,66.53
1121,2014CRUZ06,Daniel Castellanos,491.29,533.29,63.69,63.69
1122,2018MURR03,Jasper Murray,491.35,535.22,63.68,63.37
1123,2020TAOR01,Richard Yiheng,491.45,537.51,63.66,62.98
1124,2016DAVI05,Joe Davis,491.46,525.43,63.66,65.02
1125,2015OCON03,John O'Connell,491.55,527.36,63.64,64.7
1126,2018HOPA01,Park Sin,491.63,527.23,63.63,64.72
1127,2018HAMK01,Jakub Hamkało,491.65,537.62,63.63,62.96
1128,2016BENI05,Jeremy Benik,491.66,524.08,63.62,65.25
1129,2017LIUZ07,Zeyu Liu,491.8,535.41,63.6,63.33
1130,2018YANG71,Haoze Yang,491.96,535.01,63.57,63.4
1131,2014CLAR03,Caleb Clark,491.98,566.5,63.56,58.08
1132,2017PETE04,Tripp Peters,492.11,534.68,63.54,63.46
1133,2015COHE02,Alexander Cohen,492.16,544.9,63.53,61.73
1134,2015WANG65,Yilin Wang,492.18,526.2,63.53,64.89
1135,2016GONZ26,Fernando Garcia,492.31,540.3,63.5,62.51
1136,2016HOFF03,Caleb Hoffman,492.4,528.2,63.49,64.56
1137,2015MACK06,Zeke Mackay,492.48,561.76,63.47,58.88
1138,2011WALL02,Chris Wall,492.52,524.69,63.46,65.15
1139,2013STAH02,Joey Stahl,492.55,544.69,63.46,61.76
1140,2016NGAN02,Michael Ngan,492.59,539.25,63.45,62.68
1141,2014STRO03,Daiven Strom,492.74,529.56,63.42,64.32
1142,2016VILL51,James Austin,492.84,540.62,63.41,62.45
1143,2008COND01,Guillermo Conde,492.86,540.75,63.4,62.43
1144,2017KORH01,Lauri Korhonen,493.09,547.22,63.36,61.33
1145,2013CHUC01,Chun-Chen Chu,493.11,534.28,63.36,63.53
1146,2011CHEN03,Guan Ying,493.19,542.63,63.34,62.11
1147,2013GONZ07,Carlos Miguel,493.24,523.62,63.33,65.33
1148,2015BELO03,Will Belote,493.3,540.9,63.32,62.4
1149,2008BYEO01,Yu Byeong-Seon,493.35,529.18,63.31,64.39
1150,2018LEED03,Darby Lee,493.36,527.89,63.31,64.61
1151,2019ROSE08,Kait Rosenberg,493.37,531.17,63.31,64.05
1152,2013CZEC01,Adam Czech,493.38,528.91,63.31,64.43
1153,2015MYEO01,Shin Myeong,493.49,538.86,63.29,62.75
1154,2017WADE01,Liam Wadek,493.51,553.8,63.28,60.22
1155,2017RIVE14,Christian Yael,493.55,537.3,63.27,63.01
1156,2016LIAO10,Ting-Yu Liao,493.63,539.51,63.26,62.64
1157,2018KHAN26,Hassan Khanani,493.85,540.76,63.22,62.43
1158,2017LARS01,Melker Larsson,494.01,539.6,63.19,62.62
1159,2018RODR49,Bastián Palma,494.01,528.52,63.19,64.5
1160,2019YURU02,Rui Yu,494.02,552.67,63.19,60.41
1161,2013FEDI01,Oleg Fedichkin,494.29,521.22,63.14,65.73
1162,2011FRES01,Linus Frész,494.51,531.2,63.1,64.05
1163,2016ZHAN32,Shuyuan Zhang,494.79,523.92,63.04,65.28
1164,2016BOUR01,Noé Bourdon,494.83,529.59,63.04,64.32
1165,2018HECH04,Chenyang He,494.85,551.16,63.03,60.67
1166,2017MUNO05,Michael Kevin,495.11,547.8,62.99,61.24
1167,2012WERB01,Sebastian Werb,495.12,531.46,62.98,64.0
1168,2013WANG51,Zhenchuan Wang,495.12,526.95,62.98,64.77
1169,2009CHEN35,Weifeng Cheng,495.19,523.6,62.97,65.33
1170,2018YANG92,Chih-Chuan Yang,495.28,530.85,62.95,64.11
1171,2016CALI04,Daniel C.,495.36,537.18,62.94,63.03
1172,2012HERN03,Felipe Rueda,495.45,537.26,62.92,63.02
1173,2011SUNG01,Sungho Hong,495.58,532.99,62.9,63.74
1174,2010MAZU02,Szymon Mazur,495.74,549.26,62.87,60.99
1175,2008JEWR01,Ryan Jew,495.76,531.08,62.87,64.07
1176,2016ZHEN28,Mingshi Zheng,495.77,523.47,62.86,65.35
1177,2013VAKU01,Edward Vakula,495.84,528.42,62.85,64.52
1178,2015TANG04,Calix Tang,495.87,549.05,62.84,61.02
1179,2015WUCH01,Cheng-Hua Wu,495.89,536.45,62.84,63.16
1180,2011BARN01,Muhamad Barnabas,495.89,528.21,62.84,64.55
1181,2005REYN01,Tim Reynolds,495.9,558.8,62.84,59.38
1182,2017VETK01,Vladimir Vetkin,496.03,533.15,62.82,63.72
1183,2016KENN01,Zak Kenny,496.21,535.53,62.78,63.31
1184,2017JONE14,Cameron Jones,496.24,547.53,62.78,61.28
1185,2017KRIS15,Mylo Rafael,496.27,526.68,62.77,64.81
1186,2015THIN01,Nguyễn Phúc,496.27,525.49,62.77,65.01
1187,2018FRAN20,Léo Francoeur,496.38,552.41,62.75,60.46
1188,2016TRAG01,Parker Trager,496.45,548.44,62.74,61.13
1189,2010JIMO01,Mo Ji,496.6,519.82,62.71,65.97
1190,2017MARR02,Carter Audet,496.6,537.0,62.71,63.07
1191,2019SACH01,Edric Sachio,496.64,551.24,62.7,60.65
1192,2018ZWIC01,Ben Zwicky,496.69,534.1,62.69,63.56
1193,2018PIKE01,Chandler Pike,496.71,522.63,62.69,65.5
1194,2017NIJS01,Nick Nijssen,496.78,523.02,62.68,65.43
1195,2017ALEM02,Milton Alexis,496.93,541.28,62.65,62.34
1196,2013WANK01,Key Yu,497.08,550.63,62.62,60.76
1197,2017WATS07,Oscar Watson,497.25,550.03,62.59,60.86
1198,2011ULIN01,Joel Ulin,497.4,535.66,62.56,63.29
1199,2014LUEV01,Fernando Matadamas,497.44,518.51,62.55,66.19
1200,2016CHOW04,Waden Cho,497.7,542.75,62.51,62.09
1201,2017NGHI04,Phan Trọng,497.8,530.4,62.49,64.18
1202,2016MORA10,Jose Antonio,497.82,541.07,62.48,62.38
1203,2018SHAO07,Xiang Shao,498.11,538.54,62.43,62.8
1204,2013BROW04,Evan Brown,498.11,610.43,62.43,50.86
1205,2011GANE01,Fandy Ramadhan,498.19,534.26,62.42,63.53
1206,2011MILL01,Wesley Miller,498.23,546.31,62.41,61.49
1207,2009FRAN05,Gustavo Maysonnave,498.25,547.67,62.4,61.26
1208,2010AGUI04,Pablo Aguilar,498.48,554.75,62.36,60.06
1209,2008WONE01,David Woner,498.49,539.75,62.36,62.6
1210,2017OLIV26,Carlos Joaquín,498.49,530.55,62.36,64.16
1211,2017ZHAX11,Xinrui Zhang,498.57,535.9,62.34,63.25
1212,2015GORD01,Dzianis Hardziayuk,498.6,529.84,62.34,64.28
1213,2011REED01,Austin Reed,498.62,554.57,62.34,60.09
1214,2019NOGA01,Ao Nogami,498.78,574.05,62.31,56.82
1215,2015WALK03,Micah Walker,498.83,542.79,62.3,62.08
1216,2013COLI02,Victor Colin,498.89,544.19,62.29,61.85
1217,2007HESS01,Rowe Hessler,498.93,531.47,62.28,64.0
1218,2017PIME01,Sergio Minaya,499.01,543.87,62.26,61.9
1219,2010BADR01,Muhammad Badruddin,499.05,542.15,62.26,62.19
1220,2013POHO01,Lukas Pohořelický,499.42,552.21,62.19,60.49
1221,2009ROTA01,Marco Rota,499.47,539.1,62.18,62.71
1222,2008LINH01,Hao-Zheng Lin,499.68,548.13,62.14,61.18
1223,2015YANG02,Daniel Yang,499.85,550.99,62.11,60.7
1224,2017HONG15,Chen Kee,500.02,549.64,62.08,60.92
1225,2014CHAN23,Sophie Chan,500.1,533.59,62.06,63.64
1226,2016COOK02,Matthew Cook,500.1,534.56,62.06,63.48
1227,2017POVE02,Dagne Poveda,500.2,540.34,62.04,62.5
1228,2017STAL02,Luca Stalpers,500.32,541.09,62.02,62.37
1229,2015WANG88,Wei Wang,500.33,547.87,62.02,61.22
1230,2015LASS03,Brody Lassner,500.35,538.34,62.02,62.84
1231,2017BENN09,Mark Bennis,500.75,530.49,61.94,64.17
1232,2011KOGL01,Jakob Kogler,500.97,549.7,61.9,60.91
1233,2013ZHON04,Tairan Zhong,501.05,553.0,61.89,60.36
1234,2014GOME01,Anderson Ortegón,501.05,552.81,61.89,60.39
1235,2014LIGE01,Gen Li,501.14,538.6,61.87,62.79
1236,2011LELE01,Gaspard Leleux,501.43,542.87,61.82,62.07
1237,2011TANH01,Haijun Tan,501.44,541.04,61.81,62.38
1238,2016ZHOU13,Xinwei Zhou,501.75,560.96,61.76,59.01
1239,2009DENG01,Bowen Deng,501.86,544.81,61.74,61.74
1240,2016OBRE01,Piero Alessandro,501.95,556.43,61.72,59.78
1241,2013STOI01,Alexandru Constantin,501.97,535.34,61.72,63.35
1242,2017WANG80,Wenjun Wang,502.1,542.04,61.69,62.21
1243,2014BOUD01,Eric Boudreau,502.21,540.24,61.67,62.52
1244,2013LIWI01,Michał Śliwiński,502.33,526.96,61.65,64.76
1245,2019NIJI01,Jinxuan Ni,502.35,532.26,61.65,63.87
1246,2015PEHR01,Ryan Peh,502.38,550.64,61.64,60.76
1247,2012ROTH01,Philipp Roth,502.48,549.71,61.62,60.91
1248,2017WANY29,Yifan Wang,502.53,546.08,61.61,61.53
1249,2017BAMS01,Bennett Bamsey,502.57,581.13,61.6,55.64
1250,2013LIHU01,Hua-Ting Lee,502.57,547.34,61.6,61.31
1251,2017MESY01,Pavel Mesyatsev,502.83,536.64,61.56,63.13
1252,2017RICH02,Braden Richards,502.83,545.09,61.56,61.69
1253,2017PECI01,Naglis Peciulis,502.84,554.48,61.55,60.11
1254,2014HART03,Maximilian Hartl,502.93,541.31,61.54,62.33
1255,2013ITOW01,William Yudi,502.95,538.18,61.53,62.87
1256,2018CAST08,Oliver Castledine,503.03,539.91,61.52,62.57
1257,2014NANN01,Ian Nanney,503.04,547.55,61.52,61.28
1258,2014MUTC01,Alexander Mutch,503.06,542.12,61.51,62.2
1259,2018LIUL05,Lichao Liu,503.08,526.91,61.51,64.77
1260,2015MYER02,Isaac Myers,503.12,545.35,61.5,61.65
1261,2014DENG05,Yuhao Deng,503.12,543.2,61.5,62.01
1262,2006SOUC01,Aurelien Souchet,503.14,549.92,61.5,60.88
1263,2015WIDD01,Owen Widdis,503.2,548.3,61.49,61.15
1264,2017HARR06,William Harris,503.21,536.46,61.49,63.16
1265,2018KOWA05,Konrad Kowalski,503.22,534.29,61.48,63.52
1266,2010DONA01,James Donahue,503.58,550.88,61.42,60.71
1267,2011STAN02,Nick Stanton,503.68,529.86,61.4,64.27
1268,2016OCHS01,Zachary Ochs,503.75,535.92,61.39,63.25
1269,2013FENG02,Zijia Feng,503.77,551.25,61.38,60.65
1270,2015VASQ06,Jarry Tapia,503.78,549.83,61.38,60.89
1271,2011LOHR01,Fritz Löhr,503.99,549.81,61.34,60.9
1272,2018HERN28,Nicolas Gonzalez,504.19,557.3,61.3,59.63
1273,2018YIJU01,Junyu Yi,504.32,531.62,61.28,63.98
1274,2012MAIA01,João Guilherme,504.45,541.34,61.26,62.33
1275,2017HUAN07,Gerson Marcelo,504.54,545.87,61.24,61.56
1276,2017GARC44,Carlos Garcia,504.6,557.32,61.23,59.63
1277,2018LIUC07,Chunxi Liu,504.69,534.53,61.21,63.48
1278,2015WHIT03,Brendan White,504.69,554.88,61.21,60.04
1279,2012TAYL02,Jackson Taylor,504.91,549.53,61.17,60.94
1280,2011FENG03,Shuangbin Feng,505.01,548.54,61.15,61.11
1281,2014GUHO01,Hongtu Gu,505.01,542.96,61.15,62.06
1282,2014PINT05,György Pintér,505.09,535.14,61.14,63.38
1283,2017PANG08,Gaojian Pan,505.44,548.65,61.07,61.09
1284,2008LEEP01,Lee Poon,505.47,533.53,61.07,63.65
1285,2019KREG01,Wouter Kregting,505.48,547.35,61.07,61.31
1286,2012SZEL01,Tommy Szeliga,505.5,551.59,61.06,60.59
1287,2017PETR02,Mihail Petrochenkov,505.62,537.65,61.04,62.95
1288,2011ZHAN03,Lijiaqi Zhang,505.63,558.8,61.04,59.38
1289,2018SHAO02,Zhenyang Shao,505.83,547.47,61.0,61.29
1290,2018HEAT01,Luke Heath-Edwards,505.86,560.34,61.0,59.12
1291,2015HIDA02,David Angel,506.14,563.86,60.94,58.53
1292,2015FENG03,Chong Feng,506.43,560.72,60.89,59.05
1293,2018ZHOU60,Mo Zhou,506.57,539.36,60.86,62.67
1294,2018WAYD01,Darcy Way,506.59,555.33,60.86,59.96
1295,2013BLAN01,Simon Blanchard,506.66,557.51,60.85,59.59
1296,2009CASA02,Myles Casanas,506.67,551.3,60.85,60.64
1297,2015DJAN01,Govend Avgerinos,506.94,551.12,60.8,60.67
1298,2014MODA01,Shantanu Modak,507.08,542.91,60.77,62.06
1299,2006HIGO01,Ryosuke Higo,507.09,548.45,60.77,61.13
1300,2015RAML01,Alvin Liantoro,507.14,576.09,60.76,56.48
1301,2008ZHAO05,Yunhao Zhao,507.17,565.82,60.75,58.2
1302,2018PUGS01,Jonathan Pugsley,507.31,544.55,60.73,61.79
1303,2014HEIY01,Arnold Yeung,507.33,544.13,60.72,61.86
1304,2013MUAT01,Matěj Mužátko,507.41,564.97,60.71,58.34
1305,2016DEXT01,Riley Dexter,507.7,561.07,60.66,58.99
1306,2015SUCL01,Pedro Luis,507.81,561.33,60.64,58.95
1307,2013RODR11,Mateo Rodríguez,507.82,561.73,60.63,58.88
1308,2016DIET01,Amelie Dieterich,507.94,554.31,60.61,60.14
1309,2009ZHEN11,Ming Zheng,508.01,547.46,60.6,61.29
1310,2017TECU01,Adolfo Ortega,508.26,545.95,60.55,61.55
1311,2017CHEJ11,Jianrong Chen,508.3,541.91,60.54,62.23
1312,2018ADLU01,Amogh Adluri,508.63,564.51,60.48,58.42
1313,2011TRON01,Fredrik Trondhjem,508.75,556.2,60.46,59.82
1314,2017SOSA03,Natalia Sosa,508.83,557.14,60.45,59.66
1315,2013IVAN03,Yaroslav Ivanashev,508.88,545.02,60.44,61.71
1316,2016PAOL01,Damiano Di,508.89,539.39,60.44,62.66
1317,2014SZEK01,Dániel Székely,508.92,559.29,60.43,59.29
1318,2018SAWY01,Jakob Sawyer,508.93,545.44,60.43,61.64
1319,2012NICO02,Alessandro Nicolì,508.94,544.78,60.43,61.75
1320,2011BILC01,Ihor Bilchenko,508.97,536.55,60.42,63.14
1321,2017PHUO01,Phạm Đức,509.08,546.62,60.4,61.44
1322,2015IMSE01,Brage Imset,509.21,536.26,60.38,63.19
1323,2011YUBE01,Ben Yu,509.23,543.22,60.37,62.01
1324,2009KIMA01,Anatoly Kim,509.25,555.64,60.37,59.91
1325,2017LIXI03,Xinyu Li,509.32,541.9,60.36,62.23
1326,2018BEIS01,Sanzhar Beisembayev,509.35,543.0,60.35,62.05
1327,2010KIPA01,Jakub Kipa,509.36,568.48,60.35,57.75
1328,2015SOUZ05,Patricky Albani,509.58,546.87,60.31,61.39
1329,2017VNKA01,Rūdolfs Vīnkalns,509.61,551.42,60.3,60.62
1330,2016BELL09,Lorenzo Bellocci,509.8,545.09,60.27,61.69
1331,2010STEV02,Robbie Stevenson,509.88,557.6,60.25,59.58
1332,2015SHEN07,Yue Shen,509.98,562.22,60.23,58.8
1333,2017SHEN09,Chew Yun,510.08,551.7,60.22,60.58
1334,2017CHEN28,Yiyun Chen,510.1,564.57,60.21,58.41
1335,2014SCHA03,Tim Schädel,510.21,560.47,60.19,59.1
1336,2018MCAR01,Callum McArthur-Mortell,510.24,574.66,60.19,56.72
1337,2015PESC01,Eric Pesci,510.37,558.03,60.16,59.51
1338,2009SMIT01,Tom Smith,510.42,563.86,60.15,58.53
1339,2014TILA01,Jonathan Tilahun,510.63,555.06,60.11,60.01
1340,2016SOON01,Jareth Soong,510.68,545.96,60.11,61.55
1341,2013GERT01,Nicolas Gertner,510.71,560.84,60.1,59.03
1342,2014QUAC01,Daniel Quach,510.82,567.43,60.08,57.93
1343,2014STEI03,Annika Stein,510.85,569.39,60.07,57.6
1344,2016ZHEN09,Ang Chin,510.93,576.92,60.06,56.34
1345,2009SMAR01,Jan Smarschevski,511.07,550.04,60.03,60.86
1346,2011EDUA01,Eduard Esteban,511.26,565.81,60.0,58.2
1347,2011NATU01,Krzysztof Natusiewicz,511.35,542.82,59.98,62.08
1348,2016RUCI01,Marcel Ručigaj,511.36,543.11,59.98,62.03
1349,2015GONS01,James Gonsalves,511.39,554.8,59.97,60.05
1350,2018NUTT01,Edward Nutter,511.48,549.85,59.96,60.89
1351,2018FRED01,Håkon Fredriksen,511.53,546.45,59.95,61.46
1352,2016MUZI01,Zihan Mu,511.6,547.02,59.94,61.37
1353,2013POBR01,Kaidrich Keolo,511.61,547.12,59.93,61.35
1354,2018DUBI01,Łukasz Dubicki,511.7,564.26,59.92,58.46
1355,2016KINS01,Sheng Foon,511.74,546.79,59.91,61.41
1356,2017ALON06,Juan Bernardo,511.96,547.91,59.87,61.22
1357,2015MANN02,Marco Manno,512.01,573.67,59.86,56.88
1358,2019CHAP03,Will Chaplin,512.02,543.71,59.86,61.93
1359,2011LING02,Rodson Lingad,512.14,559.79,59.84,59.21
1360,2008DONG02,Kim Dong-Young,512.16,576.09,59.83,56.48
1361,2015TRUJ04,Diego Trujeque,512.23,577.74,59.82,56.2
1362,2016RAYM01,Dylan Raymond,512.31,530.07,59.8,64.24
1363,2015BOUS02,Moez Boussarsar,512.44,541.74,59.78,62.26
1364,2018ASKA01,Akezhan Askar,512.46,558.29,59.78,59.46
1365,2009ORTI01,Daniel Gracia,512.53,558.44,59.76,59.44
1366,2016MEND03,Esteban Elías,512.55,571.55,59.76,57.24
1367,2016RAVE02,Alexandre Ravel,512.68,557.02,59.74,59.68
1368,2016CHAV12,Mauro Daniel,512.71,555.38,59.73,59.95
1369,2021ZHAN13,Nan Zhang,512.78,548.77,59.72,61.07
1370,2013BROT01,Chris Brotzman,513.08,560.31,59.66,59.12
1371,2017DUON01,Đỗ Duy,513.11,555.05,59.66,60.01
1372,2013PENA05,Nicolás Lasso,513.18,555.96,59.64,59.86
1373,2017EOMJ01,Joshua Eom,513.26,558.39,59.63,59.45
1374,2018PATT04,Phoenix Patterson,513.36,554.24,59.61,60.15
1375,2013MACI01,Adrián Martínez,513.39,566.42,59.61,58.1
1376,2016PRAB03,Pranav Prabhu,513.48,558.0,59.59,59.51
1377,2012FIED01,Kamil Fiedoruk,513.69,563.88,59.55,58.52
1378,2013JORD01,Maggie Jordan,513.74,564.26,59.54,58.46
1379,2017CAST48,Egdar Castillo,513.81,557.49,59.53,59.6
1380,2009XUAN03,Yan Xuan,513.86,545.69,59.52,61.59
1381,2018KOMD02,Wouter Komduur,513.94,542.07,59.5,62.21
1382,2015SEOJ04,Jin Ho,514.11,551.71,59.47,60.57
1383,2015GIRA03,Marco Giraud,514.15,561.07,59.46,58.99
1384,2018KIMJ03,Jin Young,514.24,578.61,59.45,56.06
1385,2015CHEN33,Zhuojian Chen,514.28,532.77,59.44,63.78
1386,2017KEEN04,Jacob Keener,514.42,558.98,59.42,59.35
1387,2017GUID01,Carolina Guidetti,514.57,573.55,59.39,56.9
1388,2016PENG03,Bokang Peng,514.62,564.55,59.38,58.41
1389,2013WUZE03,Zerui Wu,514.74,553.1,59.36,60.34
1390,2018BESA02,Nevign Angelique,514.76,543.51,59.35,61.96
1391,2016GARC41,Jak Fernando,514.87,549.07,59.33,61.02
1392,2012KASS01,Daniël Kassab,514.89,566.9,59.33,58.01
1393,2014DAMI01,Mingzhi Da,515.25,565.91,59.26,58.18
1394,2013LIUS02,Shangzhen Liu,515.3,542.28,59.25,62.17
1395,2018RIVE09,Caleb Salcedo,515.32,584.12,59.25,55.14
1396,2017GOLD02,James Golding,515.48,562.12,59.22,58.82
1397,2016STEP01,Wesley Stephenson,515.56,538.18,59.21,62.87
1398,2018PORT11,Javier Portillo,515.6,543.62,59.2,61.94
1399,2012VASK03,Michal Vasko,515.63,559.09,59.19,59.33
1400,2016MING05,Andre Louis,515.65,562.22,59.19,58.8
1401,2012WALD01,Daniel Waldo,515.65,552.08,59.19,60.51
1402,2018LINB02,Bo-Yu Lin,515.65,564.66,59.19,58.39
1403,2018THOM29,Carter Thomas,515.68,582.96,59.18,55.34
1404,2015YINZ01,Zhijie Yin,515.74,558.74,59.17,59.39
1405,2017RIOS06,Miguel Alejandro,515.79,549.19,59.16,61.0
1406,2016MACH03,Chao Ma,515.82,558.05,59.16,59.5
1407,2017RODR25,Abel Jesús,515.91,550.72,59.14,60.74
1408,2015PACH01,Juan Emiliano,515.92,571.81,59.14,57.19
1409,2019OUJI02,Jingqi Ou,515.94,562.76,59.14,58.71
1410,2014FIEC01,Jakob Fiechter,516.01,584.35,59.12,55.11
1411,2009SIEW01,Darren Siew,516.24,560.82,59.08,59.04
1412,2014NORM01,Otto Normanns,516.27,562.21,59.07,58.8
1413,2015RIZZ02,Luca Rizzi,516.33,566.43,59.06,58.09
1414,2016JOHN18,Julious Johnican,516.35,579.96,59.06,55.83
1415,2016LITT01,Ethan Littlejohn,516.46,569.32,59.04,57.61
1416,2016FANG01,Shenghai Fang,516.57,572.16,59.02,57.13
1417,2017FUSH01,Shangtong Fu,516.61,593.34,59.01,53.63
1418,2016ZHAN95,Weiwen Zhang,516.66,568.57,59.0,57.73
1419,2015SHAY01,Matthew Shay,516.74,559.64,58.99,59.24
1420,2009LEVI01,Jacob Levine,516.83,548.59,58.97,61.1
1421,2017LIUC11,Chunhao Liu,516.94,551.68,58.95,60.58
1422,2013CRON01,Conor Cronin,517.01,571.1,58.94,57.31
1423,2016HEZH01,Zhangyuan He,517.27,544.04,58.89,61.87
1424,2017CANT03,Carlos Quispe,517.28,552.33,58.89,60.47
1425,2018BOHN04,Stephen Bohner,517.65,548.78,58.82,61.07
1426,2012FANG04,Yanqing Fang,517.66,574.91,58.82,56.67
1427,2017BLAC06,Milo Black,517.69,555.06,58.81,60.01
1428,2020TAYL02,Alex Taylor,517.73,561.32,58.81,58.95
1429,2015SIAN01,Dylan Seah,517.79,561.43,58.79,58.93
1430,2018SHIY07,Yanze Shi,517.87,573.55,58.78,56.9
