Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Dan Cohen,USA,NewarkWinter2009,190.02,181.4,177.84,176.34
Dan Cohen,USA,FortLeeWinter2009,149.98,159.25,155.0,172.77
Dan Cohen,USA,OhioOpen2009,181.72,159.25,143.63,152.4
Dan Cohen,USA,BigCubesSummer2009,175.48,156.64,138.81,155.63
Dan Cohen,USA,WC2009,128.64,152.0,177.27,150.09
Michał Halczuk,Poland,SilesiaOpen2009,99.09,152.0,159.44,197.47
Dan Cohen,USA,CarnegieMellonFall2009,147.3,152.0,164.4,144.3
Erik Akkersdijk,Netherlands,TheHagueOpen2009,106.33,152.0,178.52,171.15
Dan Cohen,USA,IndianaWinter2010,149.73,152.0,154.75,151.52
Feliks Zemdegs,Australia,NewZealand2010,133.74,152.0,174.05,148.21
Bence Barát,Hungary,CzechOpen2010,142.78,152.0,161.47,151.75
Kevin Hays,USA,USNationals2010,142.37,152.0,162.88,150.75
Bence Barát,Hungary,EastGermanOpen2010,138.07,152.0,150.84,167.09
Michał Halczuk,Poland,PolishNationals2010,134.66,148.92,151.72,160.38
Erik Akkersdijk,Netherlands,LemgoOpen2010,125.0,148.92,173.9,147.86
Michał Halczuk,Poland,PabianiceOpen2010,135.05,148.92,172.38,139.33
Michał Halczuk,Poland,PabianiceOpen2010,127.55,148.92,156.3,162.91
Michał Halczuk,Poland,VCUBESpiel2010,138.37,148.92,153.34,155.05
Bence Barát,Hungary,VCUBESpiel2010,130.21,148.92,155.4,161.15
Bence Barát,Hungary,VCUBESpiel2010,147.61,148.92,165.25,133.9
Feliks Zemdegs,Australia,MelbourneCubeDay2010,138.99,148.92,167.86,139.91
Kevin Hays,USA,BigCubesBC2011,132.82,135.64,129.19,144.91
Feliks Zemdegs,Australia,MelbourneWinterOpen2011,125.56,135.64,149.68,131.68
Kam Chor Kin (甘楚健),China,HangzhouOpen2011,100.01,129.03,160.52,126.56
Kevin Hays,USA,CanadianOpen2011,116.53,129.03,144.06,126.5
Feliks Zemdegs,Australia,AustralianNationals2011,121.05,129.03,149.08,116.96
Kevin Hays,USA,WC2011,122.57,129.03,135.55,128.97
Feliks Zemdegs,Australia,WC2011,121.56,129.03,134.69,130.84
Kevin Hays,USA,WC2011,131.24,129.03,127.08,128.77
Michał Halczuk,Poland,VCubeSpiel2011,110.26,129.03,144.05,132.78
Feliks Zemdegs,Australia,AustralianNationals2012,106.17,115.13,114.91,124.31
Michał Halczuk,Poland,KrakowOpen2013,93.34,115.13,111.76,140.29
Kevin Hays,USA,WC2013,108.53,115.13,112.99,123.87
Feliks Zemdegs,Australia,WC2013,83.76,115.13,129.87,131.76
Kevin Hays,USA,WC2013,109.38,115.13,112.92,123.09
Kevin Hays,USA,USNationals2014,113.22,111.3,109.23,111.45
Kevin Hays,USA,Indiana2014,77.57,111.3,130.55,125.78
Vladislav Shavelskiy,Russia,CCCAutumnOpen2014,61.76,111.3,124.6,147.54
Feliks Zemdegs,Australia,CanberraAutumn2015,114.98,111.3,106.95,111.97
Kevin Hays,USA,CanadianOpen2015,111.94,111.3,114.66,107.3
Kevin Hays,USA,Indiana2015,111.04,111.3,129.31,93.55
Feliks Zemdegs,Australia,TCGAndFriendsAQP2015,112.0,111.3,109.29,112.61
Feliks Zemdegs,Australia,WC2015,103.61,106.41,109.14,106.48
Feliks Zemdegs,Australia,WC2015,94.62,105.98,104.37,118.95
Kevin Hays,USA,USNationals2015,95.1,105.98,107.6,115.24
Kevin Hays,USA,USNationals2015,72.52,105.98,112.62,132.8
Vladislav Shavelskiy,Russia,MoscowSouthWestOpen2015,87.63,105.98,112.22,118.09
Michał Halczuk,Poland,MasovianOpen2015,99.89,105.98,104.97,113.08
Feliks Zemdegs,Australia,ChinaChampionship2015,94.99,105.98,112.41,110.54
Feliks Zemdegs,Australia,ChinaChampionship2015,109.4,105.98,110.22,98.32
Feliks Zemdegs,Australia,MelbourneCubeDay2015,105.81,105.98,101.25,110.88
Feliks Zemdegs,Australia,CubingClassic2016,101.08,103.83,101.41,109.0
Mattia Furlan,Italy,SlovenianOpen2016,103.96,103.83,113.53,94.0
Feliks Zemdegs,Australia,Euro2016,98.69,103.83,103.67,109.13
Kevin Hays,USA,Euro2016,95.43,103.83,97.88,118.18
Kevin Hays,USA,Euro2016,91.94,103.21,118.76,98.93
Kevin Hays,USA,USNationals2016,95.04,103.21,109.13,105.46
Kevin Hays,USA,USNationals2016,88.22,103.21,124.37,97.04
Feliks Zemdegs,Australia,AustralianNationals2016,99.51,103.21,101.62,108.5
Kevin Hays,USA,Oregon2016,94.09,103.21,108.97,106.57
Mattia Furlan,Italy,ViennaOpen2016,62.71,103.21,112.84,134.08
Kevin Hays,USA,AsianChampionship2016,92.19,102.36,105.48,109.41
Feliks Zemdegs,Australia,MelbourneCubeDays2016,89.01,102.36,105.34,112.73
Feliks Zemdegs,Australia,SydneyChampionship2016,103.26,97.85,92.47,97.82
Feliks Zemdegs,Australia,AdelaideSummer2017,97.57,94.68,92.97,93.5
Kevin Hays,USA,Qualifornia2017,78.76,94.68,105.7,99.58
Kevin Hays,USA,MinnesotaCubeMelt2017,93.52,94.68,97.65,92.87
Feliks Zemdegs,Australia,TechweekNZ2017,87.18,94.68,92.29,104.57
Feliks Zemdegs,Australia,LatAmTourSantiago2017,83.04,94.68,106.98,94.02
Feliks Zemdegs,Australia,LatinAmericaCubingTourMontev2017,85.71,94.68,99.94,98.39
Feliks Zemdegs,Australia,LatinAmericaCubingTourCochab2017,95.91,94.68,90.56,97.57
Kevin Hays,USA,625BayArea2017,93.89,94.68,96.64,93.51
Feliks Zemdegs,Australia,LatinAmericaCubingTourLima2017,92.12,94.68,99.2,92.72
Feliks Zemdegs,Australia,LatinAmericaCubingTourChia2017,94.97,94.68,100.11,88.96
Feliks Zemdegs,Australia,China10years2017,83.34,87.79,89.09,90.94
Feliks Zemdegs,Australia,CanberraSpring2017,83.4,87.79,87.58,92.39
Feliks Zemdegs,Australia,MelbourneCubeDays2017,73.6,87.79,92.62,97.15
Max Park,USA,Skillcon2017,87.07,87.79,87.54,88.76
Feliks Zemdegs,Australia,AdelaideSummer2018,81.76,87.79,96.4,85.21
Kevin Hays,USA,ThanksFourTheInvite2018,82.73,87.79,94.42,86.22
Max Park,USA,BerkeleyWinter2018,63.55,85.1,102.6,89.15
Max Park,USA,AZCubingSpring2018,84.22,85.1,86.37,84.71
Max Park,USA,Qualifornia2018,65.91,85.1,90.69,98.7
Max Park,USA,WesternChampionship2018,80.09,84.14,84.51,87.82
Max Park,USA,Skillcon2018,74.57,77.1,81.23,75.5
Max Park,USA,UCSDWinter2019,58.89,77.1,82.51,89.9
Max Park,USA,BayAreaSpeedcubin152019,64.2,77.1,82.04,85.06
Max Park,USA,AnaheimQualifier2019,79.03,77.1,77.71,74.56
Max Park,USA,WesternChampionship2019,69.94,77.1,85.66,75.7
Max Park,USA,WarmUpSydney2019,70.41,77.1,75.1,85.79
Max Park,USA,CubingUSANationals2019,57.99,77.1,87.89,85.42
Kevin Hays,USA,VancouverBigCubesOpen2019,67.62,77.1,89.62,74.06
Max Park,USA,UCSDWinter2020,67.96,77.1,87.22,76.12
Tymon Kolasiński,Poland,LLSIBelzyce2021,60.27,75.9,90.88,76.55
