Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Max Hilliard,USA,OregonChampionship2019,17.13,20.12,18.45,24.78
Jack Cai,Australia,KoalaficationSydney2019,19.16,20.12,18.96,22.24
Jeff Park,USA,OklahomaSpring2019,3.72,20.12,20.05,36.59
Sebastiano Tronto,Italy,PoliMiMentalBreakdown2019,13.62,20.12,26.01,20.73
Jack Cai,Australia,KoalaficationBrisbane2019,20.63,20.12,16.22,23.51
Arthur Garcin,France,CoupedelAFS2019,5.7,20.12,28.87,25.79
Martin Vædele Egdal,Denmark,SSL2Skurup2019,12.67,20.12,28.27,19.42
Stanley Chapel,USA,MichiganCubingClubBeta2019,18.86,20.12,20.05,21.45
Max Hilliard,USA,DFWWithATwist2019,11.96,20.12,23.26,25.14
Max Hilliard,USA,DFWWithATwist2019,18.77,20.12,19.96,21.63
Daniel Lin,USA,MinnesotaCubeMelt2019,21.09,20.12,21.99,17.28
Max Hilliard,USA,MentalBreakdownWashington2019,9.23,20.12,20.67,30.46
Max Hilliard,USA,LincolnCity2019,18.62,20.03,23.49,17.98
Gianfranco Huanqui,Peru,SpeedcubingAcademyXelaju2019,19.47,20.03,21.44,19.18
Jake Klassen,Canada,NationalCapitalRegion2019,18.43,20.03,19.77,21.89
Jake Klassen,Canada,NationalCapitalRegion2019,19.17,19.79,18.65,21.55
Stanley Chapel,USA,GreatLakesChampionship2019,18.55,19.79,19.61,21.21
Berta García Parra,Spain,AtoutcubesOpen2019,15.43,19.79,18.44,25.5
Stanley Chapel,USA,SouthernChampionship2019,10.77,18.28,26.1,17.97
Max Hilliard,USA,KeepPortlandQuiet2019,17.2,18.28,17.16,20.48
Max Hilliard,USA,WarmUpSydney2019,18.75,18.28,17.41,18.68
Max Hilliard,USA,WC2019,15.06,18.28,19.07,20.71
Jake Klassen,Canada,WC2019,9.15,18.28,26.13,19.56
Max Hilliard,USA,CubingUSANationals2019,16.56,18.28,17.23,21.05
Max Hilliard,USA,CubingUSANationals2019,20.07,18.28,19.27,15.5
Stanley Chapel,USA,Michigan2019,1.73,18.28,32.41,20.7
Berta García Parra,Spain,MentalBreakdownGermany2019,14.54,18.28,19.56,20.74
Max Hilliard,USA,YakimaSideEvents2019,16.0,18.28,21.21,17.63
Jeff Park,USA,345CubeDayAllen2019,15.4,18.28,17.86,21.58
Jake Klassen,Canada,WinnipegOpen2019,15.72,18.28,21.09,18.03
Stanley Chapel,USA,OSUBlindWeekend2019,20.4,18.28,16.78,17.66
Jake Klassen,Canada,Alberta5thAnniversary2020,13.84,18.18,17.9,22.8
Jack Cai,Australia,MelbourneSummer2020,15.98,18.18,18.11,20.45
Jakob Gunnarsson,Sweden,GreveGymnasium2020,16.13,18.18,21.18,17.23
Martin Vædele Egdal,Denmark,GreveGymnasium2020,18.64,18.18,18.22,17.68
Bowen Xiao (肖博文),China,XianCherryBlossomPM2021,5.5,18.18,22.09,26.95
Kaijun Lin (林恺俊),China,GuangdongOpen2021,15.97,18.18,18.93,19.64
Kaijun Lin (林恺俊),China,GuilinOpen2021,11.52,18.18,25.45,17.57
Tommy Cherry,USA,FloridaReturns2021,23.45,18.18,15.27,15.82
Noah Swor,USA,FloridaReturns2021,16.58,18.18,17.16,20.8
