Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Jonatan Kłosko,Poland,SLSBedzinOpen2017,2.31,2.62,2.78,2.84,2.24,4.14,1.84
Jonatan Kłosko,Poland,SLSBedzinOpen2017,2.47,2.62,2.82,2.37,3.99,2.48,2.56
Łukasz Burliga,Poland,DLSCzerwiec2017,2.54,2.62,2.6,2.73,5.21,2.37,2.53
Michał Rzewuski,Poland,GLSCupIII2017,2.44,2.62,2.41,2.69,3.14,2.76,1.86
Jan Zych,Poland,ByczyCubeRace2017,2.54,2.62,2.1,3.36,2.54,1.87,3.22
Łukasz Burliga,Poland,ByczyCubeRace2017,2.59,2.62,1.6,3.52,3.9,1.51,2.74
Jonatan Kłosko,Poland,WC2017,2.6,2.62,1.88,3.48,5.59,1.81,2.5
Michał Rzewuski,Poland,WC2017,2.54,2.62,2.65,2.74,3.38,2.47,2.4
Zeyu Hu (胡泽宇),China,ChinaChampionship2017,2.49,2.62,2.17,1.77,3.72,2.64,3.05
Cale Schoon,USA,HeartlandChampionships2017,2.54,2.62,1.83,1.58,4.06,2.5,3.53
Fabio Schwandt,United Kingdom,ABHC2017,2.59,2.62,2.34,2.24,3.72,2.83,2.69
Kevin Gerhardt,Germany,GermanNationals2017,2.55,2.62,1.43,4.46,3.2,3.23,1.22
Michał Rzewuski,Poland,GermanNationals2017,2.52,2.62,1.93,3.29,1.63,3.99,2.64
Maxence Baudry,France,ChampagneOpen2017,2.58,2.62,2.53,2.84,2.49,3.22,2.41
Łukasz Burliga,Poland,PolishOpen2017,2.52,2.55,2.5,3.03,2.4,2.63,2.52
Mattheo de Wit,Netherlands,DutchNationals2017,2.53,2.55,1.61,6.36,1.56,3.58,2.46
Michał Rzewuski,Poland,SpeedDaysKielce2017,2.38,2.51,2.06,3.08,2.39,3.76,1.66
Łukasz Burliga,Poland,SpeedDaysKielce2017,2.24,2.51,2.76,2.54,2.23,2.87,1.94
Zeyu Hu (胡泽宇),China,TJHSSTFall2017,2.4,2.51,2.26,1.92,2.08,5.39,3.19
Jonatan Kłosko,Poland,GLSFinal2017,2.2,2.51,2.46,4.06,2.37,1.53,2.7
Jonatan Kłosko,Poland,CFLSantaClausCubeRace2017,2.02,2.51,3.28,1.82,2.25,2.0,3.62
Zeyu Hu (胡泽宇),China,AsianChampionship2018,1.94,2.03,1.81,2.15,2.13,3.32,1.55
Michał Rzewuski,Poland,IIIMasovianOpen2019,2.01,2.03,2.02,2.02,2.33,1.96,2.05
Daniel Vædele Egdal,Denmark,TarnbyCubeTraef2019,2.02,2.03,1.08,3.01,1.04,2.0,3.51
Christopher Chi,USA,ConstitutionStateWinter2020,1.83,2.03,2.04,2.2,3.54,1.85,1.44
