Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Antoine Cantin,Canada,Waterloo2014,12.35,12.56,10.42,9.8,13.73,13.53,14.12
Antoine Cantin,Canada,AtlanticOpenFall2014,11.46,11.85,11.39,12.28,11.88,10.22,13.01
Antoine Cantin,Canada,TorontoOpenFall2014,11.75,11.85,9.06,13.01,14.28,13.48,8.75
Collin Burns,USA,RedCrossCubingOpen2014,11.68,11.85,9.87,11.64,15.93,9.37,14.04
Feliks Zemdegs,Australia,Niddrie2014,11.46,11.85,11.26,10.08,-0.01,10.77,13.52
Michał Pleskowicz,Poland,France2015,11.57,11.72,9.63,19.77,9.19,13.25,12.28
Antoine Cantin,Canada,TorontoOpenFall2015,10.73,10.87,10.4,11.12,9.99,11.09,13.68
Pavan Ravindra,USA,RedCrossCubingOpen2016,10.64,10.87,10.95,10.25,11.06,10.6,13.59
Antoine Cantin,Canada,EdmontonOpenWinter2016,10.73,10.87,10.81,10.88,10.39,12.87,10.92
Michał Pleskowicz,Poland,KaskadaOpen2016,10.11,10.87,11.26,9.3,8.99,12.94,12.05
Antoine Cantin,Canada,TorontoLimitedSpring2016,10.75,10.87,9.66,11.75,9.3,11.72,11.23
Pavel Galaktionov,Russia,SPBSpringOpen2016,10.65,10.87,9.71,12.54,10.36,9.04,14.79
Antoine Cantin,Canada,BelfortOpen2016,10.3,10.87,11.22,11.23,9.5,10.16,13.05
Michał Pleskowicz,Poland,Euro2016,10.63,10.87,10.36,9.63,13.25,10.49,11.76
Antoine Cantin,Canada,USNationals2016,10.44,10.7,10.21,9.43,11.05,10.84,16.21
Feliks Zemdegs,Australia,AustralianNationals2016,10.66,10.7,10.06,10.66,9.95,11.38,14.11
Antoine Cantin,Canada,MontrealOpenWinter2017,10.05,10.59,11.23,10.08,10.46,9.62,14.69
Antoine Cantin,Canada,LatAmTourSantiago2017,10.37,10.59,10.7,10.05,12.68,10.37,10.7
Feliks Zemdegs,Australia,LatinAmericaCubingTourCochab2017,10.51,10.59,9.66,9.41,10.65,11.46,13.0
Feliks Zemdegs,Australia,LatinAmericaCubingTourArequi2017,10.53,10.59,9.39,11.39,15.22,10.99,9.22
Antoine Cantin,Canada,LatinAmericaCubingTourChia2017,9.98,10.59,11.2,10.84,11.52,9.38,9.73
Feliks Zemdegs,Australia,LatinAmericaCubingTourGuatem2017,9.4,10.59,11.53,9.16,11.08,13.27,7.96
Justin Mallari,USA,LexingtonSummer2017,10.57,10.59,9.99,12.97,11.81,9.97,9.92
Max Park,USA,CubingUSANationals2017,10.22,10.59,10.63,9.52,13.3,10.85,10.29
