Competition,Round,Group,ScrambleNum,Solved Pieces,Scramble
GLSCupI2016,f,B,2,5,B' D2 B D2 B' U2 B2 L2 F' L' D2 L' B2 L2 F U F' L' F Uw2
SPBAutumnOpen2015,f,A,3,5,F2 U2 L2 B' L2 F L2 B2 D2 B' D' L' R B D2 B2 R2 F' R' D' Rw' Uw2
WeihaiOpen2016,f,A,3,5,L2 U' B2 D' B2 U2 R2 F2 R2 B2 U' F D2 U' L B' L2 F' L B' D' Fw
ShenyangSpring2017,1,A,1,5,R2 D' F2 L2 D L2 D2 U B' D2 B2 L R2 B F D' B' D' B2 Rw2 Uw'
CampeonatodeCuboXeta2017,f,B,1,5,B2 L2 F' D2 L2 F2 R2 F' D L2 U L2 F D2 R' F2 D B' U2 Rw Uw
WenzhouOpen2017,f,A,2,5,R U2 L F2 R2 U2 F2 L' F2 U B D U' L' R U R' D' R2 U2 Fw Uw'
BelgianWinter2017,f,A,1,5,F2 U' R2 D B2 D F2 L2 D2 B2 F R D' L2 D' R' U' R' B' U2 Rw2
OrangeTech2017,f,B,1,5,B2 F2 U' B2 D2 B2 R2 B2 R2 B' R' F L2 R2 B U' F' U2 R2 U Rw' Uw2
YangzhouOpen2016,f,A,3,5,R F2 L2 R U2 L B2 L' D2 F2 D' F2 D F D2 B2 L2 D2 B' L' Uw
MalaysiaCubeOpen2016,f,A,2,5,R2 D' L2 U' F2 L2 D' U R2 F' R' D F U' B2 R' F' R2 B R2 Fw Uw
CitedesJeux2016,1,A,1,5,L2 B U2 R2 F U2 F2 D2 F' L' U2 R B' L' U' R2 D2 B D B Rw Uw'
RodeoCarnivals2017,f,A,2,5,F2 R2 U2 F2 D B2 R2 D B2 L2 R' B2 U F' D U2 B2 D B F2 Rw2 Uw
SummerKubeVilaVelha2020,f,A,1,6,D2 B2 U2 B2 R2 F2 U F2 U' B2 F2 R B' R' U B' D2 B' D' R2 D Fw' Uw2
MiniCampeonatoSantiago2014,f,A,1,6,U2 L2 B' F R2 F' L2 B D2 L D2 F2 D L R' D2 U' R' D U Fw Uw
SantoDomingoWinter2020,f,A,1,6,U L2 D2 U' R2 F2 U' L2 F2 D2 B' D2 R D2 R B2 L2 R U' R Uw2
FloridaReturns2021,f,A,3,6,R D' L2 B L U R' U R' F B2 R2 U2 B D2 B U2 D2 R2 Fw Uw
LunadeXelaju2018,f,A,2,6,B2 D L2 F2 D' R2 D F2 R2 U' B' U' B D' L' R2 D' U L' D2 Rw2
SwisscubingCupFinal2017,1,A,1,6,D2 B2 D' L2 D' U2 B2 D L2 F D2 L B U B' F R' B D L R2 Fw' Uw'
VirginiaOpenSpring2017,f,A,1,6,D2 R2 B U2 F' R2 D2 L2 B R D2 F2 U' F2 U2 L2 B2 L2 Fw Uw'
MalangMiniComp2019,f,A,2,6,B2 F2 U' L2 F2 U L2 U' L' U' B' F' U2 F2 U' B L2 F U' Rw Uw2
CaltechWinterOpen2015,f,A,2,6,D U R2 D' L2 B2 L2 D R B' R' D2 F R2 D2 R' B2 D' F2 R2 Fw' Uw'
TurninginTexas2018,f,B,2,6,L2 D R2 D' U R2 U2 B2 L' F' U' R U F D R D B2 Rw'
IsraelSummerOpen2019,f,A,2,6,U2 R2 F2 D' L2 F2 U L2 B' L2 B' R2 B2 R D2 F' R D2 Fw Uw
TapiolaWinterOpen2019,f,A,1,6,D2 R B2 D2 R F2 U2 F2 D2 R' F D R2 F' R B2 F' R' B D Fw' Uw2
CannesOpen2015,f,B,1,7,L2 B2 D' B2 F2 L2 R2 B D' L' F' R2 F' D U L B2 F D Rw'
