Name,Best WR,Event
Lorenzo Corradin,2477,minx
Alessandro Pizzi,2477,minx
Luca Bellitti,2480,333bf
Nicola Formentin,2506,magic
Andrew Verducci,2518,333
Giuseppe Manzo,2526,magic
Gabriele De Matteis,2531,222
Leonardo Savi,2565,333fm
Sadid El Mehdi,2566,magic
Jacopo Cardone,2607,magic
Fabio Calamati,2612,222
Daniele Moretti,2658,pyram
Paolo Rosson,2668,333bf
Lorenzo Giulio Ricci,2676,333fm
Riccardo Fiore,2685,333ft
Nicola Mazza,2694,skewb
Alessandro Scanu,2726,magic
Luca Rannisi,2771,777
Valerio Colapinto,2783,sq1
Giacomo Amati,2794,444
Marco Larotonda,2797,333ft
Gianluca Colizzi,2821,minx
Dario Bianchini,2837,333oh
Raffaele Pascazio,2871,sq1
Alessandro Calzolaro,2908,333bf
Nicolò Quaresima,2915,777
Federico Rinalduzzi,2932,777
Andrea Princic,2991,333
Jungqiang Chen,3021,clock
Valerio Maggi,3031,sq1
Federico Masilunas,3061,magic
Giorgio Zaccaria,3069,333bf
Andrea Beretta,3078,clock
Giulia Accorsi,3082,444
Giacomo Daniele Corò,3085,333
Vincenzo Millemaci,3164,magic
Tommaso Lunghi,3169,333bf
Paolo Mazzei,3172,333fm
Alfredo Glioti,3192,magic
Pietro Bianco,3254,222
Emanuele Scibilia,3257,magic
Caterina Pali,3272,333oh
Marco Fiore,3300,magic
Yuri Donati,3354,sq1
Davide Corsi,3421,magic
Matteo Binello,3435,magic
Francesca Argenta,3435,magic
Alberto Colautti,3445,222
Jacopo Mucci,3466,magic
Daniil Badalato,3529,pyram
Pietro Vigani,3538,magic
Mattia Martino,3543,skewb
Emanuele Marchesi,3578,minx
Gabriele Gambino,3637,pyram
Attilio Buttiglione,3653,777
Marco Minici,3684,444
Gabriele Spedicato,3688,333fm
Ilaria Rigolon,3716,magic
Diego Pirovano,3743,333oh
Sara Cappelli,3747,sq1
Stefano Zanini,3780,magic
Luca Quaglia,3830,clock
Marco Iamonte,3838,666
Leonardo Oppi,3857,333bf
Mirko Calzolaro,3862,magic
Flavio Bocola,3874,333
Diego Eustachio Farchione,3880,sq1
Andrea Magrin,3893,222
Lorenzo Magnarin,3893,222
Ivan Enrico,3922,magic
Klaus Kaserer,3930,magic
Carmelo Piazza,3934,333
Mattia Salomone,3951,333fm
Alessandro Simone,3959,222
Elias Walter Ebner,3979,sq1
Ciro Vignotto,4055,minx
Luca Marseglia,4100,333bf
Victor Giaquinto,4196,333fm
Ivan Fraioli,4196,333fm
Lorenzo Guglielmi,4239,333bf
Valerio Raimondi Vallesi,4252,sq1
Lorenzo Guarini,4254,sq1
Rafaela Estrada,4256,clock
Federico Basanese,4262,333
Leonardo Passafaro,4270,222
Aleandro Francesco Piccione,4287,333bf
Simone Cipriano,4292,sq1
Giulio Chiminelli,4303,minx
Davide Cistulli,4346,magic
Davide Azzini,4368,333bf
Filippo Mancini,4402,333fm
Davide Murciano,4409,444
Alessio Vitale,4414,skewb
Giulio Evangelisti,4451,pyram
Tommaso Martini,4514,222
Leonardo Zara,4544,minx
Stefano Savastano,4549,magic
Matteo Parodi,4550,222
Luigi Borzillo,4551,magic
Valerio Ferraro,4630,333fm
Elio Greggio,4630,333fm
Gianluca Palo,4646,skewb
Enrico Tomatis,4734,333bf
Antonio Barba,4769,777
Dario Angelo Narbone,4800,444
Luca Saracino,4800,pyram
Daniele Buccolieri,4844,pyram
Gabriele Marchitelli,4848,skewb
Andrea Altieri,4859,sq1
Nino Monserrato,4984,333bf
Alessandro Galloppo,4985,pyram
Simone Pellegrini,5011,333oh
Gabriele Zanni,5028,333fm
Angelo D'Andrea,5028,333fm
Lorenzo Ciarlatani,5037,skewb
Giorgio Constantino Buruian,5048,777
Lorenzo Bianco,5079,333
Davide Macri,5084,333oh
Alessandro Calanna,5107,clock
Leonardo Fragapane,5109,clock
Cristian Scaglioso,5144,333oh
Michele Scattola,5173,sq1
Claudio Perrone,5175,333
Gian Maria Gnecco,5280,333bf
Stefano Dezuanni,5355,sq1
Piero Cianciotta,5385,333fm
Filippo De Lucchi,5455,333bf
Simone Rizzo,5460,555
Davide Ferraro,5501,333
Samuele Madau,5529,333fm
Federico Mazzetto,5529,333fm
Jordan Crippa,5529,333fm
Daniele Stella,5652,333oh
Lorenzo Maria Russo,5670,sq1
Elisa Gasperotti,5671,333fm
Mirko Morati,5678,333bf
Alessandro Casarin,5683,sq1
Marco Albertazzi,5689,sq1
Piernicola Scalzi,5754,444
Tommy Hu,5808,333fm
Giovanni Marconi Nalim,5851,pyram
Lapo Saccardi,5956,333
Andrea Macrì,6013,skewb
Sofia Malatesta,6049,333fm
Luca Nicolosi,6126,666
Riccardo Munaro,6134,333fm
Gabriele Catarsi,6179,333
Eros Gianaria,6183,777
Sami Stracquadanio,6185,skewb
Francesco Negriolli,6210,333bf
Valerio Antonini,6218,333fm
Leonardo Brandolini,6226,222
Andrea Marucci,6312,777
Maximus Diego Sironi,6340,minx
Andrea Lambertini,6351,222
Francesco Carannante,6367,333fm
Giovanni Bazzani,6413,skewb
Gabriele Bacchieri,6481,444
Carlo Fagioli,6501,skewb
Gabriele Mansi,6514,666
Eugenio Spadafora,6618,333fm
Andrea Tonoli,6624,clock
Stefano Fava,6685,666
Luigi Riccio,6703,333fm
Francesco Galetta,6738,333fm
Tiziano Arcifa Agatino,6785,clock
Giorgio Giannantoni,6836,333bf
Lorenzo Gaviani,6847,pyram
Nicholas Iperti,6851,sq1
Silvia Boscolo Bariga,6920,clock
Matilde Bandini,6968,444
Dario Doninger,7041,333
Gabriele Lazzarotto,7045,minx
Mattia Riva,7079,sq1
Valerio Alfano Raddavi,7093,222
Federico Cazzaniga,7281,666
Filippo Mascheretti,7306,444
Raffaele Tolomelli,7320,pyram
Luojin Xu,7357,minx
Luca Spagnolo,7360,clock
Gianluca Monopoli,7372,222
Matteo Cucinotta,7420,skewb
Rocco Barberis Canonico,7424,pyram
Giuseppe Pio La Castellana,7459,clock
Filippo Vigani,7675,clock
Michele Spagnolo,7812,clock
Stefano Dalla Longa,7842,sq1
Luca Rossin,7892,skewb
Simone Traverso,7927,333
Fabio Asaro,7966,333oh
Marcello Fantuzzi,8036,333
Federico Brusadin,8065,sq1
Davide Cioni,8150,333oh
Riccardo Cimma,8187,pyram
Filippo Gragnoli,8217,skewb
Eduard Lucaci,8298,333
Mattia Stella,8329,pyram
Kevin Tomasoni,8372,minx
Eleonora Giangrandi,8403,333
Giandomenico Scalzi,8426,222
Michele Doronzo,8474,444
Michele Garuti,8477,555
Stefano Gammelli,8520,minx
Alessandro Carconi,8578,pyram
Simone D'Amico,8599,sq1
Marco Lapadula,8674,pyram
Riccardo Perrone,8706,pyram
Michele Pisani,8751,sq1
Domenico Chilà,8757,444
Luca Rossini,8869,pyram
Alberto Cimmino,8960,555
Alex Cipriani,9088,minx
Vittorio Barbato,9189,444
Monica Suraci,9191,pyram
Carolina Piccolella,9428,pyram
Samuele Zucca,9466,222
Alessandro Dibitonto,9473,pyram
Anna Gruber,9499,sq1
Milo De Nadai,9566,pyram
Chiara Molinari,9684,sq1
Niccolò Peretto,9733,444
Eros Trevisiol,9864,sq1
Alessandro Calzoni,9900,333oh
Gabriele Ghione,9960,sq1
Samuele Spina,10040,333oh
Flavio Capulli,10183,pyram
Fabio Merici,10183,sq1
Emanuele Cavaglià,10197,sq1
Luca Tincani,10339,222
Ivan Federspieler,10388,pyram
Daniele Zerilli,10432,222
Claudia Brighina,10460,444
Marco Pozzati,10479,pyram
William Forestiere,10601,444
Pietro Peri,10625,sq1
Josuè Pangrazzi,10673,444
Luca D'Urbano,10901,333
Giulio Abramo,11033,minx
Diego Catà,11052,222
Andrea Chiaramello,11146,222
Matteo Buttazzo,11146,sq1
Federico Calvagno,11310,sq1
Alberto Infantino,11360,minx
Davide Anterini,11489,222
Andrea Vettorazzo,11495,333oh
Giuseppe Calandrino,11778,pyram
Tommaso Cicconofri,11782,222
Omar Contin,11799,sq1
Giuseppe Di Febbraro,11804,333
Davide Celano,11835,sq1
Alessandro Cadei,11871,minx
Pietro Sala,11880,sq1
Andrea Mascaro,11893,222
Thomas Picerno,11905,555
Davide Mancarella,11954,skewb
Jean Alfred Gargano Alomia,11985,pyram
Federico Baravalle,11985,pyram
Alfonso D'Angiò,12004,555
John Nicholan Pangan,12110,skewb
Martino Castellana,12110,skewb
Francesco Bormè,12153,pyram
Riccardo Bonanomi,12282,minx
Francesco Dotto,12337,pyram
Fabio Moscatiello,12361,minx
Samir Piazzano,12511,minx
Valentina Panzuto,12641,minx
Simone Cutrona,12724,minx
Nicola Boccabella,12746,333oh
Pasquale Scalise,12765,skewb
Antonio Durante,12771,pyram
Kevin Juvany,12841,minx
Flavio Antonini,12860,222
Alessandro Trenta,12947,555
Riccardo Carletti,13025,555
Giuseppe Parisella,13051,222
Francesco Govoni,13076,pyram
Tommaso Venzi,13097,minx
Ines Federspieler,13269,skewb
Andrea Di Michele,13358,333oh
Maurizio Elvis Claudio Masseni,13434,555
Edoardo Feraco,13511,pyram
Luca Musone,13511,pyram
Elena Berselli,13553,minx
Marco de Biase,13652,minx
Riccardo Brancaleoni,13659,222
Andrea Farolfi,13726,333
Raphael Pasuto,13752,333oh
Alessandro Sebastiani,13859,222
Falco Marchi,13928,minx
Aris Patronis,13944,skewb
Federico Pace,13973,skewb
Alessio Mortillaro,14095,pyram
Alessandro Flati,14110,minx
Liam Edward Slater,14224,minx
Mattia Finotti,14235,skewb
Marco Langella,14242,pyram
Riccardo Galanti,14299,pyram
Tommaso Tovoli,14319,333oh
Albiero Beniamino,14361,222
Matteo Babini,14380,333
Francesco Riccardi,14411,222
Claudio Fabrizio Scalia,14411,222
Martina D'Amante,14454,222
Vittorio Brown,14466,skewb
Daniel Tinazzi,14512,333
Francesco Longo,14563,444
Nani De Marchi,14573,333oh
Filippo Giunta,14659,333
Carlo Emanuele Marino,14662,minx
Cristiano Alba,14690,555
Nicolas Baldassarri,14691,333oh
Leonardo Bonaventura,14787,minx
Mosè Colangelo,14862,333
Lorenzo Scognamiglio,14921,555
Samuele Gigli,14998,pyram
Ishwara Leonardo Karim Lutsenko,15027,minx
Christopher Cusumano,15122,minx
Francesco Rossi,15154,pyram
Daniele Dominici,15186,skewb
Angelo Pandolfi,15235,pyram
Lorenzo Sartini,15243,pyram
Lapo Staccioli,15252,minx
Lorenzo Zorloni,15391,333
Ignacio Cuzzolino Aste,15509,minx
Claudio Romano,15687,555
Andrea Ciolfi,15767,222
Alessandro Pantano,15810,444
Stefano Castagneto,15890,555
Gabriele Buzzi,15982,444
Thomas Villano,16048,222
Marco Sambati,16201,555
Salvatore Plaia,16243,skewb
Luca Dal Forno,16284,pyram
Federico Badioli,16347,444
Daniele Amodio,16434,333
Daniele Lops,16473,pyram
Alessandro Zangolini,16563,333
Fabio Dragone,16614,pyram
