Name,Best WR,Event
Federico Celli,48555,333
Luca Di Gioia,48618,333
Ludovico Martinelli,48641,222
Francesca Marziano,48818,pyram
Flavio Peretta,48855,222
Achille Altio,48855,222
Giuseppe Ovidio,48923,pyram
Filippo Bertolotti,48943,333
Nicolò De Marchi,48976,222
Giovanni Giacalone,48982,333
Daniele Venier,49244,333
Alessandro Favilli,49245,222
Riccardo Moro Ciavolella,49448,pyram
Davide Ruggero,49581,333
Roberto Raciti,49620,pyram
Andrea Garbellini,49785,222
Sara Caristia,49831,pyram
Niccolò Infante,49835,222
Gianluca De Lucia,50538,222
Federico Pappani,51135,333
Andrea Cremoni,51164,222
Stefano Parisotto,51164,222
Lorenzo Pinnone,51325,333
Michele Ongis,51388,222
Michele Ovidio,51563,pyram
Silvio Barbanera,51624,333
Benedetto Borsellino,51839,222
Alessandro Mario Rubino,51925,pyram
Alberto Dominijanni,52136,pyram
Alessia Novizio,52335,222
Davide Lapadula,52419,pyram
Lorenzo Pessola,52450,pyram
Lorenzo Catani,52813,333
Carlo Arnone,53065,pyram
Simone Ripamonti,53333,333
Andrea Vitaliti,53412,pyram
Andrea Lenti,53474,333
Bruno Rosa,53746,333
Alessandro Allegra,53757,pyram
Gabriele Dalla Longa,53768,pyram
Mirko Castano,53873,222
Tommaso Bevilacqua,54164,333
Francesco Di Turi,54304,222
Victor Morreale,54475,pyram
Valerio Venanzi,54548,333
Rohil Macini,54599,333
Mauro D'Alanno,54713,333
Edoardo Alessandroni,54760,222
Matteo Bonino,54863,222
Matteo Tedesco,55005,222
Giuseppe D'Ambrosio,55018,pyram
Gabriele Gamba,55054,222
Alessandro Caselli,55096,333
Ezio Marini,55172,222
Federico Apollaro,55219,222
Pietro Cucinotta,55405,222
Fabrizio D'Angelo,55405,222
Stefania Pisu,55516,pyram
Francesco Lazzarotto,55540,222
Michele Manni,55582,333
Fabio Germinario,55628,333
Damiano Cova,55851,pyram
Lorenzo D'angelo,56082,pyram
Giorgia Brighina,56222,333
Alice Placenti,56257,pyram
Camilla Bianchini,56682,pyram
Thomas Topini,56711,222
Dario Signorello,56762,pyram
Gaetano Zumbo,56762,333
Mattia Morbello,56869,333
Laura Passafiume,56872,pyram
Manuel Andreotti,57060,pyram
Gabriele Garagnani,57064,pyram
Valeria Mazzola,57332,333
Giacomo Anerdi,58082,222
Lorenzo Sammartino,58082,222
Luca Parmeggiani,58231,222
Riccardo Martorana,58273,222
Alessandro Monti,58407,333
Lorenzo Vagnoni,58499,pyram
Leonardo Pollini,58549,333
Massimo Perelli,58828,333
Eugenio Bonetti,58834,333
Luca Gaddini,59043,pyram
Tommaso Palladini,59469,222
Daniele Orlandini Zanini,59522,333
Gabriele Giaconi,59567,222
Alessio Amoroso,60311,pyram
Greta Damo,60332,222
Cristian Pierferdinando De Rito,60478,333
Michele Pecoraro,60508,222
Sadid Ayoub,60645,222
Luciano Ventura,60771,333
Elsa Greggio,60889,pyram
Valerio Battistini,60930,pyram
Davide Scipioni,61340,333
Enrico Brienza,61557,222
Carlo Galimberti,61967,333
Gabriele Manfrini,62130,222
Cosimo Decataldo,62130,333
Arianna Frisoli,62169,222
Antonio Pirro,63092,222
Alessandro Morina,63283,333
Giorgio Riccobono,64286,333
Simone Lizzo,64413,222
Martin Guadagnini,64558,333
Giacomo Pizzi,64865,222
Francesco Azzarà,65235,333
Kevin Bellocchio,65461,333
Leonardo D'Amato,65631,222
Ivan Milocco,65986,333
Luca Finocchio,66824,333
Matteo Bianchini,67275,222
Paolo Pellegrino,67603,222
Fabrizio De Matteis,67872,333
Flavio Surya Rossi,68479,333
Francesco Cappelletti,68496,333
Francesco Massei,68521,333
Giacomo Figoni,68923,333
Simone Martinotti,69145,333
Alessandro Zavaglia,69393,333
Francesco Capomassi,69584,333
Gaetano Valentino,69634,222
Raffaele Varacalli,69800,333
Mattia Micheletta Merlin,69855,333
Alessandro Mazzetto,70354,222
Leonardo Grimandi,70950,333
Alessio Legori,71406,333
Nicolò Monica,71406,333
Giacomo Cerutti,71548,222
Francesco Beraghi,71598,222
Jack Hu,71618,222
Carmine De Benedittis,71766,333
Lorenzo Chabanis Lombardo,72142,333
Daniel Dexter,72398,222
Mario Mormile,72482,222
Sofia Masini,72699,333
Alice Proietti,72988,333
Riccardo Fina,73351,222
Michele Marinucci,73701,333
Brando Chiarella,73805,333
Emanuele Cardinali,73950,333
Samuel Inhofer,74063,222
Thomas Carli,74322,222
Davide Evangelista,74452,222
Niccolò Maniscalco,74594,222
Federico Tassone,74773,222
Marco Tanfoni,75033,333
Lorenzo Dalle Fratte,75072,333
Edoardo Quirino,75172,222
Federico Sannicolò,75742,333
Francesco Sangalli,75838,333
Giuseppe Miccoli,76446,333
Giuseppe Giarratana,76581,222
Cristian Regusini,76687,333
Nicolò Bonesini,77005,333
Matteo Valentini,77353,222
Luca Gensini,77757,222
Claudio Martone,78315,333
David Ralph Felix Menon,78390,333
Paolo Muzzi,78441,333
Andrea Lacchia,78466,333
Mattia Gianotti,78541,333
Nicholas Cattaneo,79077,222
Riccardo Campagna,79207,222
Luca Cattaneo,79298,222
Marco Specchia,79312,333
Alex Amadei,79358,222
Ezio Esposito,79420,333
Elia Roma,80121,333
Gaspare Pio Renna,80723,222
Edoardo Cattivera,80919,333
Giovanni Morandi,80988,222
Lorenzo Legnante,81020,222
Filippo Aldrovandi,81458,222
Andrea Testa,81787,333
Giuseppe Romeo,81904,333
Mirco Conti,82092,222
Mattia Saponaro,82113,222
Marco Dal Gazzo,82116,333
Stefano Buongarzone,82120,333
Aurelio Amerio,82315,222
Umberto Corsi,82426,222
Veronica Vailati,82842,222
Francesco Pio Monteleone,82957,333
Davide Lettieri,83087,333
Jacopo Roncelli,83308,222
Giuseppe Pezzolla,83489,222
Enrico Tommasi,83506,222
Thomas Benevento,83600,222
Alessio Mantonico,83629,333
Ludovico Muretti,83790,222
Annarita Fusco,83851,222
Andrea Lazzarin,84108,333
Giovanni Razzino,84136,222
Ilaria Accorsi,84370,222
Mauro Carminati,84599,333
Umberto Lasco,84623,333
Pierluigi Parisella,84674,222
Julian Frisoli,84779,222
Andrea Zamuner Cervi,84824,222
Isac Trentini,85117,333
Simone Vendramin,85239,222
Giacomo Manzoni,85822,333
Giuseppe Sapia,85954,333
Cristian Cinieri,86006,333
Francesco Langiulli,86073,222
Luciana Formenti,86342,222
Chiara Placenti,86366,222
Kevin Ripamonti,86530,222
Davide Servidio,86592,333
Gabriele Giandinoto,86679,222
Andrea Caligaris,86802,333
Alessio Arena,86917,222
Carlo Ravizzoli,87043,333
Tommaso Ravera,87255,222
Lucia Gaetani,87483,222
Andrea Parente,87579,333
Lorenzo Ferrini,87721,333
Giulio De Meo,87902,222
Vincenzo Buscemi,87937,222
Alberto Bazzucco,87998,333
Loris Mantini,88227,333
Leonardo Benedetti,88394,333
Francesco Marcellino,88578,222
Ginevra Malatesta,88776,222
Davide Grandi,89235,222
Mario Di Carlo,89268,333
Pietro Fugazzotto,89306,333
Davide Fortin,89840,333
Fabio Prencipe,89873,333
Nil Arnés Iranzo,90165,333
Mattia Sorzé,90259,333
Jacopo Chiogna,90734,333
Alessandro Ioio',90948,222
Alessandro Grillo,90998,333
Giovanni Gentile,91672,222
Christian Pomes,91809,333
Alexis Bonazzi,92170,333
Lorenzo Ercoli,92716,333
Jury Mastrangelo,93850,333
Mauro Losciale,94029,333
Walter Delvillani,95551,333
Ryusei Marignani,95675,333
Gaia Sanità,96277,333
Matteo Mirk,97139,333
Matteo Orselli,97490,333
Fabio Covito,97494,333
Gianmarco Lusvardi,97744,333
Nicola Mastronicola,98285,333
Stefano Dal Pozzo,98889,333
Pietro Frecassetti,99037,333
Diana Ravaldi,99548,333
Riccardo Testa,99572,333
Erik Giacomelli,99870,333
Daniele Vretenar,100016,333
Vittoria Mascheretti,100384,333
Stefano Ferrari,100439,333
Matthias Kaserer,100635,333
Claudia Zago,100899,333
Riccardo Chabanis Lombardo,100975,333
Niccolò Villaggi,101516,333
Roberta Ciampi,101598,333
Leonardo Demutti,101598,333
Alfio Raciti,101738,333
Jacopo Pio Gargano,101958,333
Paolo Colombini,102526,333
Samuele Gesini,102638,333
Alessio Gaddi,102656,333
Beatrice Moneta,102883,333
Federico Pizzini,103211,333
Cristian Gamba,103550,333
Alessio Sarti,103719,333
Alessio Sartori,103769,333
Matteo Lorenzini,104069,333
Giorgio Canova,104343,333
Segu Niccolò,105036,333
Alessandro Bicorgni,105356,333
Matteo Rigoni,105666,333
Cecilia Tabet,106121,333
Tommaso Giroletti,106578,333
Lorenzo Busso Abbondanza,106968,333
Luca Terrone,107002,333
Stefano Baldi,108058,333
Carlotta Mazzucchelli,108220,333
Davide Vanoncini,108650,333
Giulio Martini,108846,333
Luca Pichenstein,109009,333
Emilio Mastria,109627,333
Francesco Noseda,109878,333
Luca Pizzichemi,109884,333
Paolo Gioveni,109958,333
Adriano Oliviero,110025,333
Michele Iannello,110232,333
Giacomo Beretta,110485,333
Alessio Guerra,111524,333
Alessio Cocira,111915,333
Matteo Danelutti,112264,333
Samuele Tognolo,113344,333
Niccolò Marcolini,113575,333
Geremia Lama,113984,333
Silvia Gaudiello,114094,333
Massimiliano Cattaneo,115012,333
Stefania Sartori,115741,333
Arianna Ladurini,115783,333
Alessia Pinto,116151,333
Eleonora Verdigi,116342,333
Davide Sangalli,116541,333
Martina Piola,116622,333
Lorenzo Valerio Cogo,116844,333
Giovanni Casagrande,117064,333
Mattia Solano,117979,333
Luigi Rinaldi,118048,333
Mattia Zucchetti,118846,333
Alessio Rendina,118846,333
Alex D'Amato,118984,333
Matteo Sanità,119234,333
Matteo Buccoliero,119758,333
Camilla Tombari,119766,333
Nicola Lucesoli,119801,333
Marina Colucci,119901,333
Laura Pusceddu,120240,333
Francesco Curatolo,120398,333
Raffaella De Pace,120733,333
Alice Caligaris,121109,333
Emanuele Musso,122113,333
Federico Santandrea,122236,333
Daniel Scevola,122281,333
Simone Ghisu,122309,333
Luca Pezzano,122755,333
Simone Saccani,122755,333
Luca Contardi,123139,333
Sara Lacchia,123198,333
Manuel Puccioni,123228,333
Giorgia Piazza,123550,333
Gianluca Alba,123697,333
Alessandro Tonelli,124088,333
Marco Senna,124253,333
Marco Bulletti,124378,333
Claudio Contardi,124700,333
Luca Bianchi,124976,333
Emanuele Pintus,125104,333
Alice Vigani,125591,333
Stefano Lo Vecchio,125706,333
Marco Malorgio,126041,333
Gioele Maria Gammino,126499,333
Alessandro Aloi,127047,333
Alessio Caligiuri,127086,333
Andrea Civico,127273,333
Gianbattista Lucarelli,127361,333
Simon Paris,127382,333
Alessandro Del Bianco,127921,333
Antonio Troiano,127950,333
Walter Tarantelli,128134,333
Giuliano Mazzone,128371,333
Valerio Del Bianco,128776,333
Daniele Guidoni,128966,333
Jessica Mercandino,129146,333
Laura Carla D'Urso,129247,333
Rebecca Giovennelli,129307,333
Ikor Pino,129351,333
Valeria Balini,129778,333
Jessica Arrigoni,129898,333
Davide Scognamiglio,130535,333
Daria Bilokon,130924,333
Martina Alba,131485,333
Andrea Garlisi,131640,333
Tommaso Magelli,131933,333
Alessandro Trapani,131985,333
Nicola Tanadini,131999,333
Marco Marangia,132966,333
Martina Buda,133291,333
Lucrezia Locatelli,133985,333
Alfredo Libertini,133995,333
Luigi Moretti,134018,333
Giovanni Volta,134214,333
Emanuele Brenna,134378,333
Flavio Badalato,134411,333
Marcello Menduni,134486,333
Lorenzo Santaroli,135721,333
Clara Spezzi,135804,333
Michela Montrasio,135984,333
Riccardo Rollone,136139,333
Pietro Caligiuri,136182,333
Nicola Principe,136447,333
Amel Silnović,137086,333
Vittorio Ostorero,137223,333
Carlo Vignotto,137290,333
Emanuela Panebianco,137564,333
Federico De Benedetto,137749,333
Philip Ciuca,138018,333
Arianna Greco,138694,333
Ferruccio Ghizzi,138883,333
Luigina Porco,138996,333
Lorenzo Simonetti,140171,333
Vera Cisbani,140302,333
Alessandro Turano,140366,333
Tito Cisbani,140472,333
Rebecca Marchizza,140489,333
Giordano Cardellini,140510,333
Emanuele Raciti,140688,333
Benedetta Bedini,140724,333
Marco Lazzarin,142929,333
Yuri Pegoraro,143425,333
Zeno Dall'Acqua,143824,333
Emanuela Villa,150000,Null
Marco Domenico Rivolta,150000,Null
Valerio Sepe,150000,Null
