Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Cameron Stollery,Australia,SheppartonWinter2013,1.96,2.08,2.02,2.44,1.66,1.78,3.9
Carlos Méndez García-Barroso,Spain,MIROpen2013,1.91,2.02,1.48,2.5,2.08,1.16,4.88
Alexey Oblaukhov,Russia,AvalonOpen2013,2.0,2.02,1.85,2.21,2.47,1.78,2.0
Yinghao Wang (王鹰豪),China,ShanghaiSummer2013,1.98,2.02,1.84,1.71,3.83,2.25,1.97
Yinghao Wang (王鹰豪),China,WuxiOpen2013,1.97,2.02,1.82,2.13,2.11,2.46,1.68
Robert Yau,United Kingdom,GuildfordOpen2013,1.92,1.96,1.68,3.17,1.8,1.55,2.4
Cameron Stollery,Australia,MelbourneCubeDay2013,1.7,1.71,1.43,1.93,1.77,3.05,1.41
Feliks Zemdegs,Australia,LifestyleSeasonsSummer2014,1.56,1.71,1.84,5.15,1.86,1.4,1.43
Bill Wang,Canada,Waterloo2014,1.61,1.69,1.67,1.77,1.44,1.63,2.16
Christopher Olson,USA,IowaCornLovers2014,1.68,1.69,1.55,1.91,1.61,2.52,1.52
Rami Sbahi,USA,Michigan2014,1.53,1.69,1.83,1.43,1.36,1.81,3.55
Lucas Etter,USA,Michigan2014,1.39,1.69,2.17,1.27,1.5,2.16,1.4
Lucas Etter,USA,KeepAustinWeird2014,1.58,1.69,1.3,1.81,0.96,1.96,2.5
Christopher Olson,USA,USNationals2014,1.56,1.69,1.67,1.66,1.74,1.27,3.94
Lucas Etter,USA,USNationals2014,1.51,1.69,1.94,5.79,1.57,1.56,1.39
Jayden McNeill,Australia,AustralianNationals2014,1.68,1.69,1.33,2.16,-0.01,1.58,1.3
Christopher Olson,USA,Indiana2014,1.69,1.69,1.06,2.71,1.65,2.36,1.05
Christopher Olson,USA,MishawakaFall2014,1.55,1.6,1.5,1.87,1.36,2.15,1.43
Lucas Etter,USA,MishawakaFall2014,1.48,1.6,1.56,1.56,1.21,1.89,1.68
Jayden McNeill,Australia,MelbourneCubeDay2014,1.55,1.6,1.11,1.88,1.81,0.97,2.06
Rami Sbahi,USA,TorontoOpenFall2014,1.57,1.6,1.54,2.1,1.61,1.65,1.44
Bennet Wichmann,Germany,FrankfurtCubeDays2015,1.57,1.6,1.17,2.63,1.58,2.05,1.08
