Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
CubingUSANationals2019,9,R2FR2F'RF2RU'F,U R U2 F' R2 F' R2 F' R' U' R',1,B,1
WFSCubing2019,9,F'U'RFR2U'F'U'F',R U R' U' R' U' F U' F U2 F,1,B,3
Shenzhen10thAnniversary2019,9,UF2U2RF'U2FRU',U' R U' R' U' R' F U' R2 U R',d,C,5
RallyintheValley2019,9,UF2U2RUR2U2R'F',U2 R2 U' F U' F U' F' U' R U,1,E,3
StarCubingNijmegen2019,9,U2R2F'U2F'UR2F2U2,U' R2 U' F U2 F2 U2 R U' R U',f,C,3
ChicagoAreaTwistSpring2019,9,U2R'FU'R'F'U2RU2,R' F' U2 R2 U' R2 U' F U' F R',f,B,3
HuzhouOpen2019,9,F'RFUR2F'R'U2R2,R2 U F U2 F R U R' U' F U2,2,A,2
PittsburghSummer2019,9,U2R2F'U2F'RF'UR',U2 R' F R U' R' F' R U F R,f,A,2
HuzhouOpen2019,9,R2U'R'F'UF2R2F'R,F' U' F R U R' U' F R2 F' R',2,B,2
WC2019,9,RU2F'U2FR2FR2U',U' R U' R' F R U' R F U' R,2,A,3
SwissNationals2019,9,R2UF2U'RF'R2F'R,R' U R' U2 R U2 R F' U2 R' U,2,A,3
WC2019,9,U'RF'U'F2U'RF'R,U' R' F U2 R' U' F U' F R U',2,B,3
FaaborgOpen2019,9,U2RUF2U'FR2U'F,F' R2 F' U2 R2 U' R U R' F U',f,A,4
RiverHillSpring2019,9,U2RF'UF'U2R2F'R',F U2 F U2 F U' R U2 R U' R,f,C,4
RallyintheValley2019,9,U2FR'U2R'U2RF2U,R U2 R' F U2 R U2 R' F U2 F,1,A,3
RallyintheValley2019,9,FR'FR2U'F'U2R2F,U2 R' F R' U2 F2 U' F R2 U2 R',1,C,3
NationalCapitalRegion2019,9,URF2R'U2FU'FR2,R' U' F' R2 F' R' F U' F U' F,d,A,5
CubingUSANationals2019,9,R2F2UR'FU2R'UR,F R2 U' R' U R2 F' U' R U2 R',1,A,1
SuzhouOpen2019,9,F'U2R2URF2U'R'U,R' U' F U' R U' R F' R2 U R',1,A,3
SuzhouOpen2019,9,RUF2U2RFU'FU',U2 R' F U R F' R2 U R U' R,1,B,3
SuzhouOpen2019,9,UR2U'FRF2RU'R',R F' U' R' U2 R' F R2 U2 R2 U,1,C,3
CanadianChampionship2019,9,UF'R2URF2R2UR',R' F' U' R U' R' F R U2 R' F',d,A,5
PugetSoundSpring2019,9,UF'URF2U'FU'F',R U' R2 F R' U F U2 F R2 U',1,D,3
CanadianChampionship2019,9,F2R2URF'UF'RU,U R U R' F' R U' R' F2 U2 R,d,D,5
CanadianChampionship2019,9,U'R'F'R2U2F'RUR',R U' R' F R2 U2 R2 U2 F R U,d,E,5
SSL2Skurup2019,9,R'U2RF2R2U2R'U'R2,U' F U2 F' R U' R F' R2 U' R2,1,C,1
CanadianChampionship2019,9,UR2U'FUFR2F2U',U F U' R U R F' R2 U' F' R,d,F,5
SSL2Skurup2019,9,U2R2FUFU'FU2F,R' U' R2 U2 F U F U2 F R U,1,B,1
SSL2Skurup2019,9,U'F2U'FR'FR2U2F2,U2 R U' F' R2 U R U' R2 F U2,1,B,1
SSL2Skurup2019,9,UFR2F2RF2RF'R',U R' U F U' F U2 R U R U',1,A,1
RijswijkOpen2018,9,FU'R'U2FR'FUF,U R' U' F' R2 U2 F R' U' R2 U',1,D,1
RijswijkOpen2018,9,R2U2F'UF'R2FR2F2,U R U2 R2 U F R2 F' U' R' U',1,C,1
RijswijkOpen2018,9,U2RFU'R2UR2UF2,U' R' F U' R F R' U' R U' R',1,B,1
AustralianNationals2018,9,U2F'R2F'R2F'R'F2R2,R' F R2 F R2 U' F' R2 F R U',2,D,2
NordicChampionship2018,9,U'F'U2FR'U2FR2F',F R2 U2 R2 U2 F U' F R2 F' R',2,A,3
CubingUSANationals2019,9,FRU2F'R'F'UR'U2,U F' U' F' U' R U2 R' U' R2 F',1,H,2
NordicChampionship2018,9,FUR'U2F'R'U2FR2,U' R U' R2 F' R U2 F' R U2 R,1,B,5
CubingUSANationals2019,9,URUR2F'R2F'R'F2,U2 R' F U2 R U' R2 U F' U' R,1,I,2
NordicChampionship2018,9,FURU'F'U'R2F2R',R' U' R U' R' F' R U2 R F2 R,1,D,3
NordicChampionship2018,9,UR'F'R2U2F'RF2U',R F2 U' R U R' U' R2 U' R2 F,1,C,3
KjellerOpen2018,9,R2UF2R'UF2R'U2R',R' F R2 U2 R2 U' F' R F U2 F,f,A,1
CubingUSANationals2019,9,U'F2RURU'F2U2F',U' R U2 R2 F R2 U' R' U R' F,1,K,2
HeartlandChampionships2018,9,FUFR2U2RUF2U',U R' F' U2 F R U2 R U' R' U2,1,C,4
SkottegardsskolenOpen2018,9,U2F2U'F2R'F2R2F'R,U R F' R U2 F U' R U R' F,f,B,2
SkottegardsskolenOpen2018,9,F2URUR2F'URF,U R' U R2 U2 R2 F U2 F U R,f,A,2
CubingUSANationals2019,9,UF2U'F2RFR'UR,U R' F U2 R U R' U' R2 U R,2,C,4
HaroldParkClassic2019,9,UF'R'U'F2R2U'RU,U' R' U R2 U R F R U2 R' U',1,A,2
RijswijkOpen2018,9,R2U2R'F'RU2F'UF2,R F' U2 R2 F U2 F U' R' U R2,1,A,1
AustralianNationals2018,9,UFR'UR'U'F2RU',R U' R' U R' F2 R2 F' U2 R' U',2,C,2
AustralianNationals2018,9,U'RUF'R'F2R'UR2,R' U' F' R F U2 F U2 F U' R,2,B,2
AustralianNationals2018,9,U2FR2U2F'U'RU'R',U' R' U' R U R' U2 F' U2 F' U2,2,A,2
DAIICTOpen2018,9,U'FRU'R2FUF2R,U2 R U2 F' R2 F U' R2 U2 R2 F,1,C,2
DAIICTOpen2018,9,U'R'U'FU2F'UR'F,R U' R2 U' R U2 R' F2 R' F U,1,B,2
DAIICTOpen2018,9,UR2U2R'FR2FU'R,U' R U2 R' U R' U' R U2 F2 R,1,A,2
HaroldParkClassic2019,9,U'F'R'U2FR2F2R'U2,R' U2 F U' F U F U2 R2 U' R2,1,B,2
CubeFactoryCzestochowa2018,9,UF'U2FR'FR'F'R2,U F' U' F R U R' U' R U' R,1,D,3
HaroldParkClassic2019,9,UF'U2R'U'R2U'FR,R' F' U2 R U R U2 R' U F U',1,C,2
SUAO2018,9,U'R2F2UFR2U2F'R,U' R U2 R2 F U' R2 U' R' F R2,f,B,2
AsianChampionship2018,9,UF2U'RU2FU'RU,R U' R2 F U2 R U' F' U' F U',2,D,1
AsianChampionship2018,9,U2RF'R'UR'UF2U,U' R' U' F U2 R' U R' U' F2 U',2,D,1
NordicChampionship2018,9,R2U'RF2R'F2UF'R2,U2 R' U' R2 U2 R' F' U2 F' U' F,2,B,3
MeppelOpen2018,9,F'UF2UR'FU'RU2,U2 R F' U' R' U2 R U2 R U2 R',f,B,3
CubingUSANationals2019,9,U'R2UR2F'U'F2RF,R U' R2 F U' F U2 F U' R2 F',1,G,2
FuengirolaCubea2018,9,UF'RUFR2FR2F,R' F2 U' F R U' R2 U R' U' F,1,A,2
RijswijkOpen2018,9,U'FR'UF'U2R2FR,R' U R' F' U2 F R' U' F U' R2,1,A,1
MelbourneCubeDays2018,9,URU2RU'R2U'R2U,R U' R2 U' R U R2 U' R' U2 R,f,A,3
Hawaii2018,9,U2F'U'F2U'RU'FR',U R' U' R2 U' R2 U2 R2 F' U R',1,D,1
Hawaii2018,9,U'F2U'R2UF'R'U'F,U R' U' F2 R U R U2 R2 F' R2,1,D,1
