Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
DanishChampionship2021,9,RU2RF2UR'U'R'U,U' R F' U' F R U R' U' F2 R2,1,C,3
GermanOpen2014,9,U'F'R'F'R2U2FUF2,R' F2 R U R' F U2 R2 U' F U',2,B,2
EmpireStateSummerB2021,9,F'RFU'R'UF'R2U2,U' R F' R' U2 R' U R2 U' R' U,1,A,3
FrankfurtCubeDays2016,9,R'U2R'FR2UF'R2F2,U2 R' U' R U' F R U2 R U' F,1,A,2
NationalCubingRegionOpen2016,9,RU'RFUR2F'U'F',U R U' R2 F R2 F' U2 R2 U' R2,d,J,2
FrankfurtCubeDays2016,9,RF2R'FUFR'UR,F' U' R U' R' F R U' R U' R2,1,B,2
NationalCubingRegionOpen2016,9,U2RU2FR2F'RF'U,U' R' U' F' U2 R F R U' R' U,d,J,2
IdahoSummerB2021,9,U'FRF'R2F'R'U'R2,U' R' F' U2 F' R U R' F R2 F,1,A,1
NationalCubingRegionOpen2016,9,F2RU'RFU2R'U'F2,U2 R U' R2 U' R2 F' U' R2 F R2,d,H,2
NationalCubingRegionOpen2016,9,U2FR'FU2R'F'UR,U2 F' R U2 R' F' U' R2 U' R2 F,d,G,2
NationalCubingRegionOpen2016,9,UR'FR'F2RUR'F,U R' F R2 F' R2 F U2 F R' U',d,G,2
IdahoSummerB2021,9,RU2RU2R'F2UR2U2,U2 R2 U' F2 R U2 R U2 R2 U2 R,1,B,1
NationalCubingRegionOpen2016,9,F2U2F'RU'F'RF2U,U' F2 U' F U' R U R' F U2 R2,d,F,2
NationalCubingRegionOpen2016,9,FU'F2R'UR2U2F2R',U2 F U2 F' U' R U R F' U2 R2,d,E,2
IdahoSummerB2021,9,F'RU2R'FUR2UF,U R F' R' U2 R' U' F' U2 R' F,1,C,1
IdahoSummerB2021,9,URU'F2R'U'F'RF',R' U' F' U' R U' R' F' U' R2 U',1,D,1
NationalCubingRegionOpen2016,9,U'FR'FU'F'RUR',R2 U F' U2 F R U2 R' U' F U2,d,C,2
IdahoSummerB2021,9,F2R2F'U2R'U'F2RU',U' R' U2 F' U R' F R U2 R F',1,A,3
NationalCubingRegionOpen2016,9,U2R2UR2F'RUFU2,R2 U2 R2 U' F U' R2 U' R2 F U2,d,A,2
IdahoSummerB2021,9,UF2U2FR2F'UF'R',U R' F' U2 F' U2 F U' R2 U' R',1,D,3
IdahoSummerB2021,9,RF2U'R'F'R'F2R'F',U' F' R U2 R F' R U2 R2 F U2,1,A,4
France2016,9,UFUR2UF2RFU,U R' U' R U2 R' F' R U2 R' F',d,E,1
France2016,9,U2F2RU'F2U'R'F'R2,U R' U F R2 U' R' F U2 R2 U2,d,E,1
IdahoSummerB2021,9,U2FR2U2F2U'R'UR',R' U' F' R U R' U2 F R U' R2,1,B,4
France2016,9,R'UR'U'RU2F2U'R,R' U F2 U' R U R U' R' U2 R,d,C,1
France2016,9,U'F'U'FU'RU'FU,R' F U' R F' U2 R U2 R' U' R,d,C,1
IdahoSummerB2021,9,U'R'UR2F'R2UFU2,R2 U2 F U2 R' U' F' U' R U' R',1,D,4
IdahoSummerB2021,9,FU2FU'FUF'RU,U2 R' F R U' R' U2 F2 U F U',1,B,5
FrankfurtCubeDays2016,9,URU2R'F2RF'R'U',R F R U R U' R2 F R U2 R',1,C,2
FloridaReturns2021,9,UF2U2F'R'F2RFU',R' F' U2 R F U' F R2 F' R2 F,f,A,2
FloridaReturns2021,9,F'RU'F'RF'UR2U,R' U F' R U' R2 U' R U R' F,f,A,2
StarCubingNijmegen2020,9,U2FR2F'U'R2FRU',U2 R F U' R2 F' U' R' U R U2,1,D,5
HvidovreSommerhygge2020,9,UR2URF'URU2R2,U2 R F' U' R2 U' R2 U2 R2 U F,2,C,4
StarCubingNijmegen2020,9,U2R2U'R2FU'RF2R',U R F U' F R F R2 U' R2 F,1,C,5
CubingUSANationals2017,9,U'F2RU'F'RF2R2U,R2 U' R U2 R' U2 F U2 F U2 R,1,X,4
TaiwanChampionship2017,9,U2F'U2FR2U'FR'U,R U' F' U R' F R2 F' R' U R,2,C,3
AarhusChristmas2019,9,U'FU'R'URU'R'F,U R' F U' R F' R U2 R F' U2,1,A,2
UCSDWinter2020,9,U'FU'F'U2RFR'U',R F' U2 R2 F' R F R U2 R' U',1,D,3
ItalianChampionship2017,9,RF2R2UR'UF'R2F,U R' F R2 F R U2 R U' R2 F,1,B,2
SandnesOpen2017,9,U2RUF2R'F2UFU2,U R' U R' U2 R' U' F U2 R U,1,B,2
SandnesOpen2017,9,FUR2F2R'U2R2FR',U' R' U2 F U' F R U' R' U2 R',1,A,2
UCSDWinter2020,9,UF2U2FRUR'U2R,R' U' R U2 R' F' U' F U' F U',1,F,3
WashingtonChampionship2020,9,RU'F'URF'UR'F2,R' U' F2 U2 R U' R U R' U2 F',2,A,5
SLSZawiercie2017,9,FR'FR2U2F2R'U'R,U R F' R2 F U2 F R2 U' R2 U2,d,C,4
SLSZawiercie2017,9,F'RF'U'R2FRU'R,R U2 R2 U' R F U2 R2 F' R2 U',d,B,4
WashingtonChampionship2020,9,U'FR2F2UFR'FR,U2 R' F' U' F U2 R2 U2 R' F' U',2,B,5
CubingUSANationals2017,9,UF'R'U2FUR2F2U,U2 R F' U2 F U2 F U' F2 R U2,1,AJ,4
AarhusChristmas2019,9,UF'RF2R2FU'RU2,R' U R U2 R' F R2 U' R2 U' R,1,A,2
GarrettsvilleGMenClassic2020,9,UFRF'UR'F'RF',U2 R' U' F' U2 F' R U' R U' R,1,A,3
CubingUSANationals2017,9,F'UF2UF2R'FU2F,U2 R' F U' R U R' U' F R2 F2,1,AH,4
ItalianChampionship2017,9,R'U'R2U'R2U2FR'F,U' R' U R F' R2 U' R U R' U',1,C,2
CubingUSANationals2017,9,RU2F'UF2U'R'U'R2,R' F U F' U' F U2 F' R U' R,1,AF,4
ItalianChampionship2017,9,URU'F2RU2RF2R',U2 R' F' U2 R U' R' F R U2 R,1,E,2
CubingUSANationals2017,9,FR'F'U2F'U2FR2U,U' R F' R' U' R' U2 R2 F' R' U2,1,AB,4
CubingUSANationals2017,9,U'R'U'R2FR2F'RF',U' R' F' U2 R F U2 R2 U2 R' U,1,AA,4
CubingUSANationals2017,9,F2RU2F'RF2U'R'U',U R U' R' U R2 F U' R2 U' R2,1,Z,4
VestegnenOpen2017,9,F2U'R'U2FR'F2U'F2,U2 R' F' U R' F U2 R2 F' U' R2,c,A,3
AarhusChristmas2019,9,U'FUFR2FUF2R2,R' F R2 U2 R' U2 R' F2 R' F' U2,1,B,2
VestegnenOpen2017,9,URFR'F2U'FU'F2,R U R' F R F' R2 U2 F' R U',c,B,3
Maryland2017,9,URUR'U2RF'UR2,R2 U' F R U2 R2 U2 R' U' R' U',1,I,4
UKChampionship2017,9,R2UF'UR2F2URU',R' U2 F U' R U' R U2 R2 F2 R2,d,B,4
UKChampionship2017,9,UR2F'U'R2U'F2U'R',R2 U2 F U' F2 U' F' U' R U R,d,F,4
UKChampionship2017,9,F'U'F'U2RF'UFR',R' F' U2 F U' F U' F U2 F' U2,d,A,4
UBCOpen2020,9,U'F'RU2F'RF'RU',R' U' R F U' F2 U' F' U' R U',d,D,5
SunmarkeDubaiOpenII2017,9,F'U'RU'F'U2RF2R',U R' F U' R2 U2 R' U2 F U R2,d,D,3
ElisaKulmaOpen2020,9,UFU'RU2F'RF'U2,R2 F' U2 F R' U' F U' R U' R,1,A,3
ElisaKulmaOpen2020,9,UFU'FU'R'F2R'F',U R' F U F R2 F' R2 F' U2 F,1,B,3
SelangorCubeOpen2019,9,F'UF'R'U'F2R'FU2,U' R' U R U' R F' U2 R' U2 R,1,C,4
SunmarkeDubaiOpenII2017,9,UFU'R'U2RU2R'F,U2 R' F' R U2 R F' R2 U' R2 U',d,A,3
Maryland2017,9,RF'R2U2RFR2U2F',U R' U R' U' R U' R U' R2 F2,1,H,4
VestegnenOpen2017,9,U'RFU2F2R2FR'U',R' U F' U2 R U' R' F2 U2 R U',c,C,3
SelangorCubeOpen2019,9,R2U'RF2U'F2UF'U,R2 F U2 R U F' U2 R2 F U' R2,1,B,4
Maryland2017,9,F2R2UF2U2FR'FR2,U R U' R' U2 R' U F R2 F U2,1,G,4
Maryland2017,9,FR'FR'U2FUFU,U R U' R2 F2 U2 R' U' R U R,1,F,4
Maryland2017,9,FR2F'U2RF2R'FU,U R U' F' R2 U' R U2 R' F R2,1,E,4
TaiwanChampionship2017,9,URU'R2UF2UR'F',U' R' F2 U R2 U2 R' F U' F R2,2,A,3
UCSDWinter2020,9,F'UR'U2RFU2RF',U' R' F R U2 R' U2 F' R U' F,1,A,3
UCSDWinter2020,9,F2U'FR2F'RU'F'U,R' F U' R' U' R2 U' R2 U' F R,1,B,3
UCSDWinter2020,9,F2U2FU'F2UR2FU',R' F U' F U' R2 U' R2 U R' F,1,C,3
ElMuelleOpen2017,9,R2UF'UR'U'FR2U2,R' F' U2 R U2 R' F' R2 U' R' U,f,A,4
CubingUSANationals2017,9,RUF2R'F'RU'R2U,U2 R U' F' U2 R2 F R2 U' R' U,1,Y,4
ItalianChampionship2017,9,UR2U'FRFU2RF',U' R' U' F R U' R' F2 U R2 U',1,D,2
ItalianChampionship2017,9,F'RF'R2F'R'U'RU2,U2 R' U2 F U' F U' F2 R2 F' U',1,E,2
SydChamps2017,9,U2R2F2R'U2R'UF2U',U2 R' F U' R2 U R' F2 R U R',1,C,5
MPEIOpen2019,9,RF2RU'RF'U2F'R2,U R' F2 U2 R U R' U F R2 U',1,H,1
AnnuntiaOpen2020,9,UFU'RU'F2R2UF2,R' U' F U2 R' U R' U' F' R U,1,A,1
AnnuntiaOpen2020,9,U2RUR2U2F'U'F'R,U2 R U2 R2 F' U' R U2 R' U2 F',1,A,1
CubingUSANationals2017,9,UFU'FUR2F'U'F',R' U' F' U' F R U' R U2 F' U',1,W,4
CubingUSANationals2017,9,U2F2RU'R2UR'U2R,F' U' R2 F U' F U2 R U' R' F,1,I,4
SacCubingIII2018,9,F2UF2U2R2U'RF2R2,U F U2 R' U' F U' F R2 U' R',2,A,1
SacCubingIII2018,9,R'F2R'F'RU2F'U'R',R U' R' U2 R' U2 F' R U F' R,2,B,1
SacCubingIII2018,9,F'U'F2UF'UF'R2F',U R' U F U2 F R2 U' F' U' F',2,C,1
CubingUSANationals2017,9,FRF2R2U2R'FU'F,R' U2 R2 U' R' F' R2 U2 F R2 F',1,H,4
SacCubingIII2018,9,F'R2U'FR2FU'F'U',U R' U R' F R' F' U2 R2 U' R',2,C,1
CubingUSANationals2017,9,U2F2U'RFR'UR'F,U' R U' R2 U F U' R' U' F R2,1,E,4
CubingUSANationals2017,9,URF'U2RU2RFU2,U' R' U' F U' F R' U2 F2 R U2,1,C,4
CubingUSANationals2017,9,U'FU2R2F'R'U'R2F,U R' U' F R U2 R' F R F' R',1,B,4
CubingUSANationals2017,9,F'U2R2UF'U2RU2R',R' F' R2 U2 F' R2 F R U' R2 U',1,A,4
EgerOpen2017,9,R2F2U'RF'RF2U'F',U R U2 R' U R2 U' F U2 F2 R2,2,C,2
EgerOpen2017,9,RFRU2R2F2U'R'U',U' R' U R2 U R' F' U' R U' R',2,B,2
SacCubingIII2018,9,R'FU2FR2FR'F2R2,R' U' R2 F U2 R' F U2 R U2 R',2,D,1
FrankfurtCubeDays2018,9,UF2UR'U'R'U2FU',U R' U' R2 U' F U F U2 R' F,2,A,5
Murcia2018,9,R'U2FU2FUR2UF,R U' R U2 R' U' F' U' R U' R,f,A,1
SydChamps2017,9,R2U'FUF'U2R2F2U',U R' U' R' U2 F U' F R' U' R2,1,D,5
AnnuntiaOpen2020,9,F2R2FR2FR'URF2,R' F' U2 R U R' U' F' U2 F U,1,B,1
ItalianChampionship2017,9,F'UR'F'UF'R2F2U',R' U2 F R U' F U2 F U' R2 U2,1,G,2
CubingUSANationals2017,9,FR'FU2F'U2RU'F,U2 R2 F' U2 R' U' R' F R2 U' F',1,Q,4
CubingUSANationals2017,9,UR'FR2U'RU'R2U2,U' R' F' R2 F U2 F R2 U' F' R',1,V,4
ItalianChampionship2017,9,FR'F2UF'UR'F'U',U R' F' R U R U2 R2 U F R2,1,G,2
CubingUSANationals2017,9,FR'UF2UR'F'R'F,U R U' R2 U' F' U2 R F R U2,1,T,4
CubingUSANationals2017,9,U'FRF2U'FU'F'U,R2 F' R2 U' R U' R' F U2 F R,1,S,4
CubingUSANationals2017,9,F'R2URFRFU2F2,F U' F R U2 R' F' R2 U' R2 F,1,N,4
DSFGeneralforsamlingen2020,9,UF'R'F2UF'UF2R,U2 F U' R U' R' F R F' U' R2,f,A,1
ItalianChampionship2017,9,U'FU2F'RF'U'FR',U2 R2 F' R' U2 R' U' R U' R U',1,H,2
UKChampionship2017,9,F2R'UR'U2RF2RU,R U' R U' F' R2 U' F2 U2 R2 U2,d,D,4
No3x3x3Cambridge2019,9,FR2FUF'UR'UF2,R F R' U2 R U2 R' U2 F R U2,2,A,2
SydChamps2017,9,UF'UF2U2FU'FU',U' F U' F2 U' F' U' F U' F U2,1,B,5
RallyintheValley2019,8,R'U2F2URF2U'F,R U' R' U F' U2 R U R F' U2,1,B,3
CubingUSANationals2019,8,F2U2R'UR2F2UR,R' U' R2 U' F' U2 R2 U2 F R U2,1,A,1
AdelaideSummer2020,8,FRUR'UR'F'U',U' R' U R U R' F' U' F' U2 R,1,A,3
DanishChampionship2021,8,U2FR2UF'U'F2U,R2 F U2 F' R2 U' R' U2 R' U' R,1,D,3
MPEIOpen2019,8,FUR2FU2F2U'R,U' R' F2 U' F U2 R U R U' F',1,E,1
UBCOpen2020,8,U2RU'R2UF2U'R2,R' F' U2 R2 U' R2 F U' R2 U' R2,d,E,5
SSTWarszawa2021,8,U'F2U'F2RU2R'U2,U2 R' U' R2 F R2 U' R2 U2 R U,1,A,3
CubingUSANationals2019,8,F2UR2U'F2U'RU,U' R F' U2 R2 F' U' R U' R' F',1,E,1
No3x3x3Cambridge2019,8,UR'F2U'F'U'RU2,U2 R' F U F U F U' F R U',f,A,3
EmpireStateSummerB2021,8,U'R'F2U2RU'R'U',R U2 R' U F' R U2 R' F R U2,1,D,3
MPEIOpen2019,8,RU'FR'U'R2F2U,R' U2 R U R' U2 F U2 F U2 R2,1,C,1
Chipola2019,8,UR2FU2F'RF'R2,U2 R' F U' F U2 F2 U' F2 U' F,f,A,1
IdahoSummerB2021,8,FUF2R'FU2R2U',U' F' R' U' R' U2 F U' F R2 U',1,C,3
CanadianChampionship2019,8,F'R2U'R2UR'U2R,R' U2 R U' R2 U' R2 U2 R2 U2 F,d,G,5
AarhusChristmas2019,8,RU2R2UR2U'R2U,U R' U' R2 U2 R' U2 R' U2 R2 U',1,B,2
TambovAutumn2019,8,F'RF2RF2R'F'R,R U2 R' U R U' R' U R2 F U2,f,A,3
MPEIOpen2019,8,UR'F2RF2RU2F',R' U' F U R' F U' R2 U2 F' U',1,G,1
EmpireStateSummerB2021,8,FRF'UFR2U2F,R U' F' R2 F U' R U F' U' R,1,E,3
MPEIOpen2019,8,FU2F2R2FRU2F',R U' F' U R' U2 F U R U R,1,B,1
EmpireStateSummerB2021,8,FUF'RUR2F2U2,U2 R F' R' U2 R' U2 R2 U2 R' U2,1,B,3
CopperCountryCubingSummer2021,8,RF'R'U2R'UF'R,U R' U2 R' U2 F U2 R U R U2,f,A,5
IdahoSummerB2021,8,UF2URU2R'UF,R U' R' U' R U2 R' F U' F U',1,C,4
BranchburgOpen2019,8,RU2RF'RU'F2U,U R' U' R2 U2 R' U2 R F' U R',1,E,2
StarCubingNijmegen2019,8,F'R'U2F2RF'R2F',R F' U2 F' R2 F R U' R' F' U,f,A,3
EmpireStateSummerB2021,8,F'R2U'FR2F'RF2,U2 F U2 R U R' U' F U2 F R2,1,I,3
IdahoSummerB2021,8,F'U'RF2U'RF2U,R' F R F R2 U' R2 U F U2 F,1,A,5
SSTWarszawa2021,8,FU2R'U'RUF2U,U R U2 R2 U R U2 R F' U2 R2,1,C,3
NordicChampionship2019,8,FU'F2R2F'UF'R2,R' F U R U2 R' U F U2 R' F,2,C,4
AdelaideSummer2020,8,FR2FRUF'UR2,R' F' U' F U2 R U2 R' F U2 R,1,B,3
BranchburgOpen2019,8,U2RF'R2U2RU'R',U' R' U' R U R U' R2 F R' U2,1,C,2
ChengduNewYearAfternoon2021,8,U'F2UR2FUF2R',R' U' R U2 R' F U' R2 U' R' U',d,B,4
LLSIIIv22020,8,UF'U'FU'F'UF2,R U2 R' U2 R U R' F U2 F U2,f,A,5
CubingUSANationals2019,8,F2RF'U2RU2R'U',R F' U' R' U2 R U2 R' U F' R,1,I,2
EstonianOpen2020,8,F'U'FU'RUF'R',U2 R2 U' R2 U2 R2 U R' F R U',1,D,2
DSFGeneralforsamlingen2020,8,RUR2UR2F2UF2,R U' R F' U' R2 U R U' R' F,f,A,1
CubingUSANationals2019,8,U'RU'R'F'UR'U,U R F R U R' F R2 F' R' U,1,J,2
EstonianOpen2020,8,R'F'R2FU'FR2F2,R' U' R' F' U2 R U R' U R U2,1,C,2
EstonianOpen2020,8,U2F'RU2R'U2F'R,R' U2 R2 U2 F' U2 R' U2 R' F U2,1,A,2
CubingUSANationals2019,8,FRF'RU'F'RF,R' U' R2 U' F U' R U' F' R U',2,A,4
EstonianOpen2020,8,F'R'FR'UF'U2R',R U2 R' U' R' F U' R' U2 R' U',1,A,2
CubingUSANationals2019,8,F2R2UR2U2F'R'U',U R F' U2 F' U2 R2 U2 F U' R2,2,B,4
CubingUSANationals2019,8,R'FU'RU'F2RU2,R' U' F U F R U2 R U' R2 F2,2,D,4
DanishOpen2019,8,U'RF'RF'UF2R,U R' U' R2 U' F U2 F' U2 F R2,1,A,4
IrunaOpen2020,8,R2F2U'FU'F2RF,U2 R F' U R' U' F U' R U2 R,1,A,2
MinnesotaCubeDays2020,8,RF'R2F'R'FR'F2,U' R F' R' U F' R U R' F U2,1,E,3
MinnesotaCubeDays2020,8,URU2F'U'R2FR2,F R U R' U2 R U2 R U' R2 U2,1,C,3
AnnuntiaOpen2020,8,U2RF'RU'FU'F,U R2 U' R2 F' U' R' U2 R' F R2,1,C,1
HaroldParkClassic2019,8,U2F2R2FR'F'U'R',F' R' U2 R' U2 F R2 U' R2 U2 R2,1,A,2
ChellesOpen2020,8,U'FR'UFR2U'R',U' R' U' R U' F' R2 U F R U2,2,A,3
MinnesotaCubeDays2020,8,UF2URF'UFU2,U R' U2 F' U R U2 R2 U' F R,1,B,3
MinnesotaCubeDays2020,8,FU'RF'U'F2U'F',R' U' R U' R' U' F' U' R U F',1,A,3
HaroldParkClassic2019,8,U2F'RFU2F'U2F,U' R U2 R' U2 R U2 F U2 F R,1,D,2
VolgaNizhnyNovgorod2020,8,FR'FR'U'FRU,R U' F' U' F' U' R2 U F R U,1,B,5
Shenzhen10thAnniversary2019,8,FU'F2RFR'FU',R U2 R' U' F2 R2 U' F' U2 R' U,d,D,5
Shenzhen10thAnniversary2019,8,U'FRU2R'F2RU,U R' F' U F' U2 R U2 R' U2 F,d,A,5
PopularnBlindFlen2020,8,RUF2R'F2UR'F',R' U' F U2 F U' F' U' R2 U2 R',f,A,3
CubingUSANationals2019,8,F'UF2U2R'FRU,U' R' F U2 F' R U R F' U' R',1,H,2
CubingUSANationals2019,8,UR2U2F'UR2U'F,R U2 F R F2 R U' R' U' R U',1,G,2
CubingUSANationals2019,8,U2F2RF'R'UF'R2,R' F U' F2 U2 R U2 R2 U' R2 U2,1,A,2
IdahoSummerB2021,8,U'FU2F2U'R'U2R2,R' U R U' R U2 R' U F U' R,1,D,1
CubingUSANationals2019,8,R'F2RF2UFR2F2,U2 R' U R2 U' R2 F R' U' F R',1,H,1
IdahoSummerB2021,8,URF2U'FRU'F',U' R' F U' R U' F R' U' F U',1,C,1
CubingUSANationals2019,8,R'UF2U'F'UF2U',R' U' R U' R' U' F' U F U2 R',1,I,1
IdahoSummerB2021,8,F2R'FUF'RU'F2,R' U2 F' R U' R F R U R' F,1,B,1
ElisaKulmaOpen2020,8,R'F'UF'RFR'U',R U' R2 U R U R' U' R2 F' U2,1,C,3
UKChampionship2019,8,U2RU2R2F2U'F'U2,R' U F' U' R2 U' F U' F U' R2,f,A,1
UKChampionship2019,8,U'FR'F'UFR'F,R' U2 R U R' U' R2 U' R2 F2 U2,f,A,1
Shenzhen10thAnniversary2019,8,UR2UR'FR2U'F,U' R U' R U2 R' U' R' U2 F2 R,d,B,5
CubingUSANationals2019,8,U2RF2UR'U2FR,R' F U2 F U' F' U' F U2 R' F,1,K,1
CubingUSANationals2019,8,R'FU2RF2U'RU,U' R' F R F U2 R U R U' R',1,A,2
ZhengzhouSummer2021,8,R'U'FU2R2FU2F',U' F R2 U2 R' U' R' U2 R2 U' R',d,A,1
BarwonCubefortheKids2021,8,F'UR'F2RU2R2F,R F U2 R2 U2 R' U2 R' F R' U',1,B,1
NordicChampionship2019,8,R'UR2UF2R'UR2,R' U' F' U' R U2 F U2 F U' R,1,C,4
GuangdongOpen2021,8,F'R2F'UFR2F2R',U R' U' R U' R' U2 R U2 R F',2,B,3
NordicChampionship2019,8,R'U'FR2FR'F2U2,F' R U' R F' U' R2 U F R U2,1,A,4
KunshanAfternoon2021,8,FUFU2RU2F'U',R' U' F U' F2 U R U R U' R',1,B,5
BeijingSpringAM2021,8,UR2U2FR'F2R2U2,U R' F U' F' R U2 R U2 R' U,d,D,3
CubingUSANationals2019,8,U2R'UF2U'R'FR',R2 F' U' F' R U' R' U' F R U',1,D,2
ClashatCarlisleFall2019,8,FRU'FR'U2R'F,U2 R U2 R2 U' F' U' R2 F U2 R2,f,A,3
BarwonCubefortheKids2021,8,R'FR'FU'R'FR2,U2 R' F U2 F R2 U' F' U2 R2 U2,1,D,1
GarrettsvilleGMenClassic2020,8,FU2F'UF'U2F2R2,R' U2 F R2 U' F U F2 R U R,1,C,3
GarrettsvilleGMenClassic2020,8,UF2U'R2U'R2UF',U' R2 F' U' R2 F' R' U' R' F U',1,D,3
BarwonCubefortheKids2021,8,F'U2R'FR'U'R2U2,U R' F2 U' F U R' U2 R2 U' R2,1,C,1
MPEIOpen2019,8,URF'UFR'U2R2,F' R' U' R' U' R U' R F' R2 U',1,H,1
GermanOpen2014,8,FU2F'R2URU'R,R' U R' U' R U' R' F2 R U R,2,A,2
ItalianChampionship2017,8,U'R2F2R'FR2UR2,U' R' F U2 R U R' F U R' F,1,H,2
HaywardRubiksRumble2016,8,F2R2URU'R2F'R2,U' R U' R' U R' F' U F R2 F',1,K,1
AsianChampionship2018,8,F'R'UR'UF2RU',U R' F R' U' R' F U' R U' R',1,C,3
AsianChampionship2018,8,U2R'U'R2U'FU2F2,R' F U' F U' F R' F R' F U2,1,E,3
Maryland2017,8,RF2U2FU2R'UR',R' F2 U2 F U' R2 U' R2 U2 R2 F',1,C,4
PSKubing2016,8,R2U2FU'FR2F'U2,R' U F' U2 R2 U' R' U2 R' F' R,f,A,5
AsianChampionship2018,8,RF'UR2F2UF'R,U' R' U2 F R' F R2 F' R' U2 R,2,B,1
AsianChampionship2018,8,R2FU2FR2F'UF',U' R' U' F' R U2 R2 U' F' R U,2,C,1
AsianChampionship2018,8,F'U'R2U'R'F'U2F2,U2 R' F R U2 R F' R2 F2 U' R,2,C,1
MinnesotaCubeMelt2018,8,URUF'RFR'U,R2 F R2 U2 R' U' R' U F R U',1,A,4
SUAO2018,8,FRU'FUR'F2U2,R2 U' F' R' U R' F' U' R U' R,f,A,2
ChicagoAreaTwistSpring2019,8,RU2R2U'R'UR2F',F R2 U' R2 U R U' R U' R' U',f,D,3
CubeFactoryCzestochowa2018,8,R2UR'F'RU'R2F',R' U R U R' F' R2 U' R' U' R,1,A,3
CubeFactoryCzestochowa2018,8,U'FU2FR2UR'U,R' U' F U' R F R U R' F U2,1,B,3
HaywardRubiksRumble2016,8,U2R2U'R2FUR2U',U R' F' U' R U R' U' F' U2 R,1,L,1
OakvilleLimitedFall2018,8,U2F2UFR'F2U'F,R F' R2 U2 F U2 F' U' R2 U R',f,A,2
CliftonWinter2017,8,RF2UR2URU2R2,R2 U' R U R' F U F U2 F U2,d,B,2
SunmarkeDubaiOpenII2017,8,F'U2FR2FU'RU',U2 R' F' U R U R U' F' R' U',d,C,3
AustralianNationals2018,8,R'FRF2U'FR2F2,F' U2 R2 F U' R2 U R' U' R U2,2,C,2
HaywardRubiksRumble2016,8,FU2F2R'FUR'F',R' F U2 R2 U' R' F' U' R2 F R,1,F,1
ElsassOpen2018,8,U'RF'RF'U'F2U,U2 R2 U' R2 U' F2 R U R' F U',2,B,3
HaywardRubiksRumble2016,8,FUR'F2RF2U'R,R F' R' U2 R' U' R U2 R U2 R',1,D,1
AustralianNationals2018,8,FR2FU'R'F2RF',U2 R' F R2 U R' F R' U2 F U,2,D,2
SkottegardsskolenOpen2018,8,RU'FUFRU'F,U' R U' F' U' R2 U F' R' U' R,f,A,2
UKChampionship2017,8,FUF2R'F2R'FU2,R' U2 R U2 R' F R2 U' F' R U2,d,E,4
KaohsiungOpen2016,8,URF'UR2U'FU,R' F U' F U2 F' R U2 R' U' F',1,B,2
QuabbinOpen2016,8,F2RFU2R'F'U2F',R F' R' U' R' F' R' F U' R U',f,A,2
NordicChampionship2018,8,R'F2UR2UR2U'R,U2 R' F' U2 F' R' F U2 F R U2,1,E,3
TeaTimeSpring2018,8,UF'UF2RF2R'U',U R2 U2 F R2 U' R' U' R' F R,1,A,4
NordicChampionship2018,8,RFR2U'R'U'F2R',U F U2 F U2 F U2 R2 U' R2 U,1,E,5
CliftonWinter2017,8,RF2RU'FU2R'F',R U2 R U' R' U2 F U' R U2 R,d,A,2
Maryland2017,8,FRU'R2UR2UF,F' R U R U' R' U R' U' R2 F',1,A,4
GermanOpen2014,8,R'U2R'U2RU2R'F',F R2 U' R' U2 R' U2 R U2 R U',2,A,2
LierOpen2018,8,U2RF'R2F'U2F'R',R U2 R2 F R' F R U R' U' F,f,A,1
CubingUSANationals2017,8,R'U'F'R2F'R2F'R,R' F U2 R2 F' U2 F' U2 R2 U' R,1,F,4
TeaTimeSpring2018,8,F2UR'FU2R2FR,U R' U F U' R2 F' U' R2 F R,1,E,5
SlovakianCubeDay2018,8,R2U'F'U'F2R'FR',U2 R' F' R2 U' R' U' R2 F U2 R2,1,A,5
CubingUSANationals2017,8,U'R2U'FR2FU2F,R2 F' U2 R U R' U' F U' R2 U2,1,D,4
EgerOpen2017,8,U'R'FR'U2F2RU,U' R' F R2 U' F U2 R U R U2,2,A,2
GLSCupIII2017,8,RURU2F2U'RF',R' F U' R2 U2 F U' F R U2 R',d,D,5
SlovakianCubeDay2018,8,UF2RUR2U2R'F',R U2 R F' U' R2 U' R U R F',1,C,5
MelbourneWinter2018,8,F2UFRF'R'F'U2,R' U R U2 R2 F U R U' R U2,1,A,5
GLSCupIII2017,8,UR2U2R'U'R2FU2,U2 R2 U2 R2 F R2 U' R U2 R2 U',d,B,5
MelbourneWinter2018,8,U2F'RUR2U'F2R,R' U' R2 U' F U' F U' F U' R2,1,B,5
CubingUSANationals2017,8,URU2F2U'R'UF,F2 U' R2 U R U2 R' U R' U' R,1,K,4
SwedishDecathlonChallenge2017,8,F'UF'R'UF2UF2,R' U2 R2 U' R' U' R U' F' U2 R,f,A,2
SwedishDecathlonChallenge2017,8,RUR2F'R2U'R'U2,U2 R' F' R U' R' F' R2 U' R' U',f,A,2
CubingUSANationals2017,8,U2RUR'FR'F'U,U2 R U' R2 F' U2 F R U2 R U',1,L,4
ProjectZamosc2018,8,F'U2RFRFU'F,R' F R' U' R2 U2 R' U' R' U' F',f,A,1
CubingUSANationals2017,8,U2RU'F'U'F2RF,U R U2 R' U R U2 R2 U2 F R2,1,U,4
