Delegate,Scrambles,E[Moves],4 moves%,5 moves%,6 moves%,7 moves%,8 moves%,9 moves%,10 moves%,11 moves%
Chris Krueger,1393,8.76,0.0,0.07,1.15,6.32,24.19,51.83,16.37,0.07
Gianluca Placenti,1204,8.81,0.0,0.33,1.33,5.4,21.51,53.07,18.36,0.0
Simone Cantarelli,1470,8.76,0.0,0.2,1.56,6.33,22.79,51.97,17.14,0.0
Ronan Felipe Jorge,1365,8.75,0.0,0.29,1.39,6.45,23.88,50.62,17.36,0.0
Ton Dennenbroek,1362,8.77,0.0,0.29,1.1,6.17,23.13,52.13,16.96,0.22
Ryan Jew,1379,8.75,0.0,0.15,1.31,6.24,24.0,52.21,16.03,0.07
Zachary Garber,1351,8.78,0.0,0.3,0.96,5.7,23.98,51.81,17.17,0.07
Sebastian Robbins,1330,8.74,0.0,0.38,1.28,6.32,24.21,51.43,16.39,0.0
Donglei Li (李冬雷),1295,8.7,0.0,0.15,1.39,7.18,26.25,49.42,15.6,0.0
Ethan Pride,1239,8.75,0.0,0.16,1.37,7.51,23.0,50.28,17.68,0.0
Chenxi Shan (单晨曦),1218,8.79,0.0,0.16,1.23,5.91,23.23,51.48,17.9,0.08
Brandon Harnish,1218,8.76,0.0,0.33,0.99,5.83,24.22,53.37,14.86,0.41
Helar Gomez Chalco,1162,8.75,0.0,0.17,1.38,6.28,25.3,49.66,17.13,0.09
Evan Liu,1267,8.77,0.0,0.24,1.66,5.84,23.91,50.04,18.15,0.16
Siva Shanmukh Vetcha,1127,8.78,0.0,0.09,1.24,5.32,24.4,51.64,17.3,0.0
Olli Vikstedt,693,8.74,0.0,0.43,1.44,7.07,22.66,51.37,16.74,0.29
Geert Bicler,630,8.79,0.0,0.48,1.59,6.03,23.17,48.57,19.84,0.32
Murillo Gomes Otero,623,8.81,0.0,0.0,1.61,6.58,20.87,51.36,19.58,0.0
Anthony Brooks,350,8.71,0.0,0.0,0.86,6.29,28.57,49.43,14.86,0.0
Paulo Guillén,420,8.68,0.0,0.24,2.38,8.57,24.05,47.38,17.14,0.24
Kåre Krig,420,8.77,0.0,0.0,0.95,6.9,23.33,52.14,16.67,0.0
Yohei Suzuki (鈴木洋平),399,8.8,0.0,0.25,1.25,4.76,23.31,52.63,17.79,0.0
José Garrido,399,8.71,0.0,0.0,2.76,6.77,21.55,54.64,14.04,0.25
AJ Blair,392,8.67,0.0,0.0,2.3,6.89,26.53,50.26,14.03,0.0
Ayush Kumar,392,8.79,0.0,0.26,0.26,5.61,25.51,51.02,17.35,0.0
Mehdi Pourmotalleb (مهدی پورمطلب),389,8.76,0.0,0.26,1.29,6.17,22.88,53.47,15.94,0.0
Edrian Oralde Tepait,386,8.81,0.0,0.52,0.78,5.7,21.5,52.85,18.65,0.0
Dana Yi,385,8.75,0.0,0.0,1.82,6.49,22.6,52.99,15.84,0.26
Björn Korbanka,385,8.75,0.0,0.52,1.04,4.94,25.97,51.43,16.1,0.0
Mohamed Ali Bizid,385,8.73,0.0,1.04,1.3,6.49,21.56,53.77,15.84,0.0
Zak Kenny,406,8.72,0.0,0.0,0.74,6.4,28.57,48.77,15.52,0.0
Caleb Hoover,399,8.72,0.0,0.25,1.0,7.52,24.56,51.13,15.54,0.0
Sakae Tokuda (徳田栄),350,8.8,0.0,0.57,1.43,4.86,22.86,51.71,18.29,0.29
Liam Sweet,427,8.8,0.0,0.0,0.94,5.39,23.19,53.63,16.86,0.0
Seth Talbot,350,8.76,0.0,0.57,0.86,5.43,24.0,53.14,16.0,0.0
Luis David Hernández Mejía,350,8.69,0.0,0.29,1.43,7.43,25.14,51.14,14.57,0.0
James Macdiarmid,343,8.79,0.0,0.29,1.46,6.41,21.28,52.19,18.37,0.0
Kei Suga (須賀慶),343,8.77,0.0,0.29,0.87,5.83,24.78,50.73,17.49,0.0
Dominik Vidaković,371,8.79,0.0,0.27,1.35,7.55,22.91,46.09,21.83,0.0
Lars Vandenbergh,336,8.81,0.0,0.6,1.19,5.95,22.62,48.81,20.54,0.3
James Stephen Sarmiento Cubarol,336,8.76,0.0,0.0,1.19,6.85,22.62,53.57,15.77,0.0
Bille Janssen Lagarde,336,8.82,0.0,0.0,0.6,5.95,21.73,54.17,17.56,0.0
Manu Vereecken,378,8.78,0.0,0.53,1.32,6.08,22.75,50.0,19.31,0.0
Jared Stinson,336,8.76,0.0,0.3,1.19,7.44,23.81,48.51,18.45,0.3
Loïc Petit,329,8.8,0.0,0.3,1.22,3.34,25.53,52.28,17.33,0.0
Claudio Gonzalez,325,8.71,0.0,0.31,0.92,6.15,29.23,47.08,16.31,0.0
Sam Schultz,322,8.8,0.0,0.0,1.24,4.66,27.33,46.27,20.19,0.31
Micah Stairs,420,8.73,0.0,0.48,1.9,4.76,26.9,49.76,15.71,0.48
Charlie van Ooran,504,8.73,0.0,0.0,0.79,6.55,27.38,49.6,15.67,0.0
Jernej Omulec,616,8.77,0.0,0.16,1.3,6.33,24.03,49.51,18.67,0.0
Arthur Adams,525,8.74,0.0,0.19,0.95,5.52,25.33,53.9,14.1,0.0
Toan Do Cong,612,8.72,0.0,0.0,0.49,6.21,28.43,50.82,14.05,0.0
Nancy Hartman,644,8.78,0.0,0.0,1.09,7.61,22.2,50.47,18.48,0.16
Lina Tissier,602,8.79,0.0,0.5,1.5,3.65,26.58,48.67,18.94,0.17
Jae Park,623,8.75,0.0,0.0,1.44,7.87,23.92,47.83,18.94,0.0
Tomas Jankauskas,581,8.72,0.0,0.34,1.2,7.75,21.86,54.39,14.29,0.17
Ivo Kruusamägi,606,8.73,0.0,0.66,1.65,6.11,25.41,48.02,18.15,0.0
