Delegate,Scrambles,E[Moves],4 moves%,5 moves%,6 moves%,7 moves%,8 moves%,9 moves%,10 moves%,11 moves%
Matias Rasmussen,224,8.75,0.0,0.0,1.34,7.59,21.43,54.02,15.62,0.0
Jurgens Filiaggi,217,8.64,0.0,0.0,2.3,6.91,26.27,53.46,11.06,0.0
Rodolfo Jepte Lutrania Mabanta,224,8.79,0.0,0.0,1.34,5.36,26.34,46.88,20.09,0.0
Hao Wang (王皓),252,8.77,0.0,0.0,1.19,4.76,25.0,53.57,15.48,0.0
Elias Miguel Acosta Acosta,35,8.83,0.0,2.86,2.86,0.0,22.86,45.71,25.71,0.0
Carlos Ricardo Chin Dzul,217,8.83,0.0,0.0,0.0,2.76,29.49,49.31,18.43,0.0
Clément Cherblanc,35,8.49,0.0,5.71,0.0,8.57,28.57,40.0,17.14,0.0
Dedi Darmawan,217,8.72,0.0,0.46,1.38,3.69,31.34,46.54,16.59,0.0
Saransh Grover,217,8.79,0.0,0.46,1.38,3.23,28.57,46.08,20.28,0.0
Ömer Çetinkaya,35,8.74,0.0,0.0,0.0,5.71,25.71,57.14,11.43,0.0
Keenan Johnson,217,8.75,0.0,0.46,0.46,6.45,23.5,54.38,14.75,0.0
Hikmət Mürsəlzadə,217,8.71,0.0,0.46,3.23,8.29,19.82,49.31,18.89,0.0
Gustavo Riveiro,212,8.82,0.0,0.47,1.42,3.3,24.06,52.36,17.92,0.47
Aayas Dhoj Joshi,210,8.79,0.0,0.0,0.0,8.1,24.29,48.57,19.05,0.0
Danival Heide Sævarsson,35,8.63,0.0,0.0,2.86,8.57,22.86,54.29,11.43,0.0
Chester Lian,252,8.79,0.0,0.4,1.59,5.56,23.81,48.02,20.63,0.0
Juho Saarimaa,259,8.73,0.0,1.16,0.77,4.25,26.64,51.74,15.44,0.0
Viktor Zenk,189,8.68,0.0,0.0,1.06,6.35,31.75,45.5,15.34,0.0
Shaden Smith,259,8.77,0.0,0.39,2.32,5.41,22.39,50.58,18.92,0.0
Igor Aipkin,315,8.76,0.0,0.63,1.59,6.03,24.13,48.25,19.37,0.0
Cel Adriane Lalo,308,8.91,0.0,0.32,0.97,4.22,18.83,53.57,22.08,0.0
Tatsuya Tsukamoto (塚本達也),308,8.81,0.0,0.65,0.97,4.22,25.65,48.38,19.81,0.32
Gabriel Silva dos Santos,308,8.91,0.0,0.0,0.32,3.57,21.1,55.19,19.81,0.0
Angelo Zhang,308,8.72,0.0,0.32,1.62,6.82,23.7,52.27,14.94,0.32
Felipe Baldívio Freires,308,8.75,0.0,0.65,1.95,5.52,25.32,46.75,19.81,0.0
António Gomes,308,8.74,0.0,0.32,0.97,4.55,28.57,49.68,15.91,0.0
Dimitris Passas,301,8.75,0.0,0.33,0.66,5.65,26.25,51.16,15.95,0.0
Noel Yzaguirre,301,8.76,0.0,0.33,1.33,6.64,24.25,48.84,18.6,0.0
Rafael Gregorio Martinez Paredes,301,8.8,0.0,0.33,1.33,4.98,23.26,51.83,18.27,0.0
Modest Podzolkin,63,8.62,0.0,0.0,1.59,3.17,33.33,55.56,6.35,0.0
Yuji Suse (巣瀬雄史),301,8.83,0.0,0.0,1.33,4.98,22.26,52.16,19.27,0.0
Riadi Arsandi,7,9.0,0.0,0.0,0.0,0.0,28.57,42.86,28.57,0.0
Slater Metz,294,8.76,0.0,0.0,1.7,6.46,23.81,50.0,18.03,0.0
Zeus Miles Campilla,14,8.79,0.0,0.0,0.0,14.29,14.29,50.0,21.43,0.0
Arash Maslehatjoo (آرش مصلحت جو),287,8.74,0.0,0.0,1.39,8.36,22.65,50.52,17.07,0.0
Aysha Jamsheer,287,8.78,0.0,1.05,0.7,7.32,18.82,54.7,17.07,0.35
Yuki Tanaka (田中悠樹),273,8.83,0.0,0.0,0.73,5.13,24.54,49.45,20.15,0.0
Recep Gül,21,8.43,0.0,0.0,4.76,9.52,28.57,52.38,4.76,0.0
Delphine Tran (Ngọc Phượng Vĩ Trần),98,8.83,0.0,0.0,0.0,5.1,24.49,53.06,17.35,0.0
Slimane Siroukane,28,8.82,0.0,0.0,0.0,0.0,28.57,60.71,10.71,0.0
Bogdan Grigoruţă,273,8.75,0.0,0.37,1.1,6.23,23.81,52.38,16.12,0.0
Chris Hardwick,259,8.81,0.0,0.39,1.93,5.02,20.08,54.83,17.37,0.39
Brent Boswell,259,8.82,0.0,0.39,0.39,6.18,20.08,55.6,17.37,0.0
Krzysztof Kuncki,259,8.77,0.0,0.0,0.77,7.34,20.46,56.76,14.67,0.0
Milind Bhoyroo,35,8.97,0.0,0.0,0.0,0.0,22.86,57.14,20.0,0.0
Jay Benedict Alfaras,210,8.82,0.0,0.0,0.0,6.19,21.9,55.24,16.67,0.0
Rotem Ifrach,35,8.71,0.0,0.0,2.86,0.0,31.43,54.29,11.43,0.0
Anton Rostovikov,112,8.73,0.0,0.0,0.0,8.04,23.21,56.25,12.5,0.0
Dror Vomberg,140,8.84,0.0,0.0,1.43,8.57,17.14,50.71,22.14,0.0
Bruno Fonsêca Coelho Lima,140,8.76,0.0,1.43,0.71,5.0,23.57,51.43,17.86,0.0
Soufiane Lakhlifi,56,8.79,0.0,0.0,1.79,3.57,28.57,46.43,19.64,0.0
Zachary McWilliams,63,8.7,0.0,1.59,1.59,9.52,19.05,49.21,19.05,0.0
Carlos Méndez García-Barroso,140,8.79,0.0,0.0,2.14,5.71,17.86,60.71,12.86,0.71
Ming Dao Ting,63,8.59,0.0,0.0,3.17,17.46,15.87,44.44,19.05,0.0
Christian Saenz Valdivia,63,8.94,0.0,0.0,3.17,1.59,17.46,53.97,23.81,0.0
Javid Nabizade,133,8.74,0.0,0.0,0.75,3.01,28.57,56.39,11.28,0.0
Amit Sheffer,126,8.78,0.0,0.0,1.59,7.14,22.22,50.0,19.05,0.0
Alexander Mutch,126,8.63,0.0,0.79,3.97,6.35,23.81,50.0,15.08,0.0
Hilmar Magnusson,119,8.88,0.0,0.0,0.84,3.36,20.17,57.98,17.65,0.0
Jayden McNeill,63,8.59,0.0,0.0,3.17,17.46,15.87,44.44,19.05,0.0
Mike Hughey,112,8.74,0.0,0.0,1.79,8.04,24.11,46.43,19.64,0.0
Clément Gallet,49,8.73,0.0,0.0,4.08,4.08,26.53,44.9,20.41,0.0
David Pearce,63,8.59,0.0,0.0,3.17,17.46,15.87,44.44,19.05,0.0
Tiana Diachenko,63,8.59,0.0,0.0,3.17,17.46,15.87,44.44,19.05,0.0
Lucero Esmeralda Alvarado Ruíz,105,8.66,0.0,0.0,1.9,6.67,32.38,41.9,17.14,0.0
Renz Alexander Lumban,70,9.04,0.0,0.0,0.0,0.0,18.57,58.57,22.86,0.0
JP Bulman,70,8.87,0.0,0.0,1.43,2.86,27.14,45.71,21.43,1.43
Novianto Pambudi,322,8.76,0.0,0.0,0.93,5.28,25.16,54.04,14.6,0.0
Jonathan Papa,77,8.65,0.0,1.3,0.0,12.99,20.78,48.05,16.88,0.0
Alex Davani,91,8.73,0.0,2.2,1.1,4.4,20.88,57.14,14.29,0.0
Zheng Li (李政),91,8.71,0.0,1.1,0.0,4.4,31.87,46.15,16.48,0.0
Pamulapati Sai Teja,91,8.77,0.0,0.0,1.1,8.79,23.08,46.15,20.88,0.0
Pedro Miranda Moreira,77,8.83,0.0,0.0,0.0,6.49,22.08,53.25,18.18,0.0
Glenn Mark Salgado,84,8.71,0.0,1.19,1.19,9.52,21.43,46.43,20.24,0.0
Gennaro Monetti,56,8.62,0.0,0.0,1.79,7.14,33.93,41.07,16.07,0.0
Zhou Yichen (周奕臣),147,8.88,0.0,0.0,0.0,8.84,17.01,51.7,22.45,0.0
Petri Vanhala,35,8.69,0.0,5.71,0.0,5.71,14.29,57.14,17.14,0.0
Aleksandar Arsovski,42,8.67,0.0,2.38,2.38,7.14,11.9,66.67,9.52,0.0
Marvin Solano,210,8.72,0.0,0.0,2.38,6.67,23.81,50.95,16.19,0.0
Mary Hennessy,203,8.81,0.0,0.49,1.48,6.4,21.18,48.77,21.67,0.0
Daniel Lo,189,8.85,0.0,0.0,0.53,4.76,20.63,57.14,16.93,0.0
Justin Gou,42,8.98,0.0,0.0,0.0,2.38,14.29,66.67,16.67,0.0
Raphaël Pihet,42,8.88,0.0,0.0,2.38,0.0,14.29,73.81,9.52,0.0
Jean-Louis Mathieu,182,8.79,0.0,0.0,1.65,4.95,23.63,52.2,17.58,0.0
Shuhei Omura (大村周平),175,8.76,0.0,0.0,1.14,5.14,28.57,46.86,18.29,0.0
Marius Rombout Ferreira van Riemsdijk,42,8.83,0.0,0.0,2.38,7.14,19.05,47.62,23.81,0.0
David Edwards,175,8.73,0.0,0.0,1.71,6.86,25.71,48.57,17.14,0.0
Jezer Castañares Macatiag,42,8.71,0.0,0.0,0.0,2.38,38.1,45.24,14.29,0.0
Luke Heath-Edwards,175,8.86,0.0,0.0,2.29,5.14,20.57,48.0,24.0,0.0
Georel Ulangkaya,42,8.71,0.0,0.0,0.0,2.38,38.1,45.24,14.29,0.0
Kong Chai Chen,49,8.69,0.0,2.04,4.08,6.12,18.37,48.98,20.41,0.0
Michael Conard,49,8.69,0.0,0.0,4.08,6.12,24.49,46.94,18.37,0.0
