Competition,Event,Round,Group,Scramble Num,Scramble
DJOPEN2014,333,d,G,5,F2 R2 D' F2 R2 D' U2 L2 R D R' D2 R D' L2 D U2 F'
KyushuOpen2014,333,f,A,4,R2 D U B2 F2 U2 R2 F U2 L' D' F2 D' R2 U F R2 U2 F
DoylestownSpring2015,333,3,A,2,L' D2 L' R2 F2 L B2 F2 U2 F L' F' L' R U' R' U' B2 R2
MelroseSpring2015,333,f,A,2,F2 D2 F D2 F D2 R2 B' D B U2 L2 U F2 L' U F2 L2 R'
IndianNationals2015,333,d,L,1,L' R' F2 D2 R F2 D2 F2 D' B D U2 R F2 D' U2 R B'
IndianNationals2015,333,3,D,1,R' U2 R' D2 R2 B U2 L' U R' B2 L2 D' L2 D B2 U' F2
BelgiumSummer2015,333,f,B,1,L2 F L2 F R2 U2 F2 U2 F' R2 D' R' U' L' D2 L D' R' B2 U
Cubetoberfest2015,333,1,A,1,U B' U' L2 B L' U' F R L2 U' B2 R2 F2 R D2 R2 D2
BignWeird2016,333,1,A,1,L F2 R2 F2 D2 U2 L2 D B2 R U2 R' B' L2 B R' F L
BigAppleCubeClash2016,333,2,D,3,D' F' R' U F L2 F D' B R' F2 D2 F2 B2 R2 D2 B R2 L2 U2 B2
IndianOpenRubiksCube2016,333,2,D,4,U B2 U B2 F2 R2 D2 U R2 U' L D2 U' R2 U R' B L2 U' B2
KharkivSpecial2016,333,1,D,1,F U' B' R D2 R' L2 B U' B L' F2 R2 U2 F B' L2 B'
HungarianNationals2016,333,3,B,3,D2 B2 L D F' L2 D L2 F B2 R' D F2 U R2 F2 U D' R2
MelbourneAutumn2016,333,1,G,1,L2 F D2 B2 F D2 L2 D L2 D B2 U' F2 L' D R2 D2 L
NationalCapitalRegion2016,333,2,B,2,R2 F L2 F' U2 L2 B' D2 B D F' L' U B' L' U2 F' R' U' L2
OruroOpen2016,333,f,A,5,U2 D' R2 U B2 R' L2 D F U' R2 B L2 B R2 F' D2 B' D2 B2
CajunCubeClash2016,333,1,C,1,B2 U2 L2 B2 D2 B D2 F' D2 F2 D2 L B R U2 B2 R' U R U
ChangchunOpen2016,333,f,A,2,D2 F2 U2 B' F D2 F' L F' L2 R2 B' D2 U' L2 B2 R D'
HCMCSummerOpen2016,333,f,A,1,L2 D' R2 U R2 F2 R2 D' R2 B2 D R' D F' R' B2 F2 D L F
ConstantaRubikOpen2016,333,1,A,3,F2 R B2 L B2 L2 F2 L D2 L' U' L F L' R D' L' B' D' R'
MoldavianNationalsSummer2016,333,f,A,3,F2 U B2 R2 D2 L2 R2 D' B2 L2 U' L' F2 U' R2 U' B' U2 L
SwissNationals2016,333,2,C,3,F' D L B2 U' R2 B U' R' F' U2 F' U2 D2 F D2 L2 B2 U2
GermanNationals2016,333,2,D,2,L F2 L' U2 L2 D2 F2 R B2 R U R F2 U R2 F2 U F' D2 U'
AmaltheaSCMUOpen2016,333,d,J,5,D2 F2 D' F2 U R2 D2 F2 R F2 R' B' R B' U2 R2 D L2 U
AmaltheaSCMUOpen2016,333,f,D,1,L R2 D2 F2 L U2 B2 F2 U R2 F L' B2 F D F2 D2 B
URABacktoSchool2016,333,2,B,5,U2 B D2 R2 F2 L2 B D2 F' D2 R D U2 B2 L2 U' B' D R2 B2
Andorra2016,333,1,C,4,L2 R2 D2 B' L2 U2 B' L U B U' B U B' D B2 L2 U'
ShakerFall2016,333,2,A,4,D B2 L2 U' B2 D' B2 L2 B' R B D U' F L2 U L2 U2 B2
CubersEastIndiaOpen2017,333,1,O,2,D2 L' U2 R' U B2 D R2 L' D B' D2 L2 D R2 L2 B2 D L2
HaNoiCubeDay2017,333,1,M,5,R F2 L U2 L' D2 L2 B2 U2 F U F U' L B2 U2 B2 F2
MontrealOpenWinter2017,333,1,A,2,D' F' B' U2 R L2 F B' D' L2 F U L2 D2 F2 U' B2 L2 D2
SSL1Jonkoping2017,333,1,B,2,F2 R2 B2 L' U2 F2 R D2 R2 F U' L2 D' F R' U' F' U B' F'
IowaStateSpring2017,333,2,A,2,R' D2 R F2 L' D2 B2 U2 F2 U' R F' D2 L2 U' F' R B D' R'
Eugene3x3Mania2017,333,1,E,3,L' D2 L U2 B2 D2 R' F R' B' D2 F' U B' D R2 U R2
NanjingSpring2017,333,2,A,1,R D' F2 D L' U' F' U2 B2 L F U2 D2 L2 F' D2 F2 R2 F' B'
KKROpen2017,333,1,B,2,B R2 F' L2 F2 D2 B F2 L2 D' L D2 U' B2 D' B U B F
2ndNegrosSpeedcubingOpen2017,333,1,A,4,L' B R2 U2 R F2 D R2 L2 D B2 U2 F2 L D2 L2 U2 R B2
BeijingOpen2017,333,1,B,5,F B2 U' L' F' B2 D' F' D B2 U' F B U2 R2 L2 F' U2
GLSCupIII2017,333,1,A,4,F2 R2 F' U2 F R2 F2 R2 U2 R2 F L R2 B' U' R2 B D' L' F
IrishChampionship2017,333,1,C,3,D2 F' R2 F U2 F U2 L2 R2 D' L D L' U R U R2 U2 B' L'
CubingUSANationals2017,333,1,AA,1,U F2 U' B2 F2 R2 F2 U' B' D' F2 R' D2 B' F' R2 U2 L R2 D
WC2017,333,1,G,1,D2 L2 B2 D2 U B2 R2 D' R F U' R F U' F' L R2 D' R2
CzechOpen2017,333,2,B,2,R2 B2 D2 L2 F2 U2 R2 U R' F' D U2 L F2 L U B R D
HaNoiOpen2017,333,1,O,1,R2 F R2 F' L2 F U2 L2 U2 R2 F R D R2 D' L' B L' F' U' R
OpenFlorida2017,333,1,A,1,B2 D U2 F2 D' R2 U' L2 U2 F2 R' F' D' R' F2 U2 R D' R B'
UralOpen2017,333,1,A,5,B' R2 B L2 R2 U2 B D2 F2 L' D' B' F2 L2 D R2 U F' D'
DLSWrzesien2017,333,1,B,2,B' F2 U2 F2 L2 U2 F' U2 F U2 L F' R' U2 F' R U B2 F' L2
MonnemCityCubing2017,333,f,A,1,R2 D' B2 D2 R2 B2 L2 U F2 L R U L2 R2 F2 D F' U2 R
VITRubiksCubeChallenge2017,333,1,G,2,B2 L B R' F2 L U L2 B2 U' R U2 L' U2 D2 L B2 L
FeevaleNHOpen2017,333,f,B,4,L F2 U2 R D2 L2 U2 R U' B L F' L B U2 R2 B L2 B'
MalaysiaCubeOpen2017,333,1,A,2,D2 F' R2 B2 U2 F D2 L2 U2 R2 F2 D' F' R' U2 L D R' B2 F
VillaOpen2017,333,2,A,2,R B2 U2 B2 F2 R2 F2 U2 L R2 U' L U' B' D R D' B2 R' F2
Chicago2017,333,2,D,1,D' L' B2 L' D' B L2 D2 B R D R L D2 R D2 R2 D2
StBoois2017,333,2,C,3,D2 F' R' L2 U F L2 B' D B2 L D2 R B2 U2 B2 R F2 B2 R'
PortoAlegreOpen2017,333,2,C,4,U' L2 F2 D' B2 D F2 R' F' U' R2 F R2 F L2 F2 R2 F L2
AlicanteOpen2017,333,2,A,1,U2 F2 U2 B' D2 U2 F U2 B L2 D' B U' L' F L2 D' L' U2 B
BratislavaOpen2017,333,1,C,2,L' D2 L' F2 B' R2 U D2 R L2 F' D2 R2 B2 D2 B U2 L2 F B'
Capivara2017,333,1,B,1,U B2 L' B2 L2 D2 R' U F' L U2 B2 R2 D2 L2 B' R2 F L2
KyushuOpen2017,333,d,C,3,R' L B' L' U' L B' R2 D F' L' B2 L2 U2 R2 U2 D' L2 D
VIQBer2018,333,1,C,2,U2 R D F' D' R2 B2 D F L2 D2 B2 D2 B2 L' B2 D2 R L2 U2
InnerMongoliaWinter2018,333,1,A,1,B D R2 U F2 D2 R2 L U' R' U2 F2 R D2 R' U2 R B2 L2
OradeaCubingOpen2018,333,1,B,1,B' D2 F' D2 L2 U2 F R2 F' D2 L' B L2 F D F' D R' B D
