name,country,minx
Eshiel Narayanan,Australia,824
Jose Alberto Rodriguez Nuñez,Mexico,824
Obed Gamaliel Ortíz Piña,Mexico,824
Cameron Miller,USA,824
Sandy Aaron Jones,France,823
Qingpo Niu (牛青坡),China,823
Łukasz Dubicki,Poland,823
Ezra Hirschi,Switzerland,822
Levente Swanepoel,New Zealand,822
Jaidon Zain Adams,United Kingdom,822
Zack Hall,Australia,822
Michael Larsen,USA,822
Deniz Han Bilyay,Turkey,822
Juan David Carmona Vásquez,Colombia,821
Lucas Jacobs,Canada,821
Vincent Chen,USA,821
Lee Stanton-Barnett,New Zealand,821
Jonah Blakeley,Australia,821
Levi Cordeiro do Vale Menezes,Brazil,821
Mikhail Novoselov,Russia,821
Gael Augusto Lapeyre,Argentina,820
Chuokai Liu (刘逴锴),China,820
Arush Singh,India,819
Vishal Mohanraju,India,819
Jacob Ambrose,USA,819
Benjamin Wei,USA,819
Chloé Demuynck,France,819
Miika Ogorevc,Canada,819
Yerkin Assylbek,Kazakhstan,819
Matthew Sieredzinski,Australia,819
Josiah Thomas,Canada,819
Isaac Macdonald,New Zealand,818
Andrey Mrinskiy (Андрей Мринский),Russia,818
Matěj Grohmann,Czech Republic,818
Kasper Jansson,USA,818
Anh H. Nguyen,Vietnam,817
Dias Murzalin (Диас Мурзалин),Kazakhstan,817
Liam Highducheck,Australia,817
Omar Mohamed Said Mohamed Hassan Elgammal,Egypt,817
Mikołaj Zubowicz,Poland,817
Ruei-Ying Huang (黃睿穎),Taiwan,817
Jerome Hotchkiss,USA,817
Raymond Goslow,USA,816
Levy Fernandes Pereira,Brazil,816
Shukrullo Ibragimov,Tajikistan,816
Dmitry Zvyagintsev,Russia,816
Aleksey Zuev,Russia,816
Ainesh Sevellaraja,Malaysia,816
Artem Permyakov (Артём Пермяков),Russia,815
Jonah Nicolaou,Australia,815
Joshua Zhang,USA,815
Rahul Venkatesan,India,815
Brandon Nunez,USA,815
Raúl Martínez Redondo,Spain,814
Jorge Augusto Siqueira Pinto,Brazil,814
Mikhail Kharitonov,Russia,814
Oleksandr Livkovych (Олександр Лівкович),Ukraine,814
Xianchen Liu (刘显臣),China,814
Paxton Bennison,Australia,813
Anton Reutov (Антон Реутов),Russia,813
Vincent Contini,Australia,813
Aleksandar Dukleski,North Macedonia,813
Eva Kato,USA,813
Mohammad Siwom Chowdhury,Bangladesh,813
Dominik Fürer,Switzerland,813
Edbert Sim,Australia,813
David Calderón Arce,Costa Rica,813
Arkadiusz Żynel,Poland,813
Riccardo Pilan,Italy,813
Benjamin Blaikie,New Zealand,813
Mark Bennis,Netherlands,812
Ali Antar,Egypt,812
Jinseo Hong,Korea,812
Isaac Myers,USA,812
Robert G. Pearce IV,USA,812
Jingming Xu (许菁铭),China,812
Benito Sebastian Flores Vázquez,Mexico,812
Jonathan Mauroy,Belgium,812
Bryan Eng,Australia,812
Ryan Silva,USA,812
Ekaterina Soboleva (Екатерина Соболева),Russia,812
Chen-Yu Wang (王晨羽),Taiwan,812
Alexander Botz,Germany,811
Will Newhoff,USA,811
Gijs Peletier,Netherlands,810
Samir Piazzano,Italy,810
Teodor-David Soporan,Romania,810
Lachlan Stephens,Australia,810
Laura Mellier,Switzerland,810
Dylan Swarts,South Africa,810
Yasa Zaheen,Bangladesh,810
Denis Gromov (Денис Громов),Russia,810
Tiannan Wang (王天南),China,810
Tripp Peters,USA,809
Nick Agatyn,Australia,809
Declan James Douglas McLennan,Australia,809
Vitor Wagner Abreu,Brazil,809
Lucas Cordeiro do Vale Menezes,Brazil,809
Mark Popov (Марк Попов),Russia,809
Zachary Giesken,USA,809
Luigi Soriano,USA,809
Lucinda Zhou,USA,809
Carson Deibert,Canada,808
Joseph C. Browning,USA,808
Hernán Levano Villalobos,Peru,808
Simone Ohler,Germany,808
Rasmus Stub Detlefsen,Denmark,808
Paul Watson,Ireland,808
Jorge Rafael Castañeda Sánchez,Mexico,808
Cooper Cutcliffe,Australia,808
Valeriy Mankevich (Валерий Манкевич),Russia,808
Arifumi Fushimi (伏見有史),Japan,807
Oliver Fisk,United Kingdom,807
Jacob Watters,New Zealand,807
Dagne Poveda,Costa Rica,807
Daniel Wallin,Sweden,807
Luke Robles,USA,806
Clyde Dencer Tutor,Philippines,806
Silas Starling,USA,806
Guy Taragano,Israel,806
Maria Zhits,Russia,806
Eduard Esteban García Domínguez,Colombia,806
Claudio Matias Cancino Bruna,Chile,806
Moksh Patel,India,805
Hazel Moises Ruiz Gutierrez,Mexico,805
Nicholas Roberts,USA,805
Yurii Hnidko (Юрій Гнідко),Ukraine,805
Misael Peñafiel,Panama,805
Benjamin Shurmer,Australia,804
Dmitrii Dusheiko (Дмитрий Душейко),Russia,804
Ostap Skakun (Остап Скакун),Ukraine,804
Mikhail Glazov (Михаил Глазов),Russia,804
Hiroaki Okamoto (岡本裕陽),Japan,804
Vasily Bolshakov (Василий Большаков),Russia,804
Chia-Jui Lin (林家睿),Taiwan,804
Ertugan Mulkubai (Ертуган Мулькубай),Kazakhstan,804
Aaron Spiller,Australia,804
Andrew Antoine,Egypt,803
Nguyễn Khôi Nguyên,Vietnam,803
Joey Saia,USA,803
Jasmin Bouchard,Canada,803
Loic Chiang,Singapore,803
Samuel Park,New Zealand,803
Jacinta Edmonds-Brown,Australia,803
Mark Smirnov (Марк Смирнов),Russia,803
Jonathan Tan Wei Xiat,Malaysia,802
Mikhail Kuzin,Russia,802
Jordan Nguyen,USA,802
William Niewand,Australia,802
Conor Sullivan,Australia,802
Melissa Su,USA,802
Angel Ropon,Peru,801
Changhee Yeh (예창희),Korea,801
Timothy Townley,USA,801
Felipe André de Oliveira Guerra,Brazil,801
Piotr Kogut,Poland,801
Maksim Aipkin,Uzbekistan,801
Polina Konopleva (Полина Коноплева),Russia,801
Quinn Hansen,Canada,801
Nikita Popkov,Russia,801
Evan Mann,USA,801
Michael Young,USA,801
Libni Zair Reyes Machorro,Mexico,800
Derek Kong,Canada,800
Vladislav Shoshin,Belarus,800
Jiajie Ou (区嘉杰),China,800
Mikhail Chernobrivets (Михаил Чернобривец),Russia,800
Marco Aurélio Barbosa Braga Dantas,Brazil,800
Salon Ngakhushi,Nepal,800
Marcus Siu,United Kingdom,799
Sam Adams,USA,799
Levi Eyou,New Zealand,799
Akshit Gohain,India,799
Rhiana Brewster,Australia,799
Yu Da-Hyun (유다현),Korea,799
Maxwell Bryn,USA,798
Sergio Antonio Galvan Beltran,Mexico,798
Roman Shilov (Роман Шилов),Russia,798
Andrii Vasyliev (Андрій Васильєв),Ukraine,798
Manuel Popayán,Colombia,798
Sripad Sarma Katrapati,India,798
Franklin Tober James Dulay,Philippines,798
Blake Sinclair,United Kingdom,798
Will Fairfax,New Zealand,798
Dmitry Patrikeev,Russia,798
Zoé de Moffarts,Belgium,797
Jacob Nokes,USA,797
Artem Kosarev (Артем Косарев),Russia,797
Jiashun Wu (吴嘉顺),China,797
Kent Thomson,Australia,797
Yizhou Wang (王翼洲),China,797
Jason Tong,China,796
Max Luo,USA,796
Abror Abduazizov,Uzbekistan,796
Jason Zheng,USA,796
Leo Cretan,Australia,796
Liam Orovec,Canada,796
Ilya Bulanov (Илья Буланов),Russia,796
Isaac Latta,New Zealand,796
Connor Nicholson,New Zealand,796
Xintong Li (李欣桐),China,796
Mansib Alam Talukder,Bangladesh,796
Shubham Maharana,India,796
Lucas Barbosa Brito,Brazil,796
Pablo Grasböck,Austria,795
Chris Choi,USA,795
Iasonas Konstantinos Vlachos,Greece,795
