name,country,minx
Zhao-Zhe Zhong (鍾肇哲),Taiwan,958
Sukant Koul,India,958
Jeongyoon Yeo,Korea,958
Leeah Gard-Spaulding,Australia,958
Stanley Chapel,USA,957
Tom Stanton-Barnett,New Zealand,957
Ömer Faruk Bircan,Turkey,957
Chuhao Guo (郭楚昊),China,957
Ethan Basanov,Canada,957
Rami Sbahi,USA,957
Roan Paone,Canada,957
Dylan Baumbach,USA,957
Alexis Rodrigo Cazu Mendoza,Mexico,956
Ziqi Ding,China,955
Luke Garrett,USA,955
Maksym Oliinyk (Максим Олійник),Ukraine,955
János Bereczki,Romania,955
Alvaro Haidar Ersha,Indonesia,954
Marco Rota,Italy,953
Bhargav Narasimhan,India,953
Anton Smolyanyy,USA,953
Clément Cherblanc,France,952
John Gaynor,USA,952
Rodrigo Cabezas,Chile,952
Alexey Zharikov,Russia,952
Yuhang Sun (孙煜航),China,951
Matej Bolta,Slovenia,951
Mateusz Szulik,Poland,950
Markus Hirvonen,Australia,950
Nguyễn Hoàng Thiên Vũ,Vietnam,950
Karina Grandjean Beck,Denmark,949
Ryan Glennon,Australia,949
Ryan Yasinko,Canada,949
Do Hyun Kwon (권도현),Korea,949
Taylor Cookmeyer,USA,948
Luke Tycksen,USA,948
Anvar Abdullaev,Uzbekistan,948
Cole Campbell,New Zealand,948
Marcos Gabriel Gomes,Australia,947
Blake Thompson,USA,946
Matic Omulec,Slovenia,946
Hill Pong Yong Feng,Malaysia,946
Bo-Yan Wu (吳柏彥),Taiwan,946
Chan Hui Tung (陳許瞳),Hong Kong,946
Eder Olivencia Gonzalez,Spain,945
Ahmet Çınar Ablak,Turkey,944
Chenxiao He (何辰骁),China,944
Christian Foyle,Australia,944
Joshua Tekwie,Papua New Guinea,944
Aleksandr Beznogov,Russia,943
Alex Asbery,New Zealand,943
Ahmet Haris Alimi,Turkey,943
Pavel Eroshkin (Павел Ерошкин),Russia,943
Carter Kucala,USA,942
Daniel Vædele Egdal,Denmark,942
Daphne Soegijono,Indonesia,942
Jonathan Esparaz,Canada,942
Evan Liu,USA,942
Damián Campos,Argentina,941
Dmitry Kryuzban,Russia,941
Ujjawal Pabreja,India,941
Nikolay Vasilyev,Russia,940
Antonie Paterakis,Greece,940
Ahmed Ghandoor,Egypt,940
Michał Halczuk,Poland,939
Daniel Grabski,Austria,939
Lennon Hughes,Australia,939
Jack Stewart,USA,939
Laura Holzhauer,Germany,938
Maxim Ilin,Russia,938
Erik Akkersdijk,Netherlands,937
Leo Hock-Morris,Australia,937
Mikhail Kopylov (Михаил Копылов),Russia,937
Ming Dao Ting,Australia,937
Jack Pfeifer,USA,937
DongSu Park (박동수),Korea,936
Cory Yurkovic,USA,936
Kari Hyttinen,Finland,936
Mohammed Aiman Koli,India,935
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,934
Fred Lang,United Kingdom,934
Asher Kim-Magierek,USA,934
Phoenix Patterson,Australia,933
Maheran Chowdhury,Australia,932
Ilona Ansel,France,932
Hao Zhang (张昊),China,931
Matthew Lee,Canada,931
Thomas Smith,Australia,930
Richard Yiheng Tao,New Zealand,930
Joshua Santiago Monterrosa Herrera,Mexico,929
Paris Dorn,Canada,929
Daniel Karnaukh,USA,929
Tyler Williams,Australia,928
Serdar Özdemir,Turkey,928
Victor Wijsman,France,928
David Vujasić,Croatia,928
Andrew Sherman,Australia,928
Jingpeng Wu (吴劲芃),China,928
James Molloy,United Kingdom,927
Evan Liu,Canada,927
Kyle Polage,USA,927
Marcin Stachura,Poland,927
Joel Lundström,Sweden,927
Elyas Eyou,New Zealand,927
Tyler Howlett,USA,927
Aquila Janoschka,Australia,927
José Leonardo Chaparro Prieto,Colombia,927
You-Jun Hsieh (謝侑峻),Taiwan,927
