name,country,555bf
Conan Mo,Australia,1047
Michael Tripodi,Australia,997
Yinhao Ding,Australia,985
Leon Tran,Australia,964
Benjamin Paul,Australia,948
Daniel Wallin,Sweden,944
Joshua Hounslow,Australia,942
Swami Srinivasan,Australia,927
Isaac Wells,Australia,910
Jhasmani Oxa Lopez,Bolivia,900
Tom Stanton-Barnett,New Zealand,897
Brandon Poulton,United Kingdom,891
Elliott Kobelansky,Canada,888
Alex Taylor,New Zealand,885
Li-Wei Wu (吳立偉),Taiwan,875
Haozhen Ding (丁昊桢),China,871
Pedro Henrique de Jesus Silva,Brazil,864
Teruki Tamura (田村旭輝),Japan,863
Martin Vædele Egdal,Denmark,856
Jan Fonš,Czech Republic,851
Kacper Paweł Dworak,Poland,844
Aaron Spiller,Australia,843
Helmer Ewert,Sweden,841
Callum Hales-Jepp,United Kingdom,837
Marcos Ferreira Semolini,Brazil,830
Aneurin Hunt,New Zealand,824
Chenhao Sun (孙晨皓),China,824
Yuki Yamamoto (山本祐輝),Japan,823
Yuri de Oliveira,Brazil,822
Natanael Lundberg,Sweden,821
Christian Angelo Araneta Naguio,Philippines,814
Alberto Arturo Ayllón Bustos,Bolivia,812
Bo-Yu Lin (林柏佑),Taiwan,812
Stanley Chapel,USA,811
Kerry Creech,USA,808
William Jensen,Sweden,803
Jan Bentlage,Germany,802
Cheng Hiu Yeung (鄭曉洋),Hong Kong,799
Zachary Barrus,USA,798
Naoki Tani (谷直輝),Japan,798
Wenjie Xu (徐文杰),China,798
Witali Bułatow,Poland,795
Jeyamurugesh Jeyaraj,India,794
Joseph Williams,United Kingdom,793
Jonas Rongé,Belgium,785
Jason White,USA,784
István Kocza,Hungary,782
Vianne Chang,Canada,781
Zhe Wang (王哲),China,780
Dominik Kobinski,Poland,779
Adam Marcellus Kelly,USA,778
Luiz Fellipe Oliuza Leal Silva,Brazil,776
Timo Norrkniivilä,Finland,776
Toma Kishimoto (岸本到馬),Japan,774
Diego Brizuela Crespo,Mexico,773
Gleiciano Cosmo Santos,Brazil,772
Victor Tang Yao Jun (湯曜駿),Hong Kong,770
Sebastian Outh-Aut,Australia,765
Lennon Hughes,Australia,765
Mikołaj Salamon,Poland,764
Hannes Müller,Germany,762
Luke Heath-Edwards,New Zealand,762
Caleb Hall,New Zealand,762
Cheung-Hao Tu,United Kingdom,760
Daniel Atlas,Israel,755
Frederico Canal Gomes,Brazil,755
Georel Ulangkaya,Philippines,753
Hiroto Fujita (藤田浩斗),Japan,746
Igor Tarasov (Ігор Тарасов),Ukraine,745
Pedro Luiz Ferreira Pires,Brazil,744
Jack Cai,Australia,742
Serhii Mormul (Сергій Мормуль),Ukraine,741
Oleg Gritsenko,Russia,741
Zeke Mackay,USA,740
Abdullah Gulab,Pakistan,739
Chen-Pin Sun (孫振斌),Taiwan,738
Shivam Bansal,India,738
DongJae Lee,Korea,737
Ben Keogh,Ireland,732
Alistair Robequin,Switzerland,729
Charley Abcouwer,Netherlands,727
Cedric Meysing,Germany,725
Liam Highducheck,Australia,725
Wayne Pi,Taiwan,724
Dieter Amberger,Austria,721
Max Siauw,USA,719
Owen Widdis,USA,718
Muhammad Saleh Imtiaz,Pakistan,718
Syougo Kamo (加茂翔吾),Japan,717
Gabriel Barrios,Guatemala,716
Abhijat Sahu,India,715
Ernur Ersayynov,Kazakhstan,714
Niklas Thomßen,Germany,709
Manuel Gutman,Argentina,707
Peri Le Dain,USA,707
Hill Pong Yong Feng,Malaysia,705
Jakub Lorens,Poland,702
Ahmad Naufal Hakim,Indonesia,699
Sergio de la Mora García,Mexico,697
Yurii Riabov (Юрій Рябов),Ukraine,695
Masato Fujiwara (藤原正人),Japan,692
Jaden Lim,Philippines,690
Dan Alexandru Cechi,Romania,689
Jan Riedl,Czech Republic,687
Samuel Hernandez Castro,Mexico,686
Jason Ostdiek,USA,685
Gert van Hout,Netherlands,682
Dmitrii Saukov (Дмитрий Сауков),Russia,681
Jose Polorhenzo Aquino,Philippines,680
Emile Compion,South Africa,679
Paul Taylor,USA,678
David Tanasković,Bosnia and Herzegovina,678
Matthew Bidwell,USA,677
Michał Wroński,Poland,677
William Phommaha,France,676
Pacifico Rodriguez,Switzerland,675
Clarence Kinsey G. Orozco,Philippines,674
Abhijeet Ghodgaonkar,India,674
Sebastiano Tronto,Italy,673
Armando Dian,Malaysia,671
Axel Flordal,Sweden,671
Ilya Kerymov (Ілля Керимов),Ukraine,670
Anuar Miguel Abib Onofre,Brazil,670
Quinn McGagin,USA,670
Ethan Pride,Australia,668
Oliver Frost,United Kingdom,668
Arkadiusz Żynel,Poland,667
Yuhei Takagi (高木佑平),Japan,666
Fletcher Berry,USA,665
Cale Schoon,USA,664
Jae Park,USA,662
Vicenzo Guerino Cecchini,Brazil,660
Oliver Fritz,Germany,659
Beomseok Ryu (류범석),Korea,659
Lorenzo Mauro,Italy,659
Jacob Eoin Gipp,Canada,658
Theodor Nordstrand,Sweden,656
Ang Chin Zhen (洪靖程),Malaysia,655
Joel Hernández,El Salvador,655
Dominik Fürer,Switzerland,653
Igor Aipkin,Uzbekistan,653
Dylan Swarts,South Africa,653
Davis Pogor,USA,652
Vincent Hartanto Utomo,Indonesia,650
Jin Young Kim (김진영),Korea,649
Tomoya Firman,Australia,648
Arvind Manohar,USA,645
Elliot Wiecek,USA,644
Braden Richards,USA,642
Keiichiro Taira (平佳一郎),Japan,641
Stephen Bohner,USA,639
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,638
Tom Nelson,New Zealand,636
Aoden Teo Masa Toshi,Singapore,635
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,632
Ben Erwin,USA,630
Simone Ohler,Germany,630
Yutao Guo (郭宇韬),China,629
Mengfei Shen (沈梦非),China,626
Richard Anthony Parada,USA,625
Daniel Alejandro Torres Moreno,Colombia,625
Marco Edoardo Cittar,Italy,623
András Gelencsér,Hungary,623
Shenghai Fang (方胜海),China,623
Viktor Zenk,Sweden,622
Mykhailo Lagoida (Михайло Лагойда),Ukraine,621
Nipun Das,USA,620
Roman Strakhov,Russia,620
Fabian Settelen,Switzerland,616
Ben Streeter,USA,616
Takayuki Tanaka (田中隆喜),Japan,616
Tiffany Soh (蘇明珠),Malaysia,614
Simon Kelly,Ireland,614
Sergio Bulux,Guatemala,611
Marcus Moberg,Sweden,611
Joel Cetra,Germany,610
Chunjie Shan (单淳劼),China,610
Grigorii Alekseev,Russia,610
Arthur Garcin,France,608
Mohammed Aiman Koli,India,608
Nevins Chan Pak Hoong (陈百鸿),Malaysia,607
Valentin Lanz,Switzerland,607
Kit Clement,USA,606
Raluca Ioana Grigoraș,Romania,606
DongSu Park (박동수),Korea,606
Joshua Feran,USA,604
Jang Seok Won (장석원),Korea,603
Alexey Kislovskiy,Russia,603
Andy Nicholls,United Kingdom,602
Modest Podzolkin,Ukraine,596
Brandon Harnish,USA,595
Yunhao Lou (娄云皓),China,595
Graham Siggins,USA,595
Oliver Wheat,United Kingdom,594
Ainesh Sevellaraja,Malaysia,593
Satoshi Kodama (児玉聡),Japan,591
Peter Weyers,USA,589
Alessandro Nicolì,Italy,588
Daniel Anker Hermansen,Denmark,585
Andrew Lee,USA,585
Fernando Israel Zúñiga Macedo,Mexico,585
Harry Savage,United Kingdom,583
Lucas O'Connell,New Zealand,582
Ethan Pan,New Zealand,581
Alexandre Henrique Afonso Campos,Brazil,579
Avshalom Sharavani,Israel,577
Konstantin Jaehne,Germany,574
Sukant Koul,India,573
Jia-Hong Lu (陸嘉宏),Taiwan,572
Angelo Fontanini Lamure,France,572
Ng Jia Quan (黄佳铨),Malaysia,571
Marharyta Dovbii (Маргарита Довбій),Ukraine,570
Marco Yang,Canada,570
Aedan Bryant,USA,569
Dawid Wójcik,Poland,569
Yang Li (李扬),China,569
Phisher Winn,USA,568
Antonio Isaías Martínez Santos,Mexico,567
Pamulapati Sai Teja,India,566
Jolo Endona,Philippines,566
Natsuki Ishizawa (石澤夏希),Japan,565
Raymond Goslow,USA,563
James Quinn,USA,563
Alexis Fedeler,Germany,560
Timur Kabizhanov (Тимур Кабижанов),Kazakhstan,559
Hongyuan Tang (唐鸿远),China,558
Levente Baráth,Hungary,556
Zixing Wang (王子兴),China,556
Egor Besedin (Егор Беседин),Russia,556
Jack Pfeifer,USA,551
Abhimanyu Singhal,India,550
Gianluca Placenti,Italy,549
Daniel James,India,548
Jakob Gunnarsson,Sweden,547
Yoni Strassberg,Israel,546
Ryan Pilat,USA,544
Cary Huang,USA,543
