name,country,666
János Bereczki,Romania,1215
Ben Kirby,New Zealand,1156
Tymon Kolasiński,Poland,1122
Zixuan Liu (刘子瑄),China,1108
Max Park,USA,1085
Weiqin Yang (杨伟钦),China,1080
Ping-Yueh Huang (黃品越),Taiwan,1071
Michał Halczuk,Poland,1071
Yu Tang (唐语),China,1062
Yi-Fan Wu (吳亦凡),Taiwan,1053
Wong Kin Lok (黃健樂),Hong Kong,1045
Feliks Zemdegs,Australia,1043
Ciarán Beahan,Ireland,1042
Mateusz Szulik,Poland,1033
Karol Zakrzewski,Poland,1032
Junliang Huang (黄骏亮),China,1030
Ivan Torgashov (Иван Торгашов),Russia,1018
Jiayang Zhang (张嘉阳),China,1017
Dwyane Ramos,New Zealand,1007
Kailong Li (李开隆),China,1007
Chan Hui Tung (陳許瞳),Hong Kong,1005
Przemysław Kaleta,Poland,1004
Bartłomiej Owczarek,Poland,998
Marek Majerik,Slovakia,997
He-Ping Zheng (鄭和平),Taiwan,991
Xin Luo (罗鑫),China,985
Ahmet Çınar Ablak,Turkey,985
Kerem Eroğlu,Turkey,983
Andy Gong,Australia,982
Xuming Wang (王旭明),China,978
Wenjie Lan (兰文杰),China,972
Seung Hyuk Nahm (남승혁),Korea,972
Jun-Po Ni (倪君寶),Taiwan,970
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,968
Michał Mlostek,Poland,966
Zhaoyang Hong (洪兆阳),China,964
Tom Stanton-Barnett,New Zealand,960
Celine Tran,Norway,960
Walker Welch,USA,958
Darcy Andrikonis,Australia,958
Cheng-Ru Yang,New Zealand,957
Ivan Lew Yi Wen (刘义文),Malaysia,957
Martin Vædele Egdal,Denmark,956
Sebastian Weyer,Germany,956
Nathan Phillips,USA,953
Ryan Driscoll,Australia,953
Max Xiong (熊锐明),China,950
Benjamin Wei,USA,949
Zachary White,USA,948
Max Siauw,USA,947
Bo Wang (王擘),China,947
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,947
Aleksandr Nedelko,Russia,944
Cian-Jyun Yang (楊謙君),Taiwan,943
Paul Mahvi,USA,942
Taosif Amin Sahil,Bangladesh,940
DongSu Park (박동수),Korea,940
Sean Hartman,USA,939
Ivan Li Ka Leong (李嘉亮),Hong Kong,939
Mikołaj Zubowicz,Poland,937
Magdalena Pabisz,Poland,934
Eli Jay,United Kingdom,932
Evan Liu,USA,931
Kevin Gerhardt,Germany,931
Weisheng Chen (陈伟胜),China,930
Tomohiro Kobayashi (小林知広),Japan,930
Angela Braganza,New Zealand,929
Bence Barát,Hungary,926
Robert Yau,United Kingdom,925
Jerzy Chmiel,Poland,923
Matthew Flay,Australia,922
Alexis Rodrigo Cazu Mendoza,Mexico,919
Yueh-Lin Tsai (蔡岳霖),Taiwan,918
Jingzheng Wang (王景正),China,916
Zhao-Zhe Zhong (鍾肇哲),Taiwan,916
Kim Min (김민),Korea,916
Lee Hoween,Malaysia,915
Peter Weyers,USA,914
Umut Coşan,Turkey,914
Vladimir Semidyanov,Russia,914
Laura Holzhauer,Germany,914
Carter Kucala,USA,913
Paris Dorn,Canada,913
Ray Zhang (张灏睿),Australia,913
Ying Lin (林颖),China,912
Magnus Søndergaard Byrne,Denmark,912
Jode Brewster,Australia,911
Łukasz Burliga,Poland,909
Ahmad Ayman,Egypt,909
Sameer Aggarwal,USA,907
Bautista Bonazzola,Argentina,907
Pahul Singh,Canada,906
Alevio Hamizan Ersha,Indonesia,905
Mattia Furlan,Italy,904
Trần Đăng Quang,Vietnam,903
Richmond Mico Rigor,Philippines,902
Yunliang Zhang (张赟量),China,900
Patrick Ponce,USA,900
Iurii Chesnokov (Юрий Чесноков),Russia,899
Doyul Kim (김도율),Korea,898
Bart Sekulski,Poland,898
Abdelhak Kaddour,France,898
Kyle McDonald Trejos,Costa Rica,896
Richard Yiheng Tao,New Zealand,895
Samir Homsi,Turkey,895
Alex Asbery,New Zealand,894
Harry Savage,United Kingdom,893
Leo Hock-Morris,Australia,892
Mark Zimmermann,Germany,891
Anatole Volongo,France,890
Aryan Kejriwal,USA,889
Luke Tycksen,USA,889
Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,888
Zhangshuai Zhou (周章率),China,888
Youbin Zheng (郑友彬),China,888
Beren Fontana,Australia,887
Katie Hull,USA,886
Mariam Beatriz Moya Palta,Chile,885
Jonathan Charlesworth,Australia,885
Miguel Ángel Hernández,Panama,885
Tristan Chua Yong,Singapore,885
Amos Nordman,Finland,884
Ömer Furkan Günler,Turkey,884
Will Gurnett,Australia,883
Kamal Kandpal,Canada,883
Mitchell Lane,USA,882
Yu Feng (冯煜),China,882
Timothy Castle,USA,882
Ahmet Barış Atlı,Turkey,881
Bill Wang,Canada,881
Varunraj Jothiraj,India,880
Alexander Botz,Germany,880
Sheldon Rego,India,878
Steven Kearns,United Kingdom,878
Tobiasz Rychlik,Poland,877
Malte Ihlefeld,Germany,877
Anyu Zhang (张安宇),China,877
Nikita Piialtcev,Russia,876
Wilhelm Kilders,Germany,876
Marco Vorländer,Germany,875
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,875
Firstian Fushada (符逢城),Indonesia,875
Kam Chor Kin (甘楚健),China,874
Alwin Rölz,Switzerland,873
Joey Cavanagh,Australia,870
Lawrence Chen,USA,870
Brandon Nunez,USA,870
Piotr Olszewski,Poland,870
Szymon Brzana,Poland,869
Alexey Zharikov,Russia,867
Lucca Emmanuel Pineli Simões,Brazil,867
Dylan Wang,Canada,866
Kim Roger Høyland Larsen,Norway,866
Jaemin Chang (장재민),Korea,865
Sam Jacklin,United Kingdom,865
Zabir Bin Moaj,Bangladesh,864
Henri Gerber,Germany,863
Krystian Załuski,Poland,863
Ilya Sokolov,Russia,862
Jared Stinson,USA,862
Luke Heath-Edwards,New Zealand,862
Dana Yi,USA,862
Tomoya Iida (飯田朋也),Japan,860
Tao Sun (孙涛),China,860
Nguyễn Thành Thái,Vietnam,860
Dmitry Matthew Yaquinto,Russia,860
Jaden Burkhardt,USA,859
Breandan Vallance,United Kingdom,858
Mats Valk,Netherlands,858
Mahith Bandi,USA,858
Jasper Murray,New Zealand,858
Jason Lee,USA,857
Cameron Soulagnet,USA,857
Denis Tsoy (Денис Цой),Russia,856
Magnus Patrick Kanstrup,Denmark,856
Clément Cherblanc,France,856
Marco Aurélio Barbosa Braga Dantas,Brazil,856
Bastián Palma Rodríguez,Chile,856
Yung-Hung Cheng (鄭永鴻),Taiwan,855
Cedric Meysing,Germany,855
Kai Su (苏锴),China,853
Livia Kleiner,USA,853
Matthew Sieredzinski,Australia,852
James Hildreth,USA,852
Blake Thompson,USA,852
Sean Moran,United Kingdom,851
Antonie Paterakis,Greece,850
Muhammad Rafly,Indonesia,850
Jiyi Wang (王吉怡),China,850
Hugo Kinichi Briner,Australia,850
Lucas Etter,USA,849
James Dyer,New Zealand,848
Alex Taylor,New Zealand,847
Kaloyan Galabinov,Bulgaria,847
