name,country,555
Tymon Kolasiński,Poland,1290
János Bereczki,Romania,1255
Kai-Wen Wang (王楷文),Taiwan,1212
Ben Kirby,New Zealand,1194
Ping-Yueh Huang (黃品越),Taiwan,1172
Dwyane Ramos,New Zealand,1172
Karol Zakrzewski,Poland,1165
Ciarán Beahan,Ireland,1160
Junliang Huang (黄骏亮),China,1160
Feliks Zemdegs,Australia,1156
Yi-Fan Wu (吳亦凡),Taiwan,1155
Sebastian Weyer,Germany,1143
Ivan Lew Yi Wen (刘义文),Malaysia,1139
Yu Tang (唐语),China,1137
Max Park,USA,1136
Mateusz Szulik,Poland,1136
Jasper Murray,New Zealand,1129
Zhao-Zhe Zhong (鍾肇哲),Taiwan,1116
Yibo Xu (许一博),China,1115
Antonie Paterakis,Greece,1110
Bill Wang,Canada,1109
Angela Braganza,New Zealand,1108
Mats Valk,Netherlands,1107
Alexey Zharikov,Russia,1100
Ryan Driscoll,Australia,1099
Maksym Yeli (Максим Єлі),Ukraine,1096
Michał Halczuk,Poland,1093
Kailong Li (李开隆),China,1092
Mattia Furlan,Italy,1086
Eli Jay,United Kingdom,1082
Mika Smulders,Netherlands,1081
Cheng-Ru Yang,New Zealand,1078
Patrick Ponce,USA,1077
Jonathan Charlesworth,Australia,1077
Marek Majerik,Slovakia,1077
Andy Gong,Australia,1076
Zihan Zhang (张子涵),China,1075
Martin Vædele Egdal,Denmark,1074
Seung Hyuk Nahm (남승혁),Korea,1074
Ivan Polkanov (Иван Полканов),Russia,1071
Andrey Che,Russia,1069
Philipp Weyer,Germany,1068
Shih-Hao Wang (王士豪),Taiwan,1066
Olivier Vos,Netherlands,1065
Marquez Phan,Australia,1062
Lucas Déglise,France,1061
James Macdiarmid,New Zealand,1061
Zixuan Liu (刘子瑄),China,1061
Timotej Andrejko,Slovakia,1059
Robert Yau,United Kingdom,1057
Yu Feng (冯煜),China,1057
Ivan Torgashov (Иван Торгашов),Russia,1056
He-Ping Zheng (鄭和平),Taiwan,1055
Ray Zhang (张灏睿),Australia,1054
Adam Łyskawa,Poland,1051
Jode Brewster,Australia,1050
Matty Hiroto Inaba,USA,1047
Juliette Sébastien,France,1046
Magdalena Pabisz,Poland,1046
Riley Dexter,Australia,1046
Bence Barát,Hungary,1046
Xuming Wang (王旭明),China,1045
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,1045
Weiqin Yang (杨伟钦),China,1044
Luca Brasini,Italy,1043
Kevin Gerhardt,Germany,1043
Erik Akkersdijk,Netherlands,1043
Wojciech Knott,Poland,1042
Midas Kiebert,Netherlands,1041
Bautista Bonazzola,Argentina,1040
Harry Savage,United Kingdom,1039
