name,country,clock
Mariia Hunchak (Марія Гунчак),Ukraine,738
Jiahao Deng (邓家豪),China,738
Bence Barát,Hungary,738
Hannah Minas,Switzerland,738
Ramil Khasanov,Russia,738
Mihai Căpăţinescu,Romania,738
Zhaoyu Chen (陈召宇),China,738
Kirby Jay Caragan,Philippines,737
Callum Hales-Jepp,United Kingdom,737
Eason Siew Ee Son (蕭奕晨),Malaysia,737
Logan McGraw,USA,737
Brenton Angelo Lo Wong,Philippines,736
Daniyal Arstambek (Даниял Арстамбек),Kazakhstan,736
Stephen Griggs,USA,736
Szabolcs Szántai,Hungary,736
Yang Cheng (程阳),China,736
Nisheet Dave,India,735
Tomasz Cepil,Poland,735
Parker Trager,USA,735
Yongtao Sun (孙永涛),China,735
Ryan Michael Breen,USA,735
Mason Langenderfer,USA,735
Sébastien Auroux,Germany,735
Mikołaj Molski,Poland,735
Juan de Dios Noriega Sánchez,Mexico,735
Vladimir Vasiliev (Владимир Васильев),Russia,735
Mingzhi Da (达明志),China,734
Carlos Gabriel de Azevedo,Brazil,734
Malte Oliver Bøgh Kjøller,Denmark,734
Azael Toysehua,Mexico,734
Matthew Sieredzinski,Australia,734
Svetlana Vyatkina (Светлана Вяткина),Russia,733
Anqi Li (李安齐),China,733
Riley Woo,USA,733
Shobhan Karthish,India,732
Patrycja Michalska,Poland,732
Yoshi Hero Nakamura,Philippines,732
Wojciech Żmudziak,Poland,731
Rustin Haderlie,USA,731
Anton Nazarov (Антон Назаров),Russia,731
Amir Nahali (امیر نهالی),Iran,731
Wei Dong (董唯),China,731
Hanyang Cheng (程瀚洋),China,731
Alston Yam,New Zealand,731
Joe Labas,Australia,731
Matthew Malinak,USA,730
Jesús Fernando Castelán Gómez,Mexico,730
Mingtao Xu (徐铭涛),China,730
Dmitrii Dusheiko (Дмитрий Душейко),Russia,730
William Gan Wei Ren (颜伟仁),Malaysia,730
Daniel Wallin,Sweden,730
Timofey Pastrevich,Russia,729
Jacob Eoin Gipp,Canada,729
Diego Brizuela Crespo,Mexico,728
Nathan Kiser,USA,728
Gaurav Kumar,India,728
Adhi Jeyappragash,USA,728
Wong Min Jze,Malaysia,728
Adrian Dębski,Poland,727
Dylan Johnston,Australia,727
Ivo Stoutjesdijk,Netherlands,727
Tyler Howlett,USA,727
Cheng-Han Chu (朱政翰),Taiwan,727
Eben Quenneville,USA,727
Leo Higgins,USA,727
Egor Kireev (Егор Киреев),Russia,727
Mario Fernando Reyes Morales,Guatemala,726
Liam Savarino,Canada,726
Arisandra Soo,Australia,726
Daniil Nahornyi (Данііл Нагорний),Ukraine,726
Emma Dixon,USA,725
Jakub Górzyński,Poland,725
Lianghai Sui (眭亮海),China,725
Charlie Haywood,United Kingdom,725
Tommy Szeliga,USA,724
Dmitriy Truhin (Дмитрий Трухи́н),Russia,724
Mitchell Hum,USA,724
Simone Santarsiero,Italy,724
Ivan Litsov (Иван Лицов),Russia,724
Ravi Shah,USA,724
Zongyang Li (李宗阳),China,724
Malte Ihlefeld,Germany,724
Bohdan Shaposhnyk (Богдан Шапошник),Ukraine,724
Simon Kelly,Ireland,723
Jack Pfeifer,USA,723
Cyprian Kalbarczyk,Poland,722
Dongheon Ryu (류동헌),Korea,722
Yiran Wang (王毅然),China,722
Sebastián Pulgarín Manrique,Colombia,722
Kiran Kulkarni,India,722
Michał Mlostek,Poland,721
Zhihai Liu (刘之海),China,721
David Suit,USA,721
Pablo Serrano Santos,Spain,721
Helmer Ewert,Sweden,721
Leonid Zakharov (Леонид Захаров),Russia,721
Peng Wang (王鹏),China,721
Serafima Petrova (Серафима Петрова),Russia,721
Thomas Imada,Canada,721
Ziyu Wu (吴子煜),China,720
David Addison Reid,USA,720
Elijah Essig,USA,720
Nikita Loika,Belarus,720
Matvei Zakataev (Матвей Закатаев),Russia,719
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,719
Ryouga Hayashi (林竜河),Japan,719
Deven Huard-Bernuy,Canada,719
Jianjun Li (李建军),China,719
Jaylen Zhang,Canada,718
Peyton Marcotte,USA,718
Sidharth Sawhney,India,718
Joe Davis,Australia,717
Koen van den Berg,Netherlands,717
Muhammad Razin Bin Roslan,Malaysia,717
James Hildreth,USA,716
Javier Tirado Ortiz,Spain,716
Kristian Gil Caragan,Philippines,716
Daryl Aliben,Philippines,716
Prosper Huang,Canada,716
Kamil Przybylski,Poland,716
Riley Dexter,Australia,716
Elizaveta Ermolkina,Russia,715
Natalia Valerio,USA,715
Jainendra Jain,India,715
Semen Artyukhov,Russia,715
Cameron Glover,USA,715
Ehsan Rajabi Vahdat (احسان رجبی وحدت),Iran,715
Andy Gong,Australia,714
Niki Placskó,Hungary,714
Callum Goodyear,United Kingdom,714
Prayansh Vimal,India,714
Arturo Ocampos,Paraguay,714
Jiazheng Zhao (赵家正),China,713
Jose Ernesto Osorno Huerta,Mexico,713
Feng-Xi Hong (洪逢禧),Taiwan,713
Wentian Xin (辛文天),China,713
Aleksandra Tatoń,Poland,713
Anthony Bhamornsiri,Indonesia,713
Paul de Saint Albin,France,712
Antonie Paterakis,Greece,712
Ethan Cho,USA,712
Yung-Chun Tsai (蔡詠竣),Taiwan,712
Chan Hay Yin (陳希言),Hong Kong,712
Roberto da Costa Barbosa Nunes Caldas,Brazil,712
Jinseo Hong,Korea,712
Conor Sullivan,Australia,711
Yunho Nam (남윤호),Korea,711
Dmitry Permyakov (Дмитрий Пермяков),Russia,711
Johnathan Starkey,Australia,711
Liam Baldwin,USA,710
Aleksander Osipov (Александр Осипов),Russia,710
Fernando José Muchuch Chavez,Guatemala,710
Xinyu Li (李欣宇),China,710
Yexin Cai (蔡烨欣),China,710
Hrithik Solanki,India,709
Nikita Kim (Никита Ким),Kazakhstan,709
Jiabo Zhang (张嘉博),China,709
Kyle Derrick Chua Ong,Philippines,709
William Jensen,Sweden,709
Milo Black,USA,709
Sameer Aggarwal,USA,709
Thompson Clarke,Canada,709
Yuji Yoshida,Philippines,708
Mikhail Andreev,Russia,708
João Vinícius de Andrade Santos,Brazil,707
Rossana Graciela Moraes,Brazil,707
Nikhil Soares,India,707
Annalise Soley,USA,706
Liam Forth,Canada,706
Sean Moran,United Kingdom,706
Noah Diamond,USA,706
Andriy Ligostayev (Андрій Лігостаєв),Ukraine,706
Charley Boor,USA,705
Joshua Fife,USA,705
Jacob DeWeerd,USA,705
Tingxiao Zhang (张庭箫),China,705
Martin Fronescu,Romania,705
Modest Podzolkin,Ukraine,704
Anton Bozhnev,Russia,704
Hamish Bell,New Zealand,704
Maxim Teplyakov (Максим Тепляков),Russia,704
Asilbek Soliev,Uzbekistan,704
Eva Kato,USA,704
Bernabe Kondrak,Canada,704
Brayden Gilland,USA,704
Rakhat Muratbekov (Рахат Мұратбеков),Kazakhstan,703
Yuri de Oliveira,Brazil,703
Toma Kishimoto (岸本到馬),Japan,703
Pranaov Srikanth,India,703
Jiashun Wu (吴嘉顺),China,703
Brandon Lee,USA,703
Qiang Ma (马强),China,703
Flurin König,Switzerland,703
Mohan Kumar Dewangan,India,703
Dmitriy Tupis (Дмитрий Ту́пис),Russia,702
Rafe Silvester Sykes,New Zealand,702
Lev Benusov (Лев Бенусов),Russia,702
Ziyue Wu (吴子玥),China,702
Dennis Crowley,USA,702
Valfrido Torres Quintanilha Netto,Brazil,701
Sven Vaillant-Jørgensen,Denmark,701
Velin Krasimirov Kozhuharov,Bulgaria,701
Danila Rogozhnikov (Данила Рогожников),Russia,700
Carter Thomas,USA,700
Qi Mi (米琦),China,700
David Breno,Brazil,700
Isaiah Kerins Hussey,Ireland,700
Tim Rinehart,USA,700
Tim Lugtigheid,Netherlands,700
Anastasia Kochetkova,Russia,700
Nicholas Patterson,Canada,699
Titus Henry,USA,699
Sophia Burian,Germany,699
Preben Halaas Berntsen,Norway,699
Joon Song,Canada,698
Ronald Su Chiang,Australia,698
Ernest Eh Zhong Yu,Malaysia,698
Marianna Bondi,Italy,698
Fanyang Zeng (曾凡洋),China,698
Guan-Xun Huang (黃冠勳),Taiwan,698
William Niewand,Australia,698
Dániel Varga,Hungary,698
Luka Gabriel Čuljak,Croatia,697
Alina Palinchuk (Аліна Палінчук),Ukraine,697
Nathanael Morgan,USA,697
Lorenzo Layug,Philippines,697
Takuma Shirahase (白波瀬拓磨),Japan,697
Elliott Kobelansky,Canada,696
Jinxu Li (李锦煦),China,696
Kyryll Rybak (Кирилл Рибак),Ukraine,696
Mengqi He (何梦旗),China,696
Yining Yao (姚祎宁),China,696
Yucheng Chen (陈裕铖),China,695
Yerkin Assylbek,Kazakhstan,695
Qi Zhou (周祺),China,695
Ko Youngjin (고영진),Korea,695
Maicol Ramos,Colombia,695
Tom Savage,United Kingdom,695
Rahul Kulkarni,India,695
Bernardo Rivera da Silva,Bolivia,694
Daniel Porter,USA,694
