name,country,clock
Jerry Chung Yeung Ho (鍾養浩),Hong Kong,914
Guicong Zhang (张桂聪),China,914
Dương Bá Xuân Anh,Vietnam,914
Piotr Buba,Poland,912
Yifan Cheng (程依凡),China,912
Jake Buckley,USA,910
Asbjørn Brummer Birkelund,Denmark,909
Harrison O'Reibow,New Zealand,909
Jonah Blakeley,Australia,909
Ryan Fong,USA,908
Daniel Vædele Egdal,Denmark,907
Wilhelm Kilders,Germany,907
Jakub Tkaczyk,Poland,906
Jaime Calzado Gomez,Spain,905
Edwin Shen,New Zealand,905
Han Chu (储菡),China,905
Harry Savage,United Kingdom,905
Kit Clement,USA,903
Nick Agatyn,Australia,903
Ruei-Hong Liang (梁睿紘),Taiwan,903
Matteo Dummar,Italy,903
Benjamin Watts,USA,902
Noriyuki Okada (岡田典之),Japan,901
Sebastian Bock,Australia,901
Max Walaszek,USA,900
Silas Starling,USA,900
Sebastian Outh-Aut,Australia,900
Jan Křížka,Czech Republic,900
Lucas O'Connell,New Zealand,899
Darby Lee,Australia,899
Damiano Di Paola,Italy,899
Nguyễn Duy Sơn,Vietnam,899
Pavel Mesyatsev,Russia,898
Jan Bentlage,Germany,896
Will Fairfax,New Zealand,896
Daniel Mullen,USA,896
Ekaterina Soboleva (Екатерина Соболева),Russia,895
Keith Templar,Australia,895
Shek Ho Hin (石灝軒),Hong Kong,895
River Fletcher,Australia,895
Yonghua Xie (解永华),China,894
Yang Liu (刘洋),China,894
Wenzhuo Ji (季文卓),China,893
Ryan Wu,Canada,892
Theo Proferes,United Kingdom,892
Oleg Mudryk (Олег Мудрик),Ukraine,892
Ashley Foster,New Zealand,892
Ilya Boyko (Илья Бойко),Russia,891
Jesús Jorge García López,Mexico,891
Elliott O’Brien,New Zealand,891
Hsuan-Chun Wang (王鉉浚),Taiwan,890
Lincheng Cai (蔡林成),China,890
Mateusz Szwugier,Poland,890
Yi-Ho Hsueh (薛以和),Taiwan,890
Thomas Swarbrick,New Zealand,890
Junqi Feng (冯骏骐),China,890
Tobias Peter,Switzerland,889
Sheng Cao (曹晟),China,889
Aakash Jois,Australia,889
Abhimanyu Singhal,India,888
Egor Gushchin,Russia,887
Luke Garrett,USA,887
Wanling He (何婉灵),China,887
Levente Swanepoel,New Zealand,885
Caleb Hall,New Zealand,885
Xuezhi Zhang (张学智),China,884
Bartłomiej Owczarek,Poland,884
Witold Brzeziński,Poland,884
Fengyan Zhang (张枫岩),China,884
Xiaofeng Mo (莫晓锋),China,882
Adam Marcellus Kelly,USA,882
Jules Andrei A. Solamo,Philippines,881
Łukasz Burliga,Poland,881
Leo Cretan,Australia,881
Lanshi Zhang (张岚石),China,881
Krzysztof Boguszewski,Poland,880
Przemysław Kruczek,Poland,880
Hong-An Lai (賴泓安),Taiwan,879
Dominik Unijewski,Poland,878
Zhiyuan Ma (马之元),China,878
James Stephan,Australia,877
Ryan Pin Harry,Canada,877
Chengyang Song (宋成阳),China,877
Clément Cherblanc,France,875
Jacob Ambrose,USA,874
Kirill Levchuk (Кирилл Левчук),Russia,873
Ilya Epifanov,Russia,873
Xiangrui Deng (邓翔睿),China,873
Ding Li (李丁),China,872
Doyul Kim (김도율),Korea,872
Rounok Yamani Riyan,Bangladesh,871
Roan Paone,Canada,871
Luis Kleinheinz,Germany,871
Ksenia Moskaltsova (Ксения Москальцова),Russia,870
Xinyun Chen (陈新运),China,870
Sean O'Toole,Ireland,870
Jason White,USA,869
Kareem Abdelqader,Jordan,869
Maksim Demchenko (Максим Демченко),Russia,869
Zee Capangpangan,Philippines,869
Laura Holzhauer,Germany,868
Pinhua Peng (彭品桦),China,868
Jack Bellomy,USA,868
Will Belote,USA,868
Jacob Samual Henry Goodwin,Australia,867
Guan-Yi Li (李冠毅),Taiwan,867
Trần Đăng Quang,Vietnam,867
Radomił Baran,Poland,867
Tony Nguyen,Vietnam,866
Juan-Felipe Forero,Australia,865
Mikhail Sartakov,Russia,864
Isaac Macdonald,New Zealand,864
Jaxon Foster,Australia,864
Maxim Ilin,Russia,864
Evan Ha,USA,863
Vadim Strelnikov,Russia,863
Yuanyuan Gao (高原园),China,862
Govend Avgerinos Djangoi,Sweden,862
Artem Shagiev (Артём Шагиев),Russia,861
Luke McRitchie,United Kingdom,859
Francesco Iezzi,Italy,859
Yuting Wang (王宇婷),China,859
Artem Golovan (Артем Головань),Ukraine,859
Ilya Sokolov,Russia,858
Keenan Johnson,USA,858
Niko Ronkainen,Finland,858
Vladislav Kozhin,Russia,857
Szymon Juroszek,Poland,857
Ethan Pride,Australia,857
Wojciech Knott,Poland,856
