name,444bf
"0    Christopher Baird
Name: name, dtype: object",726
"0    Thomas Reinke
Name: name, dtype: object",726
"0    Rodrigo Aguilar
Name: name, dtype: object",724
"0    Matthew Bidwell
Name: name, dtype: object",723
"0    Takafumi Sakakibara (榊原隆文)
Name: name, dtype: object",721
"0    Joseph Daus
Name: name, dtype: object",719
"0    Lucas Pedersson
Name: name, dtype: object",719
"0    Krishna Pranav Balasubramanian
Name: name, dtype: object",717
"0    Paul Taylor
Name: name, dtype: object",717
"0    Maksym Dumanskyi (Максим Думанський)
Name: name, dtype: object",717
"0    Christopher Connolly
Name: name, dtype: object",717
"0    Anuar Miguel Abib Onofre
Name: name, dtype: object",716
"0    Bill Hammill
Name: name, dtype: object",716
"0    Frederik Rollmann
Name: name, dtype: object",716
"0    Charles Martinson
Name: name, dtype: object",715
"0    Evan Liu
Name: name, dtype: object",713
"0    Oliver Frost
Name: name, dtype: object",712
"0    Samuel Hernandez Castro
Name: name, dtype: object",712
"0    Sameer Aggarwal
Name: name, dtype: object",710
"0    Eddie Smith
Name: name, dtype: object",709
"0    Modest Podzolkin
Name: name, dtype: object",709
"0    Maxime Madrzyk
Name: name, dtype: object",709
"0    Charley Abcouwer
Name: name, dtype: object",708
"0    Jonathan Blöcher
Name: name, dtype: object",707
"0    William Wright
Name: name, dtype: object",707
"0    Martin Vædele Egdal
Name: name, dtype: object",706
"0    DongJae Lee
Name: name, dtype: object",706
"0    Christian Montoya
Name: name, dtype: object",705
"0    David Pearce
Name: name, dtype: object",704
"0    Xin Shi (石欣)
Name: name, dtype: object",704
"0    Bibhushan Saakha
Name: name, dtype: object",704
"0    Jaden Lim
Name: name, dtype: object",703
"0    Kristian Holme
Name: name, dtype: object",702
"0    Sergio de la Mora García
Name: name, dtype: object",702
"0    Takayuki Tanaka (田中隆喜)
Name: name, dtype: object",701
"0    Robert Alden
Name: name, dtype: object",701
"0    Chloe Lee Synn Yii
Name: name, dtype: object",701
"0    Joel Cetra
Name: name, dtype: object",700
"0    Oleg Gritsenko
Name: name, dtype: object",700
"0    Jia-Hong Lu (陸嘉宏)
Name: name, dtype: object",699
"0    Elliot Wiecek
Name: name, dtype: object",698
"0    Armando Dian
Name: name, dtype: object",698
"0    Erlend Ektvedt Fredriksen
Name: name, dtype: object",696
"0    Szabolcs Szántai
Name: name, dtype: object",696
"0    Jack Love
Name: name, dtype: object",696
"0    Dan Alexandru Cechi
Name: name, dtype: object",696
"0    Jonas Di Dier
Name: name, dtype: object",695
"0    Tiffany Soh (蘇明珠)
Name: name, dtype: object",694
"0    Shrijan Pal
Name: name, dtype: object",694
"0    Carter Kucala
Name: name, dtype: object",693
"0    Roman Strakhov
Name: name, dtype: object",693
"0    Ben Lemkin
Name: name, dtype: object",693
"0    Johnathan Starkey
Name: name, dtype: object",693
"0    Grigorii Alekseev
Name: name, dtype: object",691
"0    Fletcher Berry
Name: name, dtype: object",690
"0    Minhyun Kim (김민현)
Name: name, dtype: object",688
"0    Jason Harley
Name: name, dtype: object",687
"0    Igor Brazhnikov (Игорь Бражников)
Name: name, dtype: object",687
"0    Conan Mo
Name: name, dtype: object",687
"0    Bowen Xiao (肖博文)
Name: name, dtype: object",686
"0    Feliks Zemdegs
Name: name, dtype: object",685
"0    Will Belote
Name: name, dtype: object",685
"0    Santino Maiorino
Name: name, dtype: object",685
"0    James Quinn
Name: name, dtype: object",683
"0    Sukesh Kumar
Name: name, dtype: object",683
"0    Leia Jiang
Name: name, dtype: object",682
"0    Keiichiro Taira (平佳一郎)
Name: name, dtype: object",682
"0    Alexey Kislovskiy
Name: name, dtype: object",681
"0    Georgiy Titov (Георгій Тітов)
Name: name, dtype: object",680
"0    James McCambridge
Name: name, dtype: object",680
"0    Dylan Swarts
Name: name, dtype: object",680
"0    Walker Welch
Name: name, dtype: object",679
"0    Bradley Sampson
Name: name, dtype: object",679
"0    Aedan Bryant
Name: name, dtype: object",679
