name,country,333
Ruihang Xu (许瑞航),China,1486
Feliks Zemdegs,Australia,1474
Weihao Kong (孔维浩),China,1470
Yezhen Han (韩业臻),China,1460
Dwyane Ramos,New Zealand,1455
Yiheng Wang (王艺衡),China,1440
Tymon Kolasiński,Poland,1440
Jiazhou Li (李佳洲),China,1438
Riley Dexter,Australia,1415
Lukas Shelley,Denmark,1397
Joshua Hounslow,Australia,1396
Yu Tang (唐语),China,1394
Jode Brewster,Australia,1392
Sebastian Weyer,Germany,1389
Adrien Auvray Matyn,New Zealand,1388
Zixuan Yang (杨子轩),China,1382
Marquez Phan,Australia,1374
Ben Kirby,New Zealand,1366
Chris Mills,United Kingdom,1365
Nguyễn Khang Minh,Vietnam,1363
Kai-Wen Wang (王楷文),Taiwan,1357
Alevio Hamizan Ersha,Indonesia,1354
Ciarán Beahan,Ireland,1350
George Scholey,United Kingdom,1350
Jonathan Charlesworth,Australia,1350
Andrey Che,Russia,1345
Nanxi Liu (刘南希),China,1343
Yihan Chen (陈奕涵),China,1340
Yibo Wang (王奕博),China,1339
Ethan Stevens,Australia,1339
Phoenix Patterson,Australia,1339
Yusheng Du (杜宇生),China,1337
Andy Gong,Australia,1335
Max Park,USA,1328
Jiayu Wang (王佳宇),China,1326
Bryan Eng,Australia,1325
David Epstein,Australia,1324
Yuxuan Guo (郭雨轩),China,1322
Hanyu Liu (刘函宇),China,1322
Zhiyuan Ma (马之元),China,1318
Luke Garrett,USA,1315
Zak Kenny,Australia,1315
Jasper Murray,New Zealand,1314
Alexander Bashutkin,Russia,1312
Vincent Wong,Australia,1312
Daniel Tidsey,United Kingdom,1311
Cornelius Dieckmann,Germany,1310
Dmitry Dobrjakov,Russia,1310
William Lu (呂宇綸),Taiwan,1309
Philipp Weyer,Germany,1309
Chengyang Song (宋成阳),China,1306
Oscar Watson,Australia,1299
Lachlan Stephens,Australia,1298
Ruikang Lu (陆瑞康),China,1298
Fabio Schwandt,United Kingdom,1297
Jayden McNeill,Australia,1297
Lennon Hughes,Australia,1295
Patrick Ponce,USA,1295
Lucas Etter,USA,1294
János Bereczki,Romania,1290
Łukasz Burliga,Poland,1289
Eli Jay,United Kingdom,1288
Jiale Liu (柳嘉乐),China,1287
Hua Huang (黄华),China,1286
Ainesh Sevellaraja,Malaysia,1286
Juliette Sébastien,France,1285
Antonie Paterakis,Greece,1283
Jr-Wei Jang (張智瑋),Taiwan,1282
Tee Kai Yang,Malaysia,1281
Xiaoke Xu (徐晓珂),China,1281
Taine Cassar,Australia,1280
Junliang Huang (黄骏亮),China,1279
Sean Patrick Villanueva,Philippines,1278
Harry Savage,United Kingdom,1277
Mats Valk,Netherlands,1277
Yi-Fan Wu (吳亦凡),Taiwan,1276
Yinming Zhu (朱胤铭),China,1275
Artem Kosarev (Артем Косарев),Russia,1274
Richard Delacoste,Switzerland,1273
Enxi Peng (彭恩希),China,1272
Karol Zakrzewski,Poland,1272
Jack Mennie,Australia,1272
Ivan Lew Yi Wen (刘义文),Malaysia,1271
He-Ping Zheng (鄭和平),Taiwan,1270
Kajetan Opach,Poland,1270
Yichen Jiang (姜一辰),China,1269
Matty Hiroto Inaba,USA,1269
Xiangwei Chen (陈相炜),China,1268
Zach Amiridis,Australia,1267
Lance Aguilar,Australia,1267
