personId,333fm
2006HOPM01,-1
2004ZIJD01,130
2005PUDI01,-1
2007MAIR01,123
2005SZAB02,-1
2007TAKA01,-1
2006BUDI01,-1
2003SCHE01,-1
2007MESC01,-1
2004COCK01,-1
2005VANH02,136
2006VARG01,-1
2007FAZE01,-1
2006NOVA01,-1
2007OEYM01,98
2005PANC01,-1
2007CSEN01,-1
2005GILL01,-1
2005UHLI01,-1
2007MESZ01,194
2007RUDA02,-1
2006JOHA02,-1
2007RUDA01,-1
2007JARA01,-1
2006SCHI01,-1
2006LOUI01,-1
2007ROKA02,120
2005KANT01,-1
2007GRAU01,-1
2005STIL01,-1
2007HASH01,-1
2007DAVI01,143
2006AUST01,213
2007POLS01,170
2007FASB01,-1
2007CHOT01,-1
2007PROV01,122
2003HELT01,-1
2004BOSS01,-1
2007LITW01,-1
2006PEET01,-1
2004GEEL01,-1
2005WOIT01,-1
2004BAYE01,-1
2007SCHU01,-1
2007KOZI01,-1
2006ADMI01,-1
2004BECH01,-1
2006TSCH01,-1
2007WEIN01,108
2005BOSS01,-1
2007STRE01,135
2007WEIN02,-1
2007BARO01,-1
2007SCHU02,-1
2006WALT01,-1
2005PATZ01,-1
2006BIRK01,-1
2007SCHO02,-1
2007FARE01,137
2007CHRI03,160
2007KALK02,-1
2007KALK01,-1
2007ORTR01,131
2007SCHE01,-1
2006BORS01,-1
2006DUDD01,-1
2007MECH01,-1
2007NEUD01,-1
2005HANN01,-1
2007WOLL01,-1
2007THOM02,103
2007WAPP01,102
2003RUET01,-1
2007HEVE01,-1
2003BABC01,121
2007CHAP02,-1
2007ANTO01,-1
2007DARG01,-1
2005FERN01,611
2007BAIL01,-1
2007LOGA01,-1
2007QUIS01,-1
2007ANDE01,-1
2007HINO01,-1
2007FISC01,-1
2007MCCO01,-1
2007CHAP01,-1
2007CHRI04,-1
2007JRAN01,-1
2007LOGA02,-1
2007COHE01,263
2007YUAL01,69
2007JOHN02,152
2006CORR01,477
2005GREE02,114
2007COMP01,737
2007ROSE02,107
2007CHOI01,113
2007BOYL01,51
2006SAWL01,118
2007EHRI01,-1
2007HEAT01,122
2007NELS03,-1
2007COMP03,-1
2007CHIA01,-1
2006KHOS01,-1
2007COHE02,-1
2007BENI01,-1
2006NORS01,250
2007HERZ01,-1
2007ESTE01,-1
2007STER01,-1
2007JAME01,108
2007WEIE01,-1
2007KARS01,120
2007BRUS01,128
2007WOOJ01,-1
2007EPST01,109
2007KEME01,-1
2007LESL01,-1
2007SCIA01,-1
2006OUYA01,-1
2007ROSE03,-1
2007TAMA02,218
2007BARB01,-1
2007CLEM01,-1
2007DIPA01,-1
2007REIT01,-1
2007NELS02,118
2007SZCZ01,-1
2007YUSK01,-1
2007CHAN10,-1
2007OBRI01,-1
2007BAIR01,-1
2007GULI01,-1
2007HEGL01,-1
2007COMP02,-1
2006BARL01,144
2006PEMB01,-1
2004CONN01,-1
2007BLAC02,-1
2007VALL01,99
2007CHIE01,-1
2007MOBL01,-1
2007LENN01,-1
2007KANG03,-1
2006WALL01,-1
2007DERR01,-1
2007COOP01,114
2007SCOT01,-1
2007FELT01,-1
2007CALL01,-1
2007GRAY02,-1
2007COCH01,-1
2007JAFF01,-1
2007ROGE01,-1
2007ELLI01,-1
2006KITC01,-1
2007WATA02,129
2007MASO01,-1
2006WANG04,-1
2005VALD01,-1
2007NELS01,214
2006LEVI01,-1
2007DURA01,-1
2005WUKE01,-1
2007LISI02,-1
2006WRIG01,-1
2007SEID01,178
2005LODA01,705
2006DZOA02,131
2005LWIN01,-1
2006GOTT01,310
2007LING01,-1
2007MAHA01,-1
2007YUKE01,-1
2007YUGU01,-1
2007ZHUS01,-1
2006GLEC01,-1
2004CHAN02,-1
2007HERN02,254
2007QATT01,-1
2007RODR03,-1
2007WANG06,-1
2007LEUN01,-1
2005BENN01,93
2007BROW01,-1
2007KERA01,-1
2004OVAD01,-1
2007LIUM01,-1
2006MUHL01,-1
2007CABL01,-1
2007TAMU01,-1
2006FENG01,-1
2007CAPE01,-1
2007TANG02,-1
2007WERN01,-1
2007CHAN11,-1
2007HITC01,-1
2007LANG01,-1
2007NGDA01,-1
2007BREE01,-1
2005XIEE01,-1
2007HINK01,-1
2007CHEN14,-1
2006KRUS01,-1
2007HEEC01,-1
2007ASBJ01,-1
2007HUAN03,-1
2006ETTI01,-1
2007MAHA02,-1
2007JOHN03,-1
2007LANG02,-1
2007ROBI03,-1
2007GUTI01,-1
2007ASHB01,-1
2007RODR04,-1
2006OOKU02,179
2007SUGA01,0
2006OKAY01,146
2005TAKA02,-1
2005SAKA01,-1
2006HIRO02,-1
2007AKUT01,122
2006SUZU03,231
2006ANDO01,-1
2007HIRO01,-1
2007DODE01,-1
2007UEHA01,-1
2007HIRA03,-1
2006TOKU01,-1
2007MAKI01,-1
2006UEMU01,-1
2007OHMA01,-1
2007TAKA03,-1
2007KATO02,-1
2006ZHEN02,136
2007ADSU01,227
2007SHID01,106
2006KARP02,127
2007SAIN01,116
2006KIMB01,130
2006TSAO01,140
2005KWON01,-1
2006MOIT01,-1
2007MCKE01,-1
2006GARR01,530
2005WONG04,-1
2006CHIU01,115
2007LEBR01,102
2006GOME01,215
2005COCH01,-1
2006TANB01,-1
2005YANG01,-1
2006POSE01,-1
2007SHIU01,120
2005FLEI01,588
2006YOUN03,-1
2006ADAM01,-1
2007HEMK01,-1
2006TAND01,-1
2005HOGA01,-1
2007BLAC01,-1
2007CHAN12,-1
2007JIAN03,-1
2006FIER01,-1
2007GUGG01,-1
2007YIUG01,-1
2007PHIL01,-1
2007CHEN15,-1
2007WANG07,-1
2007PINE01,-1
2007WULE01,-1
2007WEIS01,-1
2005CHAN02,-1
2007LUOM01,-1
2007WOOB01,-1
2007YEEA01,-1
2007CHOW01,-1
2007GONG01,-1
2006KARP01,-1
2007WOOA01,-1
2007BLAN01,-1
2007FIER01,-1
2007KOEH02,-1
2007WONG01,-1
2007ALMA01,-1
2007WOOR01,740
2007MILL01,-1
2007RALS01,-1
2007BAUT02,-1
2007CHEN16,-1
2007WEIK01,-1
2007KUOD01,-1
2007ADSU02,-1
2006NACO01,-1
2007LEES01,-1
2007PARK05,-1
2006DOOL01,-1
2007ADAM01,-1
2007BEES01,126
2007SLOO01,-1
2007BAKK01,-1
2007KRUI01,-1
2004STEE01,100
2007ENDD01,-1
2007POSM01,-1
2007HEUP01,-1
2007VALK01,35
2007BAKK02,95
2007SLOO02,-1
2007KRIJ01,159
2007ZAND01,85
2005PLOM01,-1
2005BAUM01,-1
2007GIBN01,130
2007SAHA01,-1
2007ALIW01,-1
2007ALIS01,89
2007HUGH01,723
2007BUNT01,-1
2007ZAMO01,-1
2007ROUT01,-1
2007FRYE01,-1
2007HUGH04,-1
2007HUGH03,-1
2007HUGH02,-1
2005BRYA01,-1
2007BEYE01,-1
2006EIDE01,-1
2005THON01,126
2005BOUC01,225
2007LIME01,272
2007MOSE02,221
2007CORU01,-1
2005CAMP01,-1
2007GAMB01,-1
2007JOOD01,-1
2007BRYA01,-1
2007LEEJ03,-1
2007BYRT01,-1
2007POSE01,-1
2007HARP01,-1
2007SECO01,-1
2006MART03,-1
