name,country,sq1
Fabio Schwandt,United Kingdom,920
Abhay Cheemalapati,USA,920
Leo Hock-Morris,Australia,920
Ethan Stevens,Australia,919
Wojciech Knott,Poland,919
Marco Rota,Italy,919
Matthew Lee,Canada,919
Bence Kiácz,Hungary,918
Cale Schoon,USA,917
Mathias Søndergaard Byrne,Denmark,917
János Bereczki,Romania,917
Wei-Chen Hsieh (謝維宸),Taiwan,916
Nicolas Harper,USA,916
Luke Garrett,USA,915
Camerone Chin,New Zealand,914
Kerry Creech,USA,913
Carter Kucala,USA,913
Alexander Bashutkin,Russia,912
AJ Kamal,USA,911
Krish Shah-Nathwani,USA,909
Po-Hsien Ou (歐柏賢),Taiwan,907
Elias Malomgré,Belgium,906
Marcel Niedl,Austria,906
Kacper Paweł Dworak,Poland,906
Graham Siggins,USA,904
Charlie Harrison,United Kingdom,904
Alexander Botz,Germany,904
Sebastian Outh-Aut,Australia,903
James Bui,Australia,903
Vladislav Shurshilin,Russia,903
Alexis Rodrigo Cazu Mendoza,Mexico,902
Jan Zych,Poland,902
Tam Quan,Australia,902
Ricardo Zapata Cruz,Venezuela,902
Matthew Cook,Australia,902
Andrew Sherman,Australia,902
Diego Brizuela Crespo,Mexico,901
Lev Aronov,Russia,901
Ray Bai,USA,901
Tyler Howlett,USA,900
Dominic Lumsden,United Kingdom,899
Braden Richards,USA,897
Jakub Dłużak,Poland,897
Tyler Robinson,USA,897
Mikołaj Salamon,Poland,896
Ahmet Çınar Ablak,Turkey,896
Peri Le Dain,USA,896
Riley Dexter,Australia,896
Phạm Anh Quân,Vietnam,895
Serdar Özdemir,Turkey,895
Kate Grahame,USA,894
Oliver Leigh,Australia,893
Alexander Persaud,USA,892
Vicenzo Guerino Cecchini,Brazil,892
Leonid Shcherbakov (Леонид Щербаков),Russia,892
Jinseo Hong,Korea,891
Amy Smith,Australia,891
Maxim Ilin,Russia,891
Jason Lee,USA,891
Ishaan Lal,USA,891
Harry Savage,United Kingdom,890
Ang Chin Zhen (洪靖程),Malaysia,890
Hangwei Yu (禹航伟),China,890
Helmer Ewert,Sweden,890
Alexey Zharikov,Russia,890
Kacper Jędrzejuk,Poland,889
Lucas Chung,Australia,889
Yu-Chia Sung (宋祐嘉),Taiwan,889
Shaun Mack,USA,889
Luka Jankovic,Serbia,889
Nathan Nairn,Australia,888
Mats Valk,Netherlands,888
Jiate Xie (谢佳特),China,888
Mikhail Ivashechkin,Russia,887
Jared Balassaitis,USA,887
Eeshir Pannun,Canada,887
Anthony Rochester,Australia,887
Emil Elghorn,Sweden,887
Laura Mellier,Switzerland,887
Ruslan Appazov,Uzbekistan,886
Anukun Supcharoenkun (อนุกูล ทรัพย์เจริญกุล),Thailand,886
Yen-Pin Xiao (蕭彥平),Taiwan,886
Mattheo de Wit,Netherlands,886
Tomasz Cepil,Poland,885
Daniel Rose-Levine,USA,885
Elyas Eyou,New Zealand,885
Pavel Eroshkin (Павел Ерошкин),Russia,885
Bokang Peng (彭博康),China,885
Michael Nielsen,USA,884
Tristan Jansen,Netherlands,883
Liam Wadek,New Zealand,883
Kyra Joiner,USA,883
Jakub Majchrzak,Poland,883
Jan Bentlage,Germany,883
Ivo Stoutjesdijk,Netherlands,882
Linus Laurén,Finland,882
Darby Lee,Australia,880
Justin Gou,USA,880
Sean Hartman,USA,880
Pavlo Huk (Павло Гук),Ukraine,880
Samuel Scherrer,Canada,880
Brian Johnson,USA,880
Stepan Anisimov (Степан Анисимов),Russia,879
Sarina Wang,New Zealand,879
Asher Kim-Magierek,USA,879
Max Walaszek,USA,877
Elias Dunstone,Australia,876
Burak Erdil Biçer,Turkey,876
Chung-Han Hsu (許鍾瀚),Taiwan,876
Dennis Hu,New Zealand,876
Mohannad Mahmoud Fathy,Egypt,876
Pavel Mesyatsev,Russia,875
Jakub Grzybowski,Poland,874
Yifan Cheng (程依凡),China,874
Bill Hammill,United Kingdom,874
Tucker Chamberlain,USA,874
Samuel Knoll,USA,873
Daniel Ahokas,Canada,873
Łukasz Burliga,Poland,873
Bartosz Miduch,Poland,872
Ihor Kastranets (Ігор Кастранець),Ukraine,872
Elvis Isaí Rosales Hernández,El Salvador,872
Lacey Dilworth,USA,872
Ryan Wu,Canada,872
Carolina Guidetti,Italy,872
Pietro Mazza,Italy,871
Ahmed Ghandoor,Egypt,870
Tom Stanton-Barnett,New Zealand,870
Stanley Chapel,USA,869
Khuslen Gan-Ochir,Mongolia,869
Owen Brooks,USA,869
Zachary Clark,USA,869
Benjamin Bucksmith,New Zealand,868
Adam Golus,Poland,868
Liangrong Ma (马良戎),China,868
William Palmer,New Zealand,868
Zayd Chaudhry,Australia,868
Elijah Brown,USA,868
Yunqi Ouyang (欧阳韵奇),China,867
Muhammad Hafizuddin Akhtar Bin Mohd Zainal Abidin,Malaysia,867
Kun Zhu (朱锟),China,867
Aral Askarov,Kazakhstan,867
Blake Thompson,USA,866
Geoffrey Li,Australia,865
Paul Mahvi,USA,865
Alwin Rölz,Switzerland,865
Lorenzo Layug,Philippines,864
Leo Millar,Australia,863
Levi Gibson,USA,862
Aleksandr Beznogov,Russia,862
Noah Aaron Pearson,Australia,862
Dominika Warchoł,Poland,861
Conlan Trace,USA,861
Jaime Calzado Gomez,Spain,861
Jasper Murray,New Zealand,861
Vyacheslav Sizov,Russia,861
Ahmet Barış Atlı,Turkey,861
Mikhail Novoselov,Russia,861
George Scholey,United Kingdom,860
Dániel Székely,Hungary,860
Ethan Chen,Canada,859
Krzysztof Boguszewski,Poland,858
Brady Lawrence,USA,858
Lir Ukaj,France,858
Elian Beguec,France,857
Zijia Feng (冯子甲),China,857
Rafał Waryszak,Poland,857
Luke Tycksen,USA,856
John E. Bolling,USA,856
Nicholas Boo-Rivera,Malaysia,855
Shu Ogawa (小川柊),Japan,855
Numair Malik,New Zealand,855
Karol Zakrzewski,Poland,854
Chuan He (何川),China,854
Lucas Jacobs,Canada,854
Tom Wilkinson,United Kingdom,854
Canzheng Cao (曹参政),China,853
Kymberlyn Calderon,USA,853
Kanting Shi (史勘霆),China,853
Mikhail Kopylov (Михаил Копылов),Russia,853
Henry Lichner,USA,853
Amy Eguchi-Fergusson,Australia,853
Jason White,USA,853
Francisco Hamlin,Argentina,852
Gabriel Otávio Barreto da Silva,Brazil,852
Jakub Drobný,Slovakia,852
Ryan Pilat,USA,852
Saveliy Surikov,Russia,852
Luke Jankowiak,Canada,851
Daan Kusters,Netherlands,851
Dmitrii Saukov (Дмитрий Сауков),Russia,851
Paweł Duraj,Poland,851
Thibaud Ou,France,851
Heinrich de Lange,South Africa,850
Nurmukhammad Karimov,Uzbekistan,850
Marco Syfrig,Switzerland,849
Yelysei Hovorun (Єлисей Говорун),Ukraine,849
Samir Homsi,Turkey,849
Tzu-Han Hung (洪梓菡),Taiwan,849
Zhiyuan Ma (马之元),China,849
Takao Hashimoto (橋本貴夫),Japan,848
Christian Smedegaard,Denmark,848
Milo Black,USA,848
Yusuf Ragab,USA,847
Muhammed Pusat Özçelik,Turkey,845
Tomasz Larysz,Poland,845
Fanyang Zeng (曾凡洋),China,845
Ahmad Kamil Ihsan Bin Ikhwan,Malaysia,845
Alejandro Nicolay,Spain,845
Dylan Cossin,USA,845
Zeke Mackay,USA,844
Doruk Dokurer,Turkey,844
Krzysztof Wyrzykowski,Poland,843
Dominic Cater,USA,843
Ethan Xu,New Zealand,843
Michał Mlostek,Poland,843
Xavier Ouano,Australia,843
Przemysław Kruczek,Poland,843
Đặng Trần Diễn,Vietnam,843
Jason Tong,China,842
Jared Stinson,USA,840
Midas Kiebert,Netherlands,840
Piotr Stachurski,Poland,840
Xinyang Li (李昕洋),China,839
Vitaliy Takanov,Russia,839
Andres Roberto Amaya,Mexico,839
Katie Hull,USA,838
Zihao Wang (王子豪),China,838
Tobias Peter,Switzerland,838
Evan Kuske,USA,838
Ming Dao Ting,Australia,837
Joseph Ong,USA,837
Moritz Lotz,Germany,837
Bence Barát,Hungary,837
Dakota Akarlilar,USA,837
Patryk Grosiak,Poland,837
Rowe Hessler,USA,836
Mansib Alam Talukder,Bangladesh,836
Richard Yiheng Tao,New Zealand,836
Marat Karimov (Марат Каримов),Russia,835
Jesús Fernando Castelán Gómez,Mexico,835
Daniel Fraser,New Zealand,834
Dylan Baumbach,USA,834
Sameer Sethuram,USA,834
Kent Thomson,Australia,833
Chawin Ratanasiri (ชวิน รัตนสิริ),Thailand,833
Aidan Toonen,Australia,833
Kou Oobatake (大畠功),Japan,833
Kai-Wen Wang (王楷文),Taiwan,832
Cameron Miller,USA,832
Ignatiy Alkaev,Russia,832
Ryan Eckersley,United Kingdom,832
Earl Joven Suyo,Philippines,831
Toni Beljo,Croatia,831
Adrian Dębski,Poland,831
Joaquin Abarca,Canada,830
Mattia Rigo,Italy,830
Wuouran Liu (刘巫偶然),China,830
Erkin Can,Turkey,830
Ekaterina Soboleva (Екатерина Соболева),Russia,830
Rafik Sarwat Naeem Ragheb,Egypt,830
Myles Jarman,Australia,830
Hua Long Javier Wan Zhu,Peru,829
Dylan Chan,USA,829
Timofey Dudko (Тимофей Дудко),Russia,829
Mikus Lembergs,Latvia,829
Ozer Uysal,Australia,829
Ian Belevich (Ян Белевич),Russia,829
Adam Dawidziuk,Poland,829
Sergey Chirin,Russia,828
Daniel Lucas Dailo,USA,828
William Jensen,Sweden,828
Sebastian Bock,Australia,828
Keenan Johnson,USA,828
Lennon Hughes,Australia,828
Rodrigo Farfan Choquimaqui,Peru,827
Evan Wright,USA,827
David Messer,USA,827
Kyle Polage,USA,827
Paul Luciw,France,826
Andreas Jensen Forsgren,Norway,826
Luca Stalpers,Netherlands,826
William Niewand,Australia,826
Andres Daniel Navarro Flores,Costa Rica,826
Piotr Ochal,Poland,825
Przemysław Rogalski,Poland,825
Cormac Farrell,United Kingdom,825
Jack Bellomy,USA,824
Yerkin Assylbek,Kazakhstan,823
Jaxon Foster,Australia,823
Ilya Sokolov,Russia,822
Chris Choi,USA,822
Patrick Ponce,USA,822
Timur Imanov,Russia,822
Benjamin Blaikie,New Zealand,821
Brady Bockelman,USA,821
Lucinda Zhou,USA,821
Lev Shpanov (Лев Шпанов),Russia,821
Oscar Sánchez Najarro,Spain,821
Carol Chai,New Zealand,821
Leon Marcell Alamanda,Indonesia,820
Egor Afanasenko (Егор Афанасенко),Russia,820
Esneider Giraldo Restrepo,Colombia,820
Cyprian Kalbarczyk,Poland,819
Isaac Langer,USA,819
Michael Tripodi,Australia,819
Samuel O'Sullivan,USA,819
Bharadwaj Duggaraju,India,819
Simeon Buchner,Canada,819
Will Callan,USA,818
William Moulden,Australia,818
Mateusz Gołaś,Poland,818
Luigi Soriano,USA,817
Lucas Dusil,Czech Republic,817
Frederiks Rūdolfs Kronbergs,Latvia,817
Yee Wen Foo,Malaysia,817
Dennis Rosero,Colombia,816
Phoenix Patterson,Australia,816
Leo Min-Bedford,Canada,816
Anshu Chennuru,USA,816
Artem Kosarev (Артем Косарев),Russia,815
Declan James Douglas McLennan,Australia,815
Nick Agatyn,Australia,815
Ian Yeh,Canada,815
Zayn Khanani,USA,815
Giovanni Bezzetto,Italy,815
Renato Stopic,Bosnia and Herzegovina,814
Davide Arnesano,Italy,814
Ian Vaugier Aguilar,Mexico,814
Oleg Ten (Олег Тен),Uzbekistan,814
Zedan Mohamed Ahmed,Egypt,814
Khem Fernandez,Philippines,814
Ayaz Minnegaleev,Russia,813
Nathan Dwyer,USA,813
Daniel Goodman,USA,813
Benjamin Pugh,USA,813
Michele Zanirato,Italy,813
Javier López Fernández,Spain,812
Aiden Chan,Canada,812
Ethan Lai,USA,812
Silas Emerian,USA,812
Chenkai Shen (沈宸恺),China,812
Burak Yalçın,Turkey,812
Iurii Chesnokov (Юрий Чесноков),Russia,811
Brennen Lin,Canada,811
Samuel Park,New Zealand,811
Leonid Zakharov (Леонид Захаров),Russia,811
Jayden McNeill,Australia,811
Ekaterina Kaneva,Russia,811
Alimzhan Kenesbek (Алимжан Кенесбек),Kazakhstan,810
Stephen Waller,United Kingdom,810
Timothy Lawrance,South Africa,810
Luke Galioto,USA,810
Fikri Ahmad Nabigha,Indonesia,810
Silas Kampp Richter Lassen,Denmark,810
Jeremy Foott,Australia,809
Bryant Farrel Titanius,Indonesia,809
Anqi Yu,Bulgaria,809
Ethan Basanov,Canada,809
Mitchell Hum,USA,809
Zee Capangpangan,Philippines,808
Bartłomiej Krokos,Poland,808
Tyler Williams,Australia,808
Daniel Rush,South Africa,808
Akın Köse,Turkey,808
Chia-Jui Lin (林家睿),Taiwan,808
Vojtěch Kundera,Czech Republic,808
Farhan Tanvir Fahim,Bangladesh,807
Birkan Mayadağ,Turkey,807
Marlon de V. Marques,Brazil,807
Dylan Johnston,Australia,807
Viacheslav Osminin,Russia,807
Berk Rende,Turkey,806
Zhi-Bo Lien (連致博),Taiwan,806
Luke Dufty,New Zealand,806
Peng Wang (王鹏),China,806
Sanjay Jacob,India,806
Samuel Eklund-Hanna,Sweden,805
Max Blechman,USA,805
Lucas Barbosa Brito,Brazil,805
Yuhang Sun (孙煜航),China,805
Tomasz Pietruszka,Poland,805
Zhanat Kazez (Жанат Казез),Kazakhstan,805
Samuel Flórez Carvajal,Colombia,805
Anuar Miguel Abib Onofre,Brazil,805
Dmitry Kryuzban,Russia,805
Ayden Nguyen,Canada,804
David Vujasić,Croatia,804
Alexander Shishkov (Александр Шишков),Russia,804
Andrey Kocharin (Андрей Кочарин),Russia,804
Arush Singh,India,804
Pavlo Bondar (Павло Бондар),Ukraine,804
Walter Duff,Canada,804
Conor Sullivan,Australia,804
Olivier Vos,Netherlands,804
Matthew Siegel,Thailand,804
Christopher Fandrich,USA,803
Bogdan Pominov (Богдан Поминов),Russia,803
Borys Chojak,Poland,803
Tim Gajewi,Germany,803
Joaquin Ruenes Hernández,Mexico,803
Stephen Griggs,USA,803
Davron Takhirov,Uzbekistan,802
Lucas Kuczaj,Canada,802
Fengyan Zhang (张枫岩),China,802
Alex Davani,USA,801
Konrad Leśniak,Poland,801
Patrick Fischer,USA,800
Wouter Komduur,Netherlands,800
Zixuan Liu (刘子瑄),China,799
Haotian Wang (王昊天),China,799
Sebastian Werb,Germany,799
Daphne Soegijono,Indonesia,799
Anthony Lafourcade,France,799
Federico Borgogni,Italy,798
Nick Nijssen,Netherlands,798
Hong-An Lai (賴泓安),Taiwan,798
Jason Ostdiek,USA,798
Xiangyan Jin (金香延),China,798
Kit Clement,USA,797
Marcos Josías Antigua Lebrón,Dominican Republic,797
Iftakharul Islam,Bangladesh,797
Robert G. Pearce IV,USA,797
Jeann Valdez,Australia,797
Amir Husain,Kazakhstan,797
Andrey Mishin,Russia,796
RJ Gohn,USA,796
Ruei-Jyun Chang (張睿鈞),Taiwan,796
Antonio Gabriel Freitas da Silva,Brazil,795
Cade Beck,USA,795
Logan Day-Richter,USA,795
Elliott Perkins,USA,794
Yuxuan Zheng (郑誉轩),China,794
Sergey Eremin (Сергей Еремин),Russia,794
Andrew Rizo,USA,794
Mikhail Glazov (Михаил Глазов),Russia,794
Andrey Mrinskiy (Андрей Мринский),Russia,793
Lorenzo Franco Kasilag,Philippines,793
Samuel Du,USA,793
Daniel James,India,793
Ilya Shalashny (Илья Шалашный),Russia,792
Stephen Bohner,USA,792
Roan Paone,Canada,791
Joe Greenland,United Kingdom,791
Muhsin Mert Arslan,Turkey,791
Grzegorz Szumigaj,Poland,791
Andrey Vysotin (Андрей Высотин),Russia,791
Oscar Liang,Australia,790
Nikolay Ambrosiy (Николай Амбросий),Russia,790
Ruoxin Zhou (周若昕),China,790
Aaron Ariff,Malaysia,790
Jose Daniel Solano Rodríguez,Costa Rica,789
Alejandro Soriano,Spain,789
Aiden Hermary,Canada,789
Kristopher De Asis,Canada,788
Will Newhoff,USA,788
Alvar Nylén,Sweden,788
Rafae Rajani,Australia,788
Kevin Min,Korea,788
Kun Er Zhang,New Zealand,788
Andrés Hisashi Suzuki,Peru,788
Xulang Li (黎旭朗),China,787
Ivan Polkanov (Иван Полканов),Russia,787
Benjamin John McConkie,USA,787
Bartosz Krogul,Poland,786
CJ Dresdner,USA,786
Sumanth Chandrupatla,USA,786
Sicheng Gu (顾思成),China,786
Bandar Al Aish,Bahrain,786
José Eduardo Palacios Castro,El Salvador,786
Karsen Oun,Canada,786
Paul Galioto,USA,786
Zach Amiridis,Australia,786
Avanish Ayyappan,India,786
Aset Agabekov (Асет Агабеков),Kazakhstan,785
Kirill Levchuk (Кирилл Левчук),Russia,785
Elliott O’Brien,New Zealand,785
Oscar Watson,Australia,785
Timofey Dementev,Russia,785
Shyngys Sharapadin (Шынгыс Шарападин),Kazakhstan,785
Bogdan Oreshin (Богдан Орєшін),Ukraine,785
Sean Moran,United Kingdom,785
Sam Thessen,USA,785
Carson Deibert,Canada,784
Teh Zhe Wen (郑哲文),Malaysia,784
Lachlan Stephens,Australia,784
Mahmoud Salah El Deberky,Egypt,784
Oliver Hoy,Australia,783
Oliver Fisk,United Kingdom,783
Bùi Minh Đức,Vietnam,783
Dmitriy Kukuev,Russia,783
Jack Sutton,Australia,783
Daniël Veldman,Netherlands,783
Tiancai Zhu (朱田才),China,782
Dmitry Obukhov,Russia,782
Unubold Altanzul,Mongolia,782
Junseop Kim (김준섭),Korea,782
Yusuf Güzeler,Turkey,782
Jackson Moorhead,New Zealand,782
Juan Fausta Pringadi,Indonesia,782
Daniel Quiñones Olgado,Peru,782
Gabriel Lincon Souza,Brazil,782
