name,country,pyram
Jun Hu (胡骏),China,1095
Zayd Chaudhry,Australia,1095
Andy Gong,Australia,1094
John Gaynor,USA,1093
Sameer Aggarwal,USA,1093
Christian Manuel de Lange,New Zealand,1093
Drew Brads,USA,1093
Sebastian Outh-Aut,Australia,1093
Edward Rust,Australia,1092
Aiden Bartlett,USA,1091
Daniel Fraser,New Zealand,1091
Yihao Zhao (赵羿皓),China,1091
Ramses Amaya,Colombia,1091
Xinjie Shi (施鑫杰),China,1090
Xulang Li (黎旭朗),China,1090
Leo Min-Bedford,Canada,1089
Cheng-Hsien Wu (吳政憲),Taiwan,1089
Piotr Tokarski,Poland,1088
John Bacouël,France,1088
Kevin Gerhardt,Germany,1088
Yichen Sun (孙艺晨),China,1088
Can Ersoy,Turkey,1087
Adam Marcellus Kelly,USA,1087
Jinxin Li (李金鑫),China,1087
Linus Kunath,Germany,1087
Danil Kotenkov (Данил Котенков),Russia,1087
Timothy Castle,USA,1087
Stian Nystad Østli,Norway,1086
Liam Highducheck,Australia,1086
Aston Culf,Australia,1086
Zachary Ochs,USA,1086
Shrijan Pal,India,1086
Vincent Hartanto Utomo,Indonesia,1086
Matvei Tianutov (Матвей Тянутов),Russia,1085
Alejandro Isaza,Colombia,1085
Leonid Shcherbakov (Леонид Щербаков),Russia,1085
Yuze Gu (顾雨泽),China,1085
Joash Little,Australia,1085
Aleksander Arefiew,Poland,1084
Jacob Chambers,United Kingdom,1084
Aleksandr Beznogov,Russia,1083
Siddharth Manchkanti,USA,1083
Ryan Wu,Canada,1082
Zac Graham,Australia,1082
Tieske Heemskerk,Netherlands,1082
Antoine Cantin,Canada,1082
Ethan Pride,Australia,1081
Trần Đăng Quang,Vietnam,1081
Gijs Peletier,Netherlands,1081
Lorenzo Mauro,Italy,1081
Linus Buck,Germany,1080
Jack Cai,Australia,1080
Yiyang Chen (陈熠扬),China,1079
Luke Van Laningham,USA,1079
Adam Jagła,Poland,1079
Joe Labas,Australia,1078
