name,country,pyram
Heidi Chan,USA,990
Hannah Minas,Switzerland,990
Quinlan Mayo,USA,990
Akshaansh Chilakapati,India,990
Yubo Ji (纪宇博),China,989
Abigail Claire Duffin,Australia,989
William Herring,Australia,989
Karol Zakrzewski,Poland,989
Mykhailo Lagoida (Михайло Лагойда),Ukraine,989
Raúl Cuevas Castillo,Spain,989
Vlad Vershinin (Влад Вершинин),Russia,989
Matias Israel Roa Lavin,Chile,989
Amy Eguchi-Fergusson,Australia,988
Hamish van Drunen,Australia,988
Jack Carter,Australia,988
Dakshin Vinod,India,988
Nil Gürbüz,Turkey,988
Han Chu (储菡),China,988
Bogdan Dovbysh,Belarus,988
Jolina Chen,Australia,988
Patrick Ruelas Zacarias,USA,987
Egor Varvarichev (Егор Варваричев),Russia,987
Henry Savich,USA,987
Parth Sachin Surelia,India,987
Chenghang Liu (刘成航),China,987
Siheng Chen (陈思衡),China,987
Haoqian Huang (黄皓谦),China,987
Jaxon Foster,Australia,987
Anthony Lafourcade,France,987
Sheng Cao (曹晟),China,986
William Jarvis,Australia,986
Tom Salmon,United Kingdom,986
Chengyu Ye (叶成宇),China,986
Mantra Shukla,New Zealand,986
Tiger Yuanhua Xiang (向源华),Canada,986
Jonathan Brugge,Netherlands,986
William Klauer,USA,985
Zhengzhe Jiang (江政哲),China,985
Wyatt Idell,USA,985
Caleb Tekwie,Papua New Guinea,985
Noam Raich,USA,984
Axel Bazán,Argentina,984
Jake Brown,United Kingdom,984
Ernest Seroczyński,Poland,984
Ajitpal Singh Rupal,Australia,984
Shangfeng Li (李尚峰),China,984
Cezary Mach,Poland,984
Han Huang (黄涵),China,984
Elliot Tay,Australia,984
Brian Johnson,USA,984
Costea Livadari,Moldova,984
Yunqi Liu (刘云起),China,984
Jash Tejas Shah,India,984
Tang-Lin Chuang (莊棠麟),Taiwan,984
Ryan Driscoll,Australia,984
Levi Oud,Netherlands,984
Olaf Kuźmiński,Poland,983
Daniel Gutierrez,USA,983
Bekzhan Zhomartuly (Бекжан Жомартулы),Kazakhstan,983
Xinyan Liu (刘心妍),China,983
Andreas Gröbmayr,Germany,983
Benjamin Grzesiak,United Kingdom,983
Roman Dushkin (Роман Душкин),Russia,983
Sumiran Maiskar,India,983
Konstantinos Parissis,Greece,983
Ethan Druery,Australia,983
Roan Paone,Canada,982
Liangyu Cai (蔡良语),China,982
Conan Mo,Australia,982
Bartłomiej Krokos,Poland,982
Maksim Makhmutov,Russia,982
Zachary Miller,USA,982
Alexander Terekhov,Russia,982
Tobias Devereux,New Zealand,982
Lim Chun Yik,Malaysia,982
Jiale Xu (徐嘉乐),China,981
You Wu (吴悠),China,981
Jack Frank Ecclestone,Australia,981
Bob Chengyi Xiao,Australia,981
Dohyun Kim (김도현),Korea,981
Ting-Ching Lin (林庭慶),Taiwan,981
Jaidyn Johnston,Australia,981
Andrew Davidge,Australia,981
Esneider Giraldo Restrepo,Colombia,981
Xi Deng (邓熙),China,981
Sophia Schmoll,Germany,980
Jose Miguel Rillera,Canada,980
Viswath Kumaraa Kesavaraj,India,980
Szabolcs Szántai,Hungary,980
Guido Dipietro,Argentina,980
Nikolay Golovenko,Russia,980
Zhiwu Jiang (姜智午),China,979
Abner Brijesh,USA,979
Luke Deane-Freeman,New Zealand,979
Raymond Castillo,USA,979
Jinpeng Jia (贾锦鹏),China,978
Matthew Siegel,Thailand,978
Alex Walker,USA,978
Cooper Forshaw,Australia,978
Callum McArthur-Mortell,Finland,978
Aritro Sengupta,India,978
Flavio Rimi,Italy,978
Seth Ferry,Australia,978
Nicolas Køster Christensen,Denmark,977
Ivan Polkanov (Иван Полканов),Russia,977
Lee Stanton-Barnett,New Zealand,977
Vicenzo Guerino Cecchini,Brazil,977
William Jensen,Sweden,977
Matthew Nguyen,USA,977
Aaron Mills,Australia,977
Vladimir Fedorov,Russia,977
Qiyu Zhang (张淇隩),China,977
Sean Hartman,USA,977
Tianhao Mo (莫天皓),China,977
Alexander Frolov,Russia,977
James Nguyen,Australia,976
Ming Dao Ting,Australia,976
Ahnaf Uddin Rafid,Bangladesh,976
Jan Riedl,Czech Republic,976
Paxton Bennison,Australia,976
James Dyer,New Zealand,976
Mateusz Laskus,Poland,976
Ricky Zhang,Australia,976
Loic Chiang,Singapore,976
Orgil Otgonbayar (Отгонбаяр Оргил),Mongolia,976
Junyu Yi (易俊羽),China,976
Đặng Trần Diễn,Vietnam,976
Michael Young,USA,975
Jonathan Tilahun,USA,975
Ramil Khasanov,Russia,975
Terence Wang,Australia,975
Gabriel Rejdych,Poland,974
Joshua Chau,Australia,974
Ben Uren,New Zealand,974
Alexander Hubbard,Australia,974
Ashton Lucas True,New Zealand,974
Luca Brasini,Italy,974
Yunliang Zhang (张赟量),China,974
Maksim Larionov,Russia,974
Ofek Egozi,Israel,974
Mark Khudyakov (Марк Худяков),Russia,974
Vincent Chen,USA,974
Yuzhe Wang (王语哲),China,974
Aayush Sriram Bharadwaj,United Kingdom,974
Tianyue Cai (蔡天悦),China,974
Sirun Wu (吴思润),China,974
Matvey Burkov (Матвей Бурков),Russia,974
Cyprian Kalbarczyk,Poland,974
Dmitriy Kukuev,Russia,974
Emilio Matanguihan,Australia,974
Leon Marcell Alamanda,Indonesia,973
Jose Ortiz Jr.,USA,973
Till Maas,Germany,973
Midas Kiebert,Netherlands,973
Michael Eleftheriades,Cyprus,973
Jaden Bills,USA,973
Ahmet Barış Atlı,Turkey,973
Niclas Mach,Germany,972
Mishka Kiessling,Australia,972
Zeke Mackay,USA,972
Jiajie Ou (区嘉杰),China,972
Gabriele Cappelletti,Italy,972
Diego Arche Andradas,Spain,972
Darcy Way,Australia,972
Chun-Yu Yang (楊竣宇),Taiwan,972
Griffin Fogarty,Australia,972
Adam Nizamani,Canada,972
Yanzhe Yu (于砚喆),China,972
Andrew Poon,Canada,971
Fabrizio Rocco,Argentina,971
Sheldon Rego,India,970
Boheng Zuo (左泊恒),China,970
Corren Ingersole,Australia,970
Ang Chin Zhen (洪靖程),Malaysia,970
Michał Woźniak,Poland,970
Dominik Beese,Germany,970
Michael Larsen,USA,970
Daniel Mullen,USA,970
Roberts Dreijers,Latvia,970
Dominik Fürer,Switzerland,970
Marianna Bondi,Italy,970
Pierce Boon,Australia,970
DongSu Park (박동수),Korea,970
Denis Kulakov (Денис Кулаков),Russia,970
Sorin Turculeț,Romania,970
Mark Ostrom,United Kingdom,969
Kenneth Tran,Norway,969
Vladislav Andreichik (Владислав Андрейчик),Kazakhstan,969
Caleb Hall,New Zealand,969
Naglis Peciulis,Lithuania,969
Mohamed Bilal,India,969
Mitchell Cretan,Australia,969
Witold Brzeziński,Poland,969
Vladyslav Hordiienko (Владислав Гордієнко),Ukraine,969
Kyyarkhan Nikolaev,Russia,968
Ilya Zelkin,Russia,968
Jordan Nguyen,USA,968
Maxim Ilin,Russia,968
Dmitrii Galimov (Дмитрий Галимов),Russia,968
Felipe Medel,Chile,968
Aden Malone,USA,968
Eric Pesci,USA,967
Dmitriy Sargsyan (Дмитрий Саргсян),Russia,967
Rafael Samwell,Indonesia,967
Edwin Shen,New Zealand,967
Olesya Sadikova,Russia,967
Dev Agarwal,India,967
Junyu Liu (刘俊宇),China,967
David Arzamastsev,Russia,967
Qizhe Ma (马启哲),China,967
Diego Moy,Canada,967
Zane Devonshire,New Zealand,967
Daniel Rose-Levine,USA,967
Artem Shuvalov (Артём Шувалов),Russia,967
Wes Giofches,Australia,967
Pengji Li (李棚吉),China,967
Dawid Jasiński,Poland,966
Arinze Owoh,Nigeria,966
Karina Grandjean Beck,Denmark,966
Aleksandra Lukianova (Александра Лукьянова),Russia,966
Baxter Cochran,Australia,966
Aarnav Katru,Australia,966
Ewan Geertson,New Zealand,965
Mingyu Liu (刘铭宇),China,965
Nikita Slavinski,Estonia,965
Oliver Nguyen,Australia,965
Jasper Lee Marbella,Philippines,965
Etta Jaswanth Akhil,India,965
Jia Yu (于嘉),China,965
Matthew Flay,Australia,965
Mohannad Mahmoud Fathy,Egypt,964
Moses Limmer,New Zealand,964
Chengxiang Cui (崔程翔),China,964
